ID,Year,Location,Topic,Data Type,Data Value,Category
264390,2014,United States,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,15.6,Female
264339,2014,Alabama,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,23.7,Female
264331,2014,Alaska,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,15.6,Female
264595,2014,Arizona,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,12.5,Female
264587,2014,Arkansas,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,21.8,Female
264603,2014,California,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,9.9,Female
264611,2014,Colorado,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,11.3,Female
264620,2014,Connecticut,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,11.6,Female
264636,2014,Delaware,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,15.6,Female
264628,2014,District of Columbia,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,12.6,Female
264643,2014,Florida,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,13.6,Female
264651,2014,Georgia,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,19.9,Female
264667,2014,Hawaii,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,6.9,Female
264117,2014,Idaho,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,15,Female
264125,2014,Illinois,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,18,Female
264133,2014,Indiana,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,18.5,Female
264675,2014,Iowa,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,14.8,Female
264142,2014,Kansas,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,17,Female
264150,2014,Kentucky,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,24.5,Female
264157,2014,Louisiana,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,22.7,Female
264181,2014,Maine,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,19.3,Female
264173,2014,Maryland,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,13.8,Female
264165,2014,Massachusetts,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,15.1,Female
264189,2014,Michigan,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,13.7,Female
264197,2014,Minnesota,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,11.7,Female
264213,2014,Mississippi,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,23.7,Female
264205,2014,Missouri,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,19.6,Female
264900,2014,Montana,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,18.1,Female
264924,2014,Nebraska,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,13.7,Female
264216,2014,Nevada,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,15.7,Female
264932,2014,New Hampshire,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,12.1,Female
264940,2014,New Jersey,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,13.7,Female
264948,2014,New Mexico,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,16,Female
264963,2014,New York,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,16.4,Female
264908,2014,North Carolina,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,18.1,Female
264916,2014,North Dakota,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,15.3,Female
264971,2014,Ohio,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,20.6,Female
264979,2014,Oklahoma,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,22,Female
264987,2014,Oregon,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,15,Female
264995,2014,Pennsylvania,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,14.5,Female
264342,2014,Puerto Rico,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,18.1,Female
264350,2014,Rhode Island,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,15.3,Female
264358,2014,South Carolina,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,18.1,Female
264366,2014,South Dakota,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,16,Female
264374,2014,Tennessee,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,23,Female
264383,2014,Texas,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,14.6,Female
264394,2014,Utah,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,11.8,Female
264410,2014,Vermont,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,17.3,Female
264402,2014,Virginia,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,15.7,Female
264418,2014,Washington,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,11.5,Female
264435,2014,West Virginia,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,35.9,Female
264427,2014,Wisconsin,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,13.9,Female
264683,2014,Wyoming,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,17.7,Female
