ID,Year,Location,Topic,Data Type,Data Value,Category
265228,2014,United States,All teeth lost among adults aged >= 65 years,Crude Prevalence,15.3,Female
264699,2014,Alabama,All teeth lost among adults aged >= 65 years,Crude Prevalence,23.4,Female
264691,2014,Alaska,All teeth lost among adults aged >= 65 years,Crude Prevalence,13.7,Female
264715,2014,Arizona,All teeth lost among adults aged >= 65 years,Crude Prevalence,12.2,Female
264707,2014,Arkansas,All teeth lost among adults aged >= 65 years,Crude Prevalence,21.6,Female
245828,2014,California,All teeth lost among adults aged >= 65 years,Crude Prevalence,9.6,Female
264730,2014,Colorado,All teeth lost among adults aged >= 65 years,Crude Prevalence,11,Female
264738,2014,Connecticut,All teeth lost among adults aged >= 65 years,Crude Prevalence,11.6,Female
264754,2014,Delaware,All teeth lost among adults aged >= 65 years,Crude Prevalence,15,Female
264746,2014,District of Columbia,All teeth lost among adults aged >= 65 years,Crude Prevalence,12.2,Female
264762,2014,Florida,All teeth lost among adults aged >= 65 years,Crude Prevalence,13.4,Female
264771,2014,Georgia,All teeth lost among adults aged >= 65 years,Crude Prevalence,19.4,Female
264779,2014,Guam,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Female
264787,2014,Hawaii,All teeth lost among adults aged >= 65 years,Crude Prevalence,6.8,Female
264803,2014,Idaho,All teeth lost among adults aged >= 65 years,Crude Prevalence,15.1,Female
264810,2014,Illinois,All teeth lost among adults aged >= 65 years,Crude Prevalence,17.7,Female
264818,2014,Indiana,All teeth lost among adults aged >= 65 years,Crude Prevalence,18.3,Female
264795,2014,Iowa,All teeth lost among adults aged >= 65 years,Crude Prevalence,14.9,Female
264826,2014,Kansas,All teeth lost among adults aged >= 65 years,Crude Prevalence,17,Female
264835,2014,Kentucky,All teeth lost among adults aged >= 65 years,Crude Prevalence,24.3,Female
264843,2014,Louisiana,All teeth lost among adults aged >= 65 years,Crude Prevalence,22.4,Female
264866,2014,Maine,All teeth lost among adults aged >= 65 years,Crude Prevalence,19,Female
264858,2014,Maryland,All teeth lost among adults aged >= 65 years,Crude Prevalence,13.4,Female
264851,2014,Massachusetts,All teeth lost among adults aged >= 65 years,Crude Prevalence,15.1,Female
245994,2014,Michigan,All teeth lost among adults aged >= 65 years,Crude Prevalence,13.5,Female
264881,2014,Minnesota,All teeth lost among adults aged >= 65 years,Crude Prevalence,11.6,Female
264897,2014,Mississippi,All teeth lost among adults aged >= 65 years,Crude Prevalence,23.3,Female
264889,2014,Missouri,All teeth lost among adults aged >= 65 years,Crude Prevalence,19.6,Female
264448,2014,Montana,All teeth lost among adults aged >= 65 years,Crude Prevalence,17.7,Female
264473,2014,Nebraska,All teeth lost among adults aged >= 65 years,Crude Prevalence,13.8,Female
264505,2014,Nevada,All teeth lost among adults aged >= 65 years,Crude Prevalence,15.4,Female
264481,2014,New Hampshire,All teeth lost among adults aged >= 65 years,Crude Prevalence,11.9,Female
264489,2014,New Jersey,All teeth lost among adults aged >= 65 years,Crude Prevalence,13.6,Female
264497,2014,New Mexico,All teeth lost among adults aged >= 65 years,Crude Prevalence,15.6,Female
264513,2014,New York,All teeth lost among adults aged >= 65 years,Crude Prevalence,16.3,Female
264456,2014,North Carolina,All teeth lost among adults aged >= 65 years,Crude Prevalence,18,Female
264465,2014,North Dakota,All teeth lost among adults aged >= 65 years,Crude Prevalence,15.5,Female
264521,2014,Ohio,All teeth lost among adults aged >= 65 years,Crude Prevalence,20.4,Female
264530,2014,Oklahoma,All teeth lost among adults aged >= 65 years,Crude Prevalence,21.7,Female
264538,2014,Oregon,All teeth lost among adults aged >= 65 years,Crude Prevalence,14.7,Female
264546,2014,Pennsylvania,All teeth lost among adults aged >= 65 years,Crude Prevalence,14.6,Female
264554,2014,Puerto Rico,All teeth lost among adults aged >= 65 years,Crude Prevalence,17.6,Female
264562,2014,Rhode Island,All teeth lost among adults aged >= 65 years,Crude Prevalence,15.3,Female
264568,2014,South Carolina,All teeth lost among adults aged >= 65 years,Crude Prevalence,17.4,Female
264576,2014,South Dakota,All teeth lost among adults aged >= 65 years,Crude Prevalence,16.1,Female
265213,2014,Tennessee,All teeth lost among adults aged >= 65 years,Crude Prevalence,22.8,Female
265221,2014,Texas,All teeth lost among adults aged >= 65 years,Crude Prevalence,14.4,Female
265232,2014,Utah,All teeth lost among adults aged >= 65 years,Crude Prevalence,11.5,Female
265248,2014,Vermont,All teeth lost among adults aged >= 65 years,Crude Prevalence,17.1,Female
265240,2014,Virginia,All teeth lost among adults aged >= 65 years,Crude Prevalence,15.2,Female
265256,2014,Washington,All teeth lost among adults aged >= 65 years,Crude Prevalence,11,Female
265272,2014,West Virginia,All teeth lost among adults aged >= 65 years,Crude Prevalence,35.8,Female
265264,2014,Wisconsin,All teeth lost among adults aged >= 65 years,Crude Prevalence,13.9,Female
246948,2014,Wyoming,All teeth lost among adults aged >= 65 years,Crude Prevalence,17.6,Female
