ID,Year,Location,Topic,Data Type,Data Value,Category
125528,2012,United States,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,16.4,Male
124623,2012,Alabama,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,23.8,Male
124615,2012,Alaska,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,13.6,Male
124639,2012,Arizona,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,11.3,Male
124631,2012,Arkansas,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,25,Male
124647,2012,California,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,8.8,Male
124655,2012,Colorado,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,13.3,Male
124663,2012,Connecticut,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,13.9,Male
124679,2012,Delaware,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,18,Male
124671,2012,District of Columbia,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,13.8,Male
124687,2012,Florida,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,16.8,Male
124695,2012,Georgia,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,19.1,Male
124703,2012,Guam,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,29.8,Male
124711,2012,Hawaii,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,6.3,Male
124727,2012,Idaho,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,18.6,Male
124736,2012,Illinois,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,14.8,Male
124744,2012,Indiana,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,21.1,Male
124719,2012,Iowa,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,18.6,Male
124752,2012,Kansas,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,18.5,Male
124760,2012,Kentucky,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,24.5,Male
124768,2012,Louisiana,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,28.2,Male
125233,2012,Maine,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,21.1,Male
125225,2012,Maryland,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,13.3,Male
125217,2012,Massachusetts,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,15.8,Male
125241,2012,Michigan,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,12.9,Male
125249,2012,Minnesota,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,11.8,Male
125265,2012,Mississippi,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,28.5,Male
125257,2012,Missouri,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,24.3,Male
125273,2012,Montana,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,16.8,Male
125297,2012,Nebraska,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,12.4,Male
125012,2012,Nevada,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,13.8,Male
125305,2012,New Hampshire,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,12.4,Male
125313,2012,New Jersey,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,13.7,Male
125004,2012,New Mexico,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,16,Male
125020,2012,New York,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,14,Male
125281,2012,North Carolina,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,24.3,Male
125289,2012,North Dakota,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,13.9,Male
125028,2012,Ohio,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,20.4,Male
125036,2012,Oklahoma,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,22.3,Male
125045,2012,Oregon,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,16.5,Male
125053,2012,Pennsylvania,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,17.4,Male
125061,2012,Puerto Rico,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,20.1,Male
125069,2012,Rhode Island,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,12.5,Male
125077,2012,South Carolina,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,21.4,Male
125085,2012,South Dakota,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,19.8,Male
125093,2012,Tennessee,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,23.9,Male
125101,2012,Texas,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,15.1,Male
125533,2012,Utah,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,12.1,Male
125556,2012,Vermont,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,15.9,Male
125541,2012,Virginia,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,16.4,Male
125564,2012,Washington,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,10,Male
125580,2012,West Virginia,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,34,Male
125572,2012,Wisconsin,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,16.7,Male
125588,2012,Wyoming,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,16.2,Male
