ID,Year,Location,Topic,Data Type,Data Value,Category
265229,2014,United States,All teeth lost among adults aged >= 65 years,Crude Prevalence,15,Male
264701,2014,Alabama,All teeth lost among adults aged >= 65 years,Crude Prevalence,20.6,Male
264693,2014,Alaska,All teeth lost among adults aged >= 65 years,Crude Prevalence,13.1,Male
264717,2014,Arizona,All teeth lost among adults aged >= 65 years,Crude Prevalence,12.2,Male
264709,2014,Arkansas,All teeth lost among adults aged >= 65 years,Crude Prevalence,21.9,Male
264724,2014,California,All teeth lost among adults aged >= 65 years,Crude Prevalence,7.6,Male
264732,2014,Colorado,All teeth lost among adults aged >= 65 years,Crude Prevalence,9.8,Male
264740,2014,Connecticut,All teeth lost among adults aged >= 65 years,Crude Prevalence,9,Male
264756,2014,Delaware,All teeth lost among adults aged >= 65 years,Crude Prevalence,17.3,Male
264748,2014,District of Columbia,All teeth lost among adults aged >= 65 years,Crude Prevalence,9.2,Male
264764,2014,Florida,All teeth lost among adults aged >= 65 years,Crude Prevalence,12.5,Male
264773,2014,Georgia,All teeth lost among adults aged >= 65 years,Crude Prevalence,19.1,Male
264789,2014,Hawaii,All teeth lost among adults aged >= 65 years,Crude Prevalence,5.9,Male
264805,2014,Idaho,All teeth lost among adults aged >= 65 years,Crude Prevalence,14.6,Male
264812,2014,Illinois,All teeth lost among adults aged >= 65 years,Crude Prevalence,15,Male
264820,2014,Indiana,All teeth lost among adults aged >= 65 years,Crude Prevalence,17.6,Male
264797,2014,Iowa,All teeth lost among adults aged >= 65 years,Crude Prevalence,15,Male
264828,2014,Kansas,All teeth lost among adults aged >= 65 years,Crude Prevalence,15.6,Male
264837,2014,Kentucky,All teeth lost among adults aged >= 65 years,Crude Prevalence,23.3,Male
264845,2014,Louisiana,All teeth lost among adults aged >= 65 years,Crude Prevalence,18.2,Male
264868,2014,Maine,All teeth lost among adults aged >= 65 years,Crude Prevalence,15.6,Male
264860,2014,Maryland,All teeth lost among adults aged >= 65 years,Crude Prevalence,12.3,Male
264830,2014,Massachusetts,All teeth lost among adults aged >= 65 years,Crude Prevalence,13.5,Male
264875,2014,Michigan,All teeth lost among adults aged >= 65 years,Crude Prevalence,12.1,Male
264883,2014,Minnesota,All teeth lost among adults aged >= 65 years,Crude Prevalence,9.2,Male
264442,2014,Mississippi,All teeth lost among adults aged >= 65 years,Crude Prevalence,21.4,Male
264891,2014,Missouri,All teeth lost among adults aged >= 65 years,Crude Prevalence,20.3,Male
264450,2014,Montana,All teeth lost among adults aged >= 65 years,Crude Prevalence,15.6,Male
264475,2014,Nebraska,All teeth lost among adults aged >= 65 years,Crude Prevalence,14.4,Male
264507,2014,Nevada,All teeth lost among adults aged >= 65 years,Crude Prevalence,18.8,Male
264483,2014,New Hampshire,All teeth lost among adults aged >= 65 years,Crude Prevalence,12.5,Male
264491,2014,New Jersey,All teeth lost among adults aged >= 65 years,Crude Prevalence,12.3,Male
264499,2014,New Mexico,All teeth lost among adults aged >= 65 years,Crude Prevalence,15.8,Male
264515,2014,New York,All teeth lost among adults aged >= 65 years,Crude Prevalence,13.1,Male
264458,2014,North Carolina,All teeth lost among adults aged >= 65 years,Crude Prevalence,21.7,Male
264467,2014,North Dakota,All teeth lost among adults aged >= 65 years,Crude Prevalence,12.8,Male
264523,2014,Ohio,All teeth lost among adults aged >= 65 years,Crude Prevalence,15.3,Male
264532,2014,Oklahoma,All teeth lost among adults aged >= 65 years,Crude Prevalence,23.4,Male
264540,2014,Oregon,All teeth lost among adults aged >= 65 years,Crude Prevalence,10.7,Male
264548,2014,Pennsylvania,All teeth lost among adults aged >= 65 years,Crude Prevalence,17.2,Male
264556,2014,Puerto Rico,All teeth lost among adults aged >= 65 years,Crude Prevalence,15.5,Male
264564,2014,Rhode Island,All teeth lost among adults aged >= 65 years,Crude Prevalence,11.7,Male
264570,2014,South Carolina,All teeth lost among adults aged >= 65 years,Crude Prevalence,19,Male
264578,2014,South Dakota,All teeth lost among adults aged >= 65 years,Crude Prevalence,16.1,Male
265215,2014,Tennessee,All teeth lost among adults aged >= 65 years,Crude Prevalence,21.9,Male
265223,2014,Texas,All teeth lost among adults aged >= 65 years,Crude Prevalence,9.6,Male
265234,2014,Utah,All teeth lost among adults aged >= 65 years,Crude Prevalence,10.8,Male
265250,2014,Vermont,All teeth lost among adults aged >= 65 years,Crude Prevalence,16.7,Male
265242,2014,Virginia,All teeth lost among adults aged >= 65 years,Crude Prevalence,14.9,Male
265258,2014,Washington,All teeth lost among adults aged >= 65 years,Crude Prevalence,11.2,Male
265274,2014,West Virginia,All teeth lost among adults aged >= 65 years,Crude Prevalence,31,Male
265266,2014,Wisconsin,All teeth lost among adults aged >= 65 years,Crude Prevalence,13.2,Male
265281,2014,Wyoming,All teeth lost among adults aged >= 65 years,Crude Prevalence,16.8,Male
