"ID","YearStart","YearEnd","Description","LocationAbbr","LocationDesc","DataSource","Class","Topic","Question","Response","Data_Value_Unit","DataValueTypeId","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","GeoLocation_Lat","GeoLocation_Long","ClassId","TopicId","QuestionId","ResponseId","StratficationCategory1","StratificationCategoryId1","Stratification1","StratificationId1","StratificationCategory2","StratificationCategoryId2","Stratification2","StratificationId2","StratificationCategory3","StratificationCategoryId3","Stratification3","StratificationId3","DisplayOrder","FootnoteSymbol","FootnoteText","URL","FootnoteHeading"
"263683","2014","2014","2014","AL","Alabama","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","53.0","","","49.8","56.1","32.84057112200048","-86.63186076199969","","ORH","ORH1_1","","Race/Ethnicity","RACE","Black, non-Hispanic","BLK","","","","","","","","","2","","","",""
"263675","2014","2014","2014","AK","Alaska","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","57.5","","","42.0","71.6","64.84507995700051","-147.72205903599973","","ORH","ORH1_1","","Race/Ethnicity","RACE","Black, non-Hispanic","BLK","","","","","","","","","3","","","",""
"263695","2014","2014","2014","AZ","Arizona","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","54.8","","","47.4","62.0","34.865970280000454","-111.76381127699972","","ORH","ORH1_1","","Race/Ethnicity","RACE","Black, non-Hispanic","BLK","","","","","","","","","4","","","",""
"263687","2014","2014","2014","AR","Arkansas","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","54.1","","","48.2","59.9","34.74865012400045","-92.27449074299966","","ORH","ORH1_1","","Race/Ethnicity","RACE","Black, non-Hispanic","BLK","","","","","","","","","5","","","",""
"263703","2014","2014","2014","CA","California","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","56.3","","","50.9","61.6","37.63864012300047","-120.99999953799971","","ORH","ORH1_1","","Race/Ethnicity","RACE","Black, non-Hispanic","BLK","","","","","","","","","6","","","",""
"263711","2014","2014","2014","CO","Colorado","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","55.3","","","48.6","61.7","38.843840757000464","-106.13361092099967","","ORH","ORH1_1","","Race/Ethnicity","RACE","Black, non-Hispanic","BLK","","","","","","","","","7","","","",""
"263719","2014","2014","2014","CT","Connecticut","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","64.2","","","58.9","69.2","41.56266102000046","-72.64984095199964","","ORH","ORH1_1","","Race/Ethnicity","RACE","Black, non-Hispanic","BLK","","","","","","","","","8","","","",""
"263736","2014","2014","2014","DE","Delaware","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","63.7","","","58.1","68.9","39.008830667000495","-75.57774116799965","","ORH","ORH1_1","","Race/Ethnicity","RACE","Black, non-Hispanic","BLK","","","","","","","","","9","","","",""
"263727","2014","2014","2014","DC","District of Columbia","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","64.2","","","60.4","67.7","38.907192","-77.036871","","ORH","ORH1_1","","Race/Ethnicity","RACE","Black, non-Hispanic","BLK","","","","","","","","","10","","","",""
"263744","2014","2014","2014","FL","Florida","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","56.0","","","51.6","60.2","28.932040377000476","-81.92896053899966","","ORH","ORH1_1","","Race/Ethnicity","RACE","Black, non-Hispanic","BLK","","","","","","","","","11","","","",""
"263753","2014","2014","2014","GA","Georgia","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","52.8","","","49.3","56.2","32.83968109300048","-83.62758034599966","","ORH","ORH1_1","","Race/Ethnicity","RACE","Black, non-Hispanic","BLK","","","","","","","","","12","","","",""
