"ID","YearStart","YearEnd","Description","LocationAbbr","LocationDesc","DataSource","Class","Topic","Question","Response","Data_Value_Unit","DataValueTypeId","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","GeoLocation_Lat","GeoLocation_Long","ClassId","TopicId","QuestionId","ResponseId","StratficationCategory1","StratificationCategoryId1","Stratification1","StratificationId1","StratificationCategory2","StratificationCategoryId2","Stratification2","StratificationId2","StratificationCategory3","StratificationCategoryId3","Stratification3","StratificationId3","DisplayOrder","FootnoteSymbol","FootnoteText","URL","FootnoteHeading"
"263603","2014","2014","2014","AL","Alabama","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","50.5","","","36.9","64.0","32.84057112200048","-86.63186076199969","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","2","","","",""
"263679","2014","2014","2014","AK","Alaska","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","76.6","","","67.5","83.8","64.84507995700051","-147.72205903599973","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","3","","","",""
"263699","2014","2014","2014","AZ","Arizona","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","54.1","","","42.9","65.0","34.865970280000454","-111.76381127699972","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","4","","","",""
"263691","2014","2014","2014","AR","Arkansas","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","48.8","","","35.1","62.8","34.74865012400045","-92.27449074299966","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","5","","","",""
"263707","2014","2014","2014","CA","California","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","58.4","","","49.5","66.8","37.63864012300047","-120.99999953799971","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","6","","","",""
"263715","2014","2014","2014","CO","Colorado","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","65.0","","","55.4","73.5","38.843840757000464","-106.13361092099967","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","7","","","",""
"263723","2014","2014","2014","CT","Connecticut","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","58.8","","","43.7","72.4","41.56266102000046","-72.64984095199964","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","8","","","",""
"263740","2014","2014","2014","DE","Delaware","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","71.4","","","63.9","77.9","39.008830667000495","-75.57774116799965","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","9","","","",""
"263732","2014","2014","2014","DC","District of Columbia","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","65.5","","","45.9","80.9","38.907192","-77.036871","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","10","","","",""
"263748","2014","2014","2014","FL","Florida","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","59.5","","","48.5","69.6","28.932040377000476","-81.92896053899966","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","11","","","",""
"263757","2014","2014","2014","GA","Georgia","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","70.3","","","57.6","80.5","32.83968109300048","-83.62758034599966","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","12","","","",""
"263765","2014","2014","2014","GU","Guam","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","60.4","","","52.4","67.9","13.444304","144.793731","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","13","","","",""
"263773","2014","2014","2014","HI","Hawaii","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","64.9","","","61.8","67.8","21.304850435000446","-157.85774940299973","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","14","","","",""
"263788","2014","2014","2014","ID","Idaho","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","68.3","","","49.7","82.4","43.682630005000476","-114.3637300419997","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","15","","","",""
"263184","2014","2014","2014","IL","Illinois","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","67.3","","","52.1","79.5","40.48501028300046","-88.99771017799969","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","16","","","",""
"263193","2014","2014","2014","IN","Indiana","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","58.3","","","46.5","69.1","39.766910452000445","-86.14996019399968","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","17","","","",""
"263780","2014","2014","2014","IA","Iowa","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","62.8","","","45.4","77.5","42.46940091300047","-93.81649055599968","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","18","","","",""
"263201","2014","2014","2014","KS","Kansas","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","50.8","","","43.1","58.5","38.34774030000045","-98.20078122699965","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","19","","","",""
"263209","2014","2014","2014","KY","Kentucky","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","43.0","","","29.9","57.1","37.645970271000465","-84.77497104799966","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","20","","","",""
"263217","2014","2014","2014","LA","Louisiana","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","60.7","","","45.7","73.9","31.31266064400046","-92.44568007099969","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","21","","","",""
"263241","2014","2014","2014","ME","Maine","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","41.6","","","28.8","55.7","45.254228894000505","-68.98503133599962","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","22","","","",""
"263233","2014","2014","2014","MD","Maryland","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","68.3","","","55.9","78.6","39.29058096400047","-76.60926011099963","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","23","","","",""
"263225","2014","2014","2014","MA","Massachusetts","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","64.1","","","54.6","72.6","42.27687047000046","-72.08269067499964","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","24","","","",""
"263249","2014","2014","2014","MI","Michigan","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","61.0","","","51.4","69.8","44.6613195430005","-84.71439026999968","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","25","","","",""
"263258","2014","2014","2014","MN","Minnesota","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","66.5","","","56.3","75.3","46.35564873600049","-94.79420050299967","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","26","","","",""
"263274","2014","2014","2014","MS","Mississippi","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","","****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%","","","32.745510099000455","-89.53803082499968","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","27","","","",""
"263266","2014","2014","2014","MO","Missouri","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","38.6","","","26.1","52.8","38.635790776000476","-92.56630005299968","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","28","","","",""
"263282","2014","2014","2014","MT","Montana","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","37.1","","","25.9","49.8","47.06652897200047","-109.42442064499971","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","29","","","",""
"263803","2014","2014","2014","NE","Nebraska","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","60.0","","","48.7","70.3","41.6410409880005","-99.36572062299967","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","30","","","",""
"264021","2014","2014","2014","NV","Nevada","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","60.5","","","44.5","74.6","39.493240390000494","-117.07184056399967","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","31","","","",""
"263811","2014","2014","2014","NH","New Hampshire","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","70.7","","","48.5","86.0","43.65595011300047","-71.50036091999965","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","32","","","",""
"264005","2014","2014","2014","NJ","New Jersey","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","66.4","","","54.9","76.3","40.13057004800049","-74.27369128799967","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","33","","","",""
"264013","2014","2014","2014","NM","New Mexico","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","49.9","","","30.3","69.6","34.52088095200048","-106.24058098499967","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","34","","","",""
"264029","2014","2014","2014","NY","New York","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","52.6","","","37.6","67.2","42.82700103200045","-75.54397042699964","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","35","","","",""
"263290","2014","2014","2014","NC","North Carolina","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","60.7","","","47.2","72.7","35.466220975000454","-79.15925046299964","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","36","","","",""
"263298","2014","2014","2014","ND","North Dakota","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","67.6","","","47.5","82.8","47.47531977900047","-100.11842104899966","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","37","","","",""
"264037","2014","2014","2014","OH","Ohio","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","55.2","","","42.5","67.3","40.06021014100048","-82.40426005599966","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","38","","","",""
"264045","2014","2014","2014","OK","Oklahoma","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","54.8","","","47.5","61.9","35.47203135600046","-97.52107021399968","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","39","","","",""
"264054","2014","2014","2014","OR","Oregon","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","67.0","","","59.2","73.9","44.56744942400047","-120.15503132599969","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","40","","","",""
"264062","2014","2014","2014","PA","Pennsylvania","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","58.3","","","43.6","71.6","40.79373015200048","-77.86070029399963","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","41","","","",""
"264070","2014","2014","2014","PR","Puerto Rico","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","","****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%","","","18.220833","-66.590149","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","42","","","",""
"264078","2014","2014","2014","RI","Rhode Island","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","58.3","","","39.1","75.3","41.70828019300046","-71.52247031399963","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","43","","","",""
"264086","2014","2014","2014","SC","South Carolina","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","54.5","","","43.9","64.7","33.998821303000454","-81.04537120699968","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","44","","","",""
"264094","2014","2014","2014","SD","South Dakota","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","50.5","","","29.6","71.2","44.353130053000484","-100.3735306369997","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","45","","","",""
"264102","2014","2014","2014","TN","Tennessee","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","","****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%","","","35.68094058000048","-85.77449091399967","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","46","","","",""
"264110","2014","2014","2014","TX","Texas","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","53.8","","","41.6","65.4","31.827240407000488","-99.42677020599967","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","47","","","",""
"264226","2014","2014","2014","UT","Utah","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","62.4","","","51.5","72.3","39.360700171000474","-111.58713063499971","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","48","","","",""
"264242","2014","2014","2014","VT","Vermont","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","54.4","","","40.4","67.8","43.62538123900049","-72.51764079099962","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","49","","","",""
"264234","2014","2014","2014","VA","Virginia","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","62.5","","","51.9","72.0","37.54268067400045","-78.45789046299967","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","51","","","",""
"264250","2014","2014","2014","WA","Washington","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","59.0","","","50.0","67.4","47.52227862900048","-120.47001078999972","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","52","","","",""
"264267","2014","2014","2014","WV","West Virginia","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","45.4","","","33.0","58.5","38.66551020200046","-80.71264013499967","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","53","","","",""
"264258","2014","2014","2014","WI","Wisconsin","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","46.9","","","31.2","63.3","44.39319117400049","-89.81637074199966","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","54","","","",""
"264275","2014","2014","2014","WY","Wyoming","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","62.0","","","40.8","79.5","43.23554134300048","-108.10983035299967","","ORH","ORH1_1","","Race/Ethnicity","RACE","MultiRacial, non-Hispanic","MRC","","","","","","","","","55","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Indicator Definition","http://www.cdc.gov/cdi/definitions/oral-health.html#ORH1_1","Indicator Definition"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BRFSS","http://www.cdc.gov/brfss","Data Source"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NULL","Number","NULL","Measure Definitions"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NULL","Prevalence","NULL","Measure Definitions"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NULL","Age-adjusted Prevalence","NULL","Measure Definitions"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NULL","Crude Rate","NULL","Measure Definitions"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NULL","Age-adjusted Rate","NULL","Measure Definitions"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NULL","Mean","NULL","Measure Definitions"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NULL","Adjusted Mean","NULL","Measure Definitions"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NULL","Packs Sold per Capita","NULL","Measure Definitions"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NULL","CI","NULL","Measure Definitions"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NULL","Centers for Disease Control and Prevention, National Center for Chronic Disease Prevention and Health Promotion, Division of Population Health. Chronic Disease Indicators (CDI) Data [online]. 2016","http://nccd.cdc.gov/cdi","Suggested Citation"
