"ID","YearStart","YearEnd","Description","LocationAbbr","LocationDesc","DataSource","Class","Topic","Question","Response","Data_Value_Unit","DataValueTypeId","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","GeoLocation_Lat","GeoLocation_Long","ClassId","TopicId","QuestionId","ResponseId","StratficationCategory1","StratificationCategoryId1","Stratification1","StratificationId1","StratificationCategory2","StratificationCategoryId2","Stratification2","StratificationId2","StratificationCategory3","StratificationCategoryId3","Stratification3","StratificationId3","DisplayOrder","FootnoteSymbol","FootnoteText","URL","FootnoteHeading"
"263684","2014","2014","2014","AL","Alabama","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","56.7","","","45.1","67.6","32.84057112200048","-86.63186076199969","","ORH","ORH1_1","","Race/Ethnicity","RACE","Other, non-Hispanic","OTH","","","","","","","","","2","","","",""
"263680","2014","2014","2014","AK","Alaska","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","58.0","","","52.4","63.4","64.84507995700051","-147.72205903599973","","ORH","ORH1_1","","Race/Ethnicity","RACE","Other, non-Hispanic","OTH","","","","","","","","","3","","","",""
"263700","2014","2014","2014","AZ","Arizona","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","58.4","","","52.9","63.6","34.865970280000454","-111.76381127699972","","ORH","ORH1_1","","Race/Ethnicity","RACE","Other, non-Hispanic","OTH","","","","","","","","","4","","","",""
"263692","2014","2014","2014","AR","Arkansas","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","41.2","","","29.3","54.2","34.74865012400045","-92.27449074299966","","ORH","ORH1_1","","Race/Ethnicity","RACE","Other, non-Hispanic","OTH","","","","","","","","","5","","","",""
"263708","2014","2014","2014","CA","California","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","71.0","","","66.9","74.7","37.63864012300047","-120.99999953799971","","ORH","ORH1_1","","Race/Ethnicity","RACE","Other, non-Hispanic","OTH","","","","","","","","","6","","","",""
"263716","2014","2014","2014","CO","Colorado","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","67.2","","","61.0","72.9","38.843840757000464","-106.13361092099967","","ORH","ORH1_1","","Race/Ethnicity","RACE","Other, non-Hispanic","OTH","","","","","","","","","7","","","",""
"263724","2014","2014","2014","CT","Connecticut","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","70.8","","","62.6","77.8","41.56266102000046","-72.64984095199964","","ORH","ORH1_1","","Race/Ethnicity","RACE","Other, non-Hispanic","OTH","","","","","","","","","8","","","",""
"263741","2014","2014","2014","DE","Delaware","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","64.7","","","51.3","76.1","39.008830667000495","-75.57774116799965","","ORH","ORH1_1","","Race/Ethnicity","RACE","Other, non-Hispanic","OTH","","","","","","","","","9","","","",""
"263733","2014","2014","2014","DC","District of Columbia","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","74.2","","","62.5","83.3","38.907192","-77.036871","","ORH","ORH1_1","","Race/Ethnicity","RACE","Other, non-Hispanic","OTH","","","","","","","","","10","","","",""
"263749","2014","2014","2014","FL","Florida","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","63.7","","","56.1","70.7","28.932040377000476","-81.92896053899966","","ORH","ORH1_1","","Race/Ethnicity","RACE","Other, non-Hispanic","OTH","","","","","","","","","11","","","",""
"263758","2014","2014","2014","GA","Georgia","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","63.4","","","52.6","73.0","32.83968109300048","-83.62758034599966","","ORH","ORH1_1","","Race/Ethnicity","RACE","Other, non-Hispanic","OTH","","","","","","","","","12","","","",""
"263766","2014","2014","2014","GU","Guam","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","49.5","","","46.3","52.8","13.444304","144.793731","","ORH","ORH1_1","","Race/Ethnicity","RACE","Other, non-Hispanic","OTH","","","","","","","","","13","","","",""
"263774","2014","2014","2014","HI","Hawaii","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","76.0","","","73.6","78.1","21.304850435000446","-157.85774940299973","","ORH","ORH1_1","","Race/Ethnicity","RACE","Other, non-Hispanic","OTH","","","","","","","","","14","","","",""
"263789","2014","2014","2014","ID","Idaho","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","58.6","","","43.6","72.1","43.682630005000476","-114.3637300419997","","ORH","ORH1_1","","Race/Ethnicity","RACE","Other, non-Hispanic","OTH","","","","","","","","","15","","","",""
"263185","2014","2014","2014","IL","Illinois","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","62.6","","","53.5","70.8","40.48501028300046","-88.99771017799969","","ORH","ORH1_1","","Race/Ethnicity","RACE","Other, non-Hispanic","OTH","","","","","","","","","16","","","",""
