ID,Year,Location,Topic,Data Type,Data Value,Category
166956,2012,Alabama,All teeth lost among adults aged >= 65 years,Crude Prevalence,33.9,Black
166948,2012,Alaska,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Black
166972,2012,Arizona,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Black
166964,2012,Arkansas,All teeth lost among adults aged >= 65 years,Crude Prevalence,31.9,Black
166980,2012,California,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Black
166988,2012,Colorado,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Black
166996,2012,Connecticut,All teeth lost among adults aged >= 65 years,Crude Prevalence,24,Black
167276,2012,Delaware,All teeth lost among adults aged >= 65 years,Crude Prevalence,25.7,Black
167004,2012,District of Columbia,All teeth lost among adults aged >= 65 years,Crude Prevalence,20.4,Black
167284,2012,Florida,All teeth lost among adults aged >= 65 years,Crude Prevalence,32.7,Black
167292,2012,Georgia,All teeth lost among adults aged >= 65 years,Crude Prevalence,28.8,Black
167308,2012,Hawaii,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Black
167324,2012,Idaho,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Black
167332,2012,Illinois,All teeth lost among adults aged >= 65 years,Crude Prevalence,24,Black
167340,2012,Indiana,All teeth lost among adults aged >= 65 years,Crude Prevalence,28.6,Black
167316,2012,Iowa,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Black
167348,2012,Kansas,All teeth lost among adults aged >= 65 years,Crude Prevalence,29.3,Black
167356,2012,Kentucky,All teeth lost among adults aged >= 65 years,Crude Prevalence,20.6,Black
167364,2012,Louisiana,All teeth lost among adults aged >= 65 years,Crude Prevalence,38.3,Black
167015,2012,Maine,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Black
167007,2012,Maryland,All teeth lost among adults aged >= 65 years,Crude Prevalence,14.3,Black
167372,2012,Massachusetts,All teeth lost among adults aged >= 65 years,Crude Prevalence,30,Black
167023,2012,Michigan,All teeth lost among adults aged >= 65 years,Crude Prevalence,14.3,Black
167031,2012,Minnesota,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Black
167047,2012,Mississippi,All teeth lost among adults aged >= 65 years,Crude Prevalence,34.9,Black
167039,2012,Missouri,All teeth lost among adults aged >= 65 years,Crude Prevalence,20.8,Black
167055,2012,Montana,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Black
167079,2012,Nebraska,All teeth lost among adults aged >= 65 years,Crude Prevalence,17.9,Black
167111,2012,Nevada,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Black
167087,2012,New Hampshire,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Black
167095,2012,New Jersey,All teeth lost among adults aged >= 65 years,Crude Prevalence,27.9,Black
167103,2012,New Mexico,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Black
167386,2012,New York,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Black
167063,2012,North Carolina,All teeth lost among adults aged >= 65 years,Crude Prevalence,28.4,Black
167071,2012,North Dakota,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Black
167394,2012,Ohio,All teeth lost among adults aged >= 65 years,Crude Prevalence,26.1,Black
167402,2012,Oklahoma,All teeth lost among adults aged >= 65 years,Crude Prevalence,30.9,Black
167410,2012,Oregon,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Black
167418,2012,Pennsylvania,All teeth lost among adults aged >= 65 years,Crude Prevalence,27.1,Black
167426,2012,Puerto Rico,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Black
167434,2012,Rhode Island,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Black
167442,2012,South Carolina,All teeth lost among adults aged >= 65 years,Crude Prevalence,31.3,Black
167450,2012,South Dakota,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Black
167458,2012,Tennessee,All teeth lost among adults aged >= 65 years,Crude Prevalence,25.7,Black
167466,2012,Texas,All teeth lost among adults aged >= 65 years,Crude Prevalence,17,Black
167477,2012,Utah,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Black
167124,2012,Vermont,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Black
167116,2012,Virgin Islands,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Black
167485,2012,Virginia,All teeth lost among adults aged >= 65 years,Crude Prevalence,27.3,Black
167132,2012,Washington,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Black
167148,2012,West Virginia,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Black
167140,2012,Wisconsin,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Black
167156,2012,Wyoming,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Black
328749,2014,Alabama,All teeth lost among adults aged >= 65 years,Crude Prevalence,32.5,Black
328741,2014,Alaska,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Black
328765,2014,Arizona,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Black
328757,2014,Arkansas,All teeth lost among adults aged >= 65 years,Crude Prevalence,30.5,Black
328773,2014,California,All teeth lost among adults aged >= 65 years,Crude Prevalence,16.2,Black
