ID,Year,Location,Topic,Data Type,Data Value,Category
264338,2014,Alabama,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,34.9,Black
264330,2014,Alaska,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
264594,2014,Arizona,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
264586,2014,Arkansas,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,33.9,Black
264602,2014,California,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
264610,2014,Colorado,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
264619,2014,Connecticut,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
264635,2014,Delaware,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
264627,2014,District of Columbia,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,16.6,Black
264642,2014,Florida,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,21.4,Black
264650,2014,Georgia,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,35.8,Black
264666,2014,Hawaii,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
264682,2014,Idaho,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
264124,2014,Illinois,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,26.9,Black
264132,2014,Indiana,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
264674,2014,Iowa,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
264141,2014,Kansas,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
264149,2014,Kentucky,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,26.5,Black
264156,2014,Louisiana,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,29.2,Black
264180,2014,Maine,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
264172,2014,Maryland,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,18.3,Black
264164,2014,Massachusetts,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,31.3,Black
264188,2014,Michigan,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,24.5,Black
264196,2014,Minnesota,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
264212,2014,Mississippi,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,35.3,Black
264204,2014,Missouri,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,25.2,Black
264899,2014,Montana,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
264923,2014,Nebraska,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
264955,2014,Nevada,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
264931,2014,New Hampshire,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
264939,2014,New Jersey,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,23.8,Black
264947,2014,New Mexico,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
264962,2014,New York,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,19.7,Black
264907,2014,North Carolina,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,28.4,Black
264915,2014,North Dakota,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
264970,2014,Ohio,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,19.3,Black
264978,2014,Oklahoma,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
264986,2014,Oregon,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
264994,2014,Pennsylvania,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,19.9,Black
264341,2014,Puerto Rico,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
264349,2014,Rhode Island,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
264357,2014,South Carolina,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,26.5,Black
264365,2014,South Dakota,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
264373,2014,Tennessee,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,27,Black
264382,2014,Texas,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,15.9,Black
264393,2014,Utah,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
264409,2014,Vermont,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
264401,2014,Virginia,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,22.7,Black
264417,2014,Washington,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
264434,2014,West Virginia,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
264426,2014,Wisconsin,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
264441,2014,Wyoming,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
