ID,Year,Location,Topic,Data Type,Data Value,Category
166734,2012,Alabama,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
166726,2012,Alaska,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
166750,2012,Arizona,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,15.7,Hispanic
166742,2012,Arkansas,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
166758,2012,California,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,10.7,Hispanic
166766,2012,Colorado,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,18.3,Hispanic
166774,2012,Connecticut,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,30.1,Hispanic
166790,2012,Delaware,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
166782,2012,District of Columbia,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
166798,2012,Florida,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,19.7,Hispanic
167496,2012,Georgia,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
167504,2012,Guam,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
167512,2012,Hawaii,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
167528,2012,Idaho,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
167536,2012,Illinois,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
167544,2012,Indiana,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
167520,2012,Iowa,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
167552,2012,Kansas,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
167560,2012,Kentucky,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
167568,2012,Louisiana,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
167592,2012,Maine,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
167584,2012,Maryland,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
167576,2012,Massachusetts,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,25.4,Hispanic
166806,2012,Michigan,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
166814,2012,Minnesota,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
166830,2012,Mississippi,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
166822,2012,Missouri,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
166838,2012,Montana,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
166862,2012,Nebraska,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
166894,2012,Nevada,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
166870,2012,New Hampshire,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
166878,2012,New Jersey,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,14.7,Hispanic
166886,2012,New Mexico,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,21.4,Hispanic
167166,2012,New York,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
166846,2012,North Carolina,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
166854,2012,North Dakota,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
167174,2012,Ohio,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
167182,2012,Oklahoma,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
167190,2012,Oregon,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
