ID,Year,Location,Topic,Data Type,Data Value,Category
166958,2012,Alabama,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
166950,2012,Alaska,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
166974,2012,Arizona,All teeth lost among adults aged >= 65 years,Crude Prevalence,12.6,Hispanic
166966,2012,Arkansas,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
166982,2012,California,All teeth lost among adults aged >= 65 years,Crude Prevalence,9.9,Hispanic
166990,2012,Colorado,All teeth lost among adults aged >= 65 years,Crude Prevalence,18.2,Hispanic
166998,2012,Connecticut,All teeth lost among adults aged >= 65 years,Crude Prevalence,30.7,Hispanic
167278,2012,Delaware,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
167006,2012,District of Columbia,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
167286,2012,Florida,All teeth lost among adults aged >= 65 years,Crude Prevalence,19.3,Hispanic
167294,2012,Georgia,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
167310,2012,Hawaii,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
167326,2012,Idaho,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
167334,2012,Illinois,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
167342,2012,Indiana,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
167318,2012,Iowa,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
167350,2012,Kansas,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
167358,2012,Kentucky,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
167366,2012,Louisiana,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
167017,2012,Maine,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
167009,2012,Maryland,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
167374,2012,Massachusetts,All teeth lost among adults aged >= 65 years,Crude Prevalence,24.2,Hispanic
167025,2012,Michigan,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
167033,2012,Minnesota,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
167049,2012,Mississippi,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
167041,2012,Missouri,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
167057,2012,Montana,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
167081,2012,Nebraska,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
167380,2012,Nevada,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
167089,2012,New Hampshire,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
167097,2012,New Jersey,All teeth lost among adults aged >= 65 years,Crude Prevalence,14.8,Hispanic
167105,2012,New Mexico,All teeth lost among adults aged >= 65 years,Crude Prevalence,19.8,Hispanic
167388,2012,New York,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
167065,2012,North Carolina,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
167073,2012,North Dakota,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
167396,2012,Ohio,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
167404,2012,Oklahoma,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
167412,2012,Oregon,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
167420,2012,Pennsylvania,All teeth lost among adults aged >= 65 years,Crude Prevalence,32.6,Hispanic
167428,2012,Puerto Rico,All teeth lost among adults aged >= 65 years,Crude Prevalence,19.8,Hispanic
167436,2012,Rhode Island,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
167444,2012,South Carolina,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
167452,2012,South Dakota,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
167460,2012,Tennessee,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
167468,2012,Texas,All teeth lost among adults aged >= 65 years,Crude Prevalence,10.7,Hispanic
167479,2012,Utah,All teeth lost among adults aged >= 65 years,Crude Prevalence,21.7,Hispanic
167126,2012,Vermont,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
167118,2012,Virgin Islands,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
167487,2012,Virginia,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
167134,2012,Washington,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
167150,2012,West Virginia,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
167142,2012,Wisconsin,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
167158,2012,Wyoming,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
328751,2014,Alabama,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
328743,2014,Alaska,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
328767,2014,Arizona,All teeth lost among adults aged >= 65 years,Crude Prevalence,16,Hispanic
328759,2014,Arkansas,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Hispanic
328775,2014,California,All teeth lost among adults aged >= 65 years,Crude Prevalence,9.4,Hispanic
328783,2014,Colorado,All teeth lost among adults aged >= 65 years,Crude Prevalence,17.5,Hispanic
