ID,Year,Location,Topic,Data Type,Data Value,Category
166736,2012,Alabama,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,MultiRacial
166728,2012,Alaska,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,MultiRacial
166752,2012,Arizona,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,MultiRacial
166744,2012,Arkansas,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,MultiRacial
166760,2012,California,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,22.4,MultiRacial
166768,2012,Colorado,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,MultiRacial
166776,2012,Connecticut,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,MultiRacial
166792,2012,Delaware,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,MultiRacial
166784,2012,District of Columbia,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,MultiRacial
167490,2012,Florida,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,MultiRacial
167498,2012,Georgia,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,MultiRacial
167514,2012,Hawaii,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,MultiRacial
167530,2012,Idaho,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,MultiRacial
167538,2012,Illinois,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,MultiRacial
167546,2012,Indiana,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,MultiRacial
167522,2012,Iowa,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,MultiRacial
167554,2012,Kansas,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,MultiRacial
167562,2012,Kentucky,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,28.4,MultiRacial
167570,2012,Louisiana,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,MultiRacial
166800,2012,Maine,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,MultiRacial
167586,2012,Maryland,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,MultiRacial
167578,2012,Massachusetts,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,MultiRacial
166808,2012,Michigan,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,MultiRacial
166816,2012,Minnesota,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,MultiRacial
166832,2012,Mississippi,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,MultiRacial
166824,2012,Missouri,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,37.8,MultiRacial
166840,2012,Montana,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,MultiRacial
166864,2012,Nebraska,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,MultiRacial
166896,2012,Nevada,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,MultiRacial
166872,2012,New Hampshire,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,MultiRacial
166880,2012,New Jersey,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,MultiRacial
166888,2012,New Mexico,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,MultiRacial
167168,2012,New York,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,MultiRacial
166848,2012,North Carolina,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,MultiRacial
166856,2012,North Dakota,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,MultiRacial
167176,2012,Ohio,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,MultiRacial
167184,2012,Oklahoma,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,31.7,MultiRacial
167192,2012,Oregon,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,24.2,MultiRacial
167200,2012,Pennsylvania,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,MultiRacial
167208,2012,Puerto Rico,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,MultiRacial
167216,2012,Rhode Island,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,MultiRacial
167224,2012,South Carolina,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,MultiRacial
167232,2012,South Dakota,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,MultiRacial
167240,2012,Tennessee,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,MultiRacial
