ID,Year,Location,Topic,Data Type,Data Value,Category
166960,2012,Alabama,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
166952,2012,Alaska,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
166976,2012,Arizona,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
166968,2012,Arkansas,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
166984,2012,California,All teeth lost among adults aged >= 65 years,Crude Prevalence,22.2,Multiracial
166992,2012,Colorado,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167000,2012,Connecticut,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167280,2012,Delaware,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167272,2012,District of Columbia,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167288,2012,Florida,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167296,2012,Georgia,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167312,2012,Hawaii,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167328,2012,Idaho,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167336,2012,Illinois,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167344,2012,Indiana,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167320,2012,Iowa,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167352,2012,Kansas,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167360,2012,Kentucky,All teeth lost among adults aged >= 65 years,Crude Prevalence,25.3,Multiracial
167368,2012,Louisiana,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167019,2012,Maine,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167011,2012,Maryland,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167376,2012,Massachusetts,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167027,2012,Michigan,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167035,2012,Minnesota,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167051,2012,Mississippi,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167043,2012,Missouri,All teeth lost among adults aged >= 65 years,Crude Prevalence,37.8,Multiracial
167059,2012,Montana,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167083,2012,Nebraska,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167382,2012,Nevada,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167091,2012,New Hampshire,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167099,2012,New Jersey,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167107,2012,New Mexico,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167390,2012,New York,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167067,2012,North Carolina,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167075,2012,North Dakota,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167398,2012,Ohio,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167406,2012,Oklahoma,All teeth lost among adults aged >= 65 years,Crude Prevalence,31.4,Multiracial
167414,2012,Oregon,All teeth lost among adults aged >= 65 years,Crude Prevalence,23.7,Multiracial
167422,2012,Pennsylvania,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167430,2012,Puerto Rico,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167438,2012,Rhode Island,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167446,2012,South Carolina,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167454,2012,South Dakota,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167462,2012,Tennessee,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167470,2012,Texas,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167481,2012,Utah,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167128,2012,Vermont,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167120,2012,Virgin Islands,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167489,2012,Virginia,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167136,2012,Washington,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167152,2012,West Virginia,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167144,2012,Wisconsin,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
167160,2012,Wyoming,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
328753,2014,Alabama,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
328745,2014,Alaska,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
328769,2014,Arizona,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Multiracial
