ID,Year,Location,Topic,Data Type,Data Value,Category
166961,2012,Alabama,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
166953,2012,Alaska,All teeth lost among adults aged >= 65 years,Crude Prevalence,30.8,Other
166977,2012,Arizona,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
166969,2012,Arkansas,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
166985,2012,California,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
166993,2012,Colorado,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
167001,2012,Connecticut,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
167281,2012,Delaware,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
167273,2012,District of Columbia,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
167289,2012,Florida,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
167297,2012,Georgia,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
167313,2012,Hawaii,All teeth lost among adults aged >= 65 years,Crude Prevalence,7.3,Other
167329,2012,Idaho,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
167337,2012,Illinois,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
167345,2012,Indiana,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
167321,2012,Iowa,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
167353,2012,Kansas,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
167361,2012,Kentucky,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
167369,2012,Louisiana,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
167020,2012,Maine,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
167012,2012,Maryland,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
167377,2012,Massachusetts,All teeth lost among adults aged >= 65 years,Crude Prevalence,20.9,Other
167028,2012,Michigan,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
167036,2012,Minnesota,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
167052,2012,Mississippi,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
167044,2012,Missouri,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
167060,2012,Montana,All teeth lost among adults aged >= 65 years,Crude Prevalence,30.4,Other
167084,2012,Nebraska,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
167383,2012,Nevada,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
167092,2012,New Hampshire,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
167100,2012,New Jersey,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
167108,2012,New Mexico,All teeth lost among adults aged >= 65 years,Crude Prevalence,13.3,Other
167391,2012,New York,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
167068,2012,North Carolina,All teeth lost among adults aged >= 65 years,Crude Prevalence,18.1,Other
167076,2012,North Dakota,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
167399,2012,Ohio,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
167407,2012,Oklahoma,All teeth lost among adults aged >= 65 years,Crude Prevalence,22.9,Other
167415,2012,Oregon,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
167423,2012,Pennsylvania,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
167431,2012,Puerto Rico,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
167439,2012,Rhode Island,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
167447,2012,South Carolina,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
167455,2012,South Dakota,All teeth lost among adults aged >= 65 years,Crude Prevalence,20.6,Other
167463,2012,Tennessee,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
167471,2012,Texas,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
167482,2012,Utah,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
167129,2012,Vermont,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
167121,2012,Virgin Islands,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
167113,2012,Virginia,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,Other
