ID,Year,Location,Topic,Data Type,Data Value,Category
264583,2014,Alabama,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264335,2014,Alaska,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264599,2014,Arizona,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264591,2014,Arkansas,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264607,2014,California,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264615,2014,Colorado,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264624,2014,Connecticut,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264639,2014,Delaware,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264632,2014,District of Columbia,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264647,2014,Florida,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264655,2014,Georgia,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264671,2014,Hawaii,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,5.9,Other
264121,2014,Idaho,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264129,2014,Illinois,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264138,2014,Indiana,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264679,2014,Iowa,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264146,2014,Kansas,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264154,2014,Kentucky,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264161,2014,Louisiana,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264185,2014,Maine,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264177,2014,Maryland,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264169,2014,Massachusetts,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264193,2014,Michigan,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264201,2014,Minnesota,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264218,2014,Mississippi,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264209,2014,Missouri,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264904,2014,Montana,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,36.8,Other
264928,2014,Nebraska,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264959,2014,Nevada,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264936,2014,New Hampshire,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264944,2014,New Jersey,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264952,2014,New Mexico,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,13.7,Other
264967,2014,New York,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264912,2014,North Carolina,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264920,2014,North Dakota,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264975,2014,Ohio,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264983,2014,Oklahoma,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264991,2014,Oregon,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264999,2014,Pennsylvania,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264346,2014,Puerto Rico,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264354,2014,Rhode Island,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264362,2014,South Carolina,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264370,2014,South Dakota,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264379,2014,Tennessee,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264387,2014,Texas,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264398,2014,Utah,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264414,2014,Vermont,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264406,2014,Virginia,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264423,2014,Washington,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264439,2014,West Virginia,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264431,2014,Wisconsin,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
264687,2014,Wyoming,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Other
