ID,Year,Location,Topic,Data Type,Data Value,Category
166963,2012,Alabama,All teeth lost among adults aged >= 65 years,Crude Prevalence,21,White
166955,2012,Alaska,All teeth lost among adults aged >= 65 years,Crude Prevalence,13,White
166979,2012,Arizona,All teeth lost among adults aged >= 65 years,Crude Prevalence,12.6,White
166971,2012,Arkansas,All teeth lost among adults aged >= 65 years,Crude Prevalence,21.4,White
166987,2012,California,All teeth lost among adults aged >= 65 years,Crude Prevalence,8.4,White
166995,2012,Colorado,All teeth lost among adults aged >= 65 years,Crude Prevalence,11.4,White
167003,2012,Connecticut,All teeth lost among adults aged >= 65 years,Crude Prevalence,11.8,White
167283,2012,Delaware,All teeth lost among adults aged >= 65 years,Crude Prevalence,15.3,White
167275,2012,District of Columbia,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,White
167291,2012,Florida,All teeth lost among adults aged >= 65 years,Crude Prevalence,13.3,White
167299,2012,Georgia,All teeth lost among adults aged >= 65 years,Crude Prevalence,15.7,White
167315,2012,Hawaii,All teeth lost among adults aged >= 65 years,Crude Prevalence,4.9,White
167331,2012,Idaho,All teeth lost among adults aged >= 65 years,Crude Prevalence,15.2,White
167339,2012,Illinois,All teeth lost among adults aged >= 65 years,Crude Prevalence,15.3,White
167347,2012,Indiana,All teeth lost among adults aged >= 65 years,Crude Prevalence,19,White
167323,2012,Iowa,All teeth lost among adults aged >= 65 years,Crude Prevalence,16.9,White
167355,2012,Kansas,All teeth lost among adults aged >= 65 years,Crude Prevalence,18.6,White
167363,2012,Kentucky,All teeth lost among adults aged >= 65 years,Crude Prevalence,24.1,White
167371,2012,Louisiana,All teeth lost among adults aged >= 65 years,Crude Prevalence,25.9,White
167022,2012,Maine,All teeth lost among adults aged >= 65 years,Crude Prevalence,21.9,White
167014,2012,Maryland,All teeth lost among adults aged >= 65 years,Crude Prevalence,14.3,White
167379,2012,Massachusetts,All teeth lost among adults aged >= 65 years,Crude Prevalence,14.2,White
167030,2012,Michigan,All teeth lost among adults aged >= 65 years,Crude Prevalence,13.1,White
167038,2012,Minnesota,All teeth lost among adults aged >= 65 years,Crude Prevalence,11.6,White
167054,2012,Mississippi,All teeth lost among adults aged >= 65 years,Crude Prevalence,21.5,White
167046,2012,Missouri,All teeth lost among adults aged >= 65 years,Crude Prevalence,24.7,White
167062,2012,Montana,All teeth lost among adults aged >= 65 years,Crude Prevalence,17.4,White
167086,2012,Nebraska,All teeth lost among adults aged >= 65 years,Crude Prevalence,13.3,White
167385,2012,Nevada,All teeth lost among adults aged >= 65 years,Crude Prevalence,15.9,White
167094,2012,New Hampshire,All teeth lost among adults aged >= 65 years,Crude Prevalence,12.7,White
167102,2012,New Jersey,All teeth lost among adults aged >= 65 years,Crude Prevalence,12.6,White
167110,2012,New Mexico,All teeth lost among adults aged >= 65 years,Crude Prevalence,14,White
167393,2012,New York,All teeth lost among adults aged >= 65 years,Crude Prevalence,14.6,White
167070,2012,North Carolina,All teeth lost among adults aged >= 65 years,Crude Prevalence,19.7,White
167078,2012,North Dakota,All teeth lost among adults aged >= 65 years,Crude Prevalence,16.2,White
167401,2012,Ohio,All teeth lost among adults aged >= 65 years,Crude Prevalence,19,White
167409,2012,Oklahoma,All teeth lost among adults aged >= 65 years,Crude Prevalence,20.2,White
167417,2012,Oregon,All teeth lost among adults aged >= 65 years,Crude Prevalence,15.5,White
167425,2012,Pennsylvania,All teeth lost among adults aged >= 65 years,Crude Prevalence,16.9,White
167433,2012,Puerto Rico,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,White
167441,2012,Rhode Island,All teeth lost among adults aged >= 65 years,Crude Prevalence,12.3,White
167449,2012,South Carolina,All teeth lost among adults aged >= 65 years,Crude Prevalence,15.5,White
167457,2012,South Dakota,All teeth lost among adults aged >= 65 years,Crude Prevalence,19.2,White
167465,2012,Tennessee,All teeth lost among adults aged >= 65 years,Crude Prevalence,24.5,White
167473,2012,Texas,All teeth lost among adults aged >= 65 years,Crude Prevalence,12.9,White
167484,2012,Utah,All teeth lost among adults aged >= 65 years,Crude Prevalence,12.7,White
167131,2012,Vermont,All teeth lost among adults aged >= 65 years,Crude Prevalence,17.2,White
167123,2012,Virgin Islands,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,White
167115,2012,Virginia,All teeth lost among adults aged >= 65 years,Crude Prevalence,14,White
167139,2012,Washington,All teeth lost among adults aged >= 65 years,Crude Prevalence,10.7,White
167155,2012,West Virginia,All teeth lost among adults aged >= 65 years,Crude Prevalence,33.8,White
167147,2012,Wisconsin,All teeth lost among adults aged >= 65 years,Crude Prevalence,13.1,White
167163,2012,Wyoming,All teeth lost among adults aged >= 65 years,Crude Prevalence,16.8,White
328756,2014,Alabama,All teeth lost among adults aged >= 65 years,Crude Prevalence,19.8,White
328748,2014,Alaska,All teeth lost among adults aged >= 65 years,Crude Prevalence,10.6,White
328772,2014,Arizona,All teeth lost among adults aged >= 65 years,Crude Prevalence,11.7,White
328764,2014,Arkansas,All teeth lost among adults aged >= 65 years,Crude Prevalence,20.9,White
328780,2014,California,All teeth lost among adults aged >= 65 years,Crude Prevalence,8,White
328788,2014,Colorado,All teeth lost among adults aged >= 65 years,Crude Prevalence,8.9,White
328796,2014,Connecticut,All teeth lost among adults aged >= 65 years,Crude Prevalence,9.7,White
328812,2014,Delaware,All teeth lost among adults aged >= 65 years,Crude Prevalence,14.3,White
328804,2014,District of Columbia,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,White
328820,2014,Florida,All teeth lost among adults aged >= 65 years,Crude Prevalence,12.9,White
328828,2014,Georgia,All teeth lost among adults aged >= 65 years,Crude Prevalence,16.8,White
328836,2014,Guam,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,White
328317,2014,Hawaii,All teeth lost among adults aged >= 65 years,Crude Prevalence,6.5,White
328333,2014,Idaho,All teeth lost among adults aged >= 65 years,Crude Prevalence,14,White
328341,2014,Illinois,All teeth lost among adults aged >= 65 years,Crude Prevalence,15.4,White
328349,2014,Indiana,All teeth lost among adults aged >= 65 years,Crude Prevalence,17.1,White
328325,2014,Iowa,All teeth lost among adults aged >= 65 years,Crude Prevalence,14.7,White
328357,2014,Kansas,All teeth lost among adults aged >= 65 years,Crude Prevalence,15.7,White
328365,2014,Kentucky,All teeth lost among adults aged >= 65 years,Crude Prevalence,23.3,White
328373,2014,Louisiana,All teeth lost among adults aged >= 65 years,Crude Prevalence,17.9,White
328397,2014,Maine,All teeth lost among adults aged >= 65 years,Crude Prevalence,17.2,White
328389,2014,Maryland,All teeth lost among adults aged >= 65 years,Crude Prevalence,12.5,White
328381,2014,Massachusetts,All teeth lost among adults aged >= 65 years,Crude Prevalence,13.5,White
328405,2014,Michigan,All teeth lost among adults aged >= 65 years,Crude Prevalence,11.7,White
328413,2014,Minnesota,All teeth lost among adults aged >= 65 years,Crude Prevalence,10.1,White
328850,2014,Mississippi,All teeth lost among adults aged >= 65 years,Crude Prevalence,19.3,White
328842,2014,Missouri,All teeth lost among adults aged >= 65 years,Crude Prevalence,19.4,White
328858,2014,Montana,All teeth lost among adults aged >= 65 years,Crude Prevalence,16.2,White
328882,2014,Nebraska,All teeth lost among adults aged >= 65 years,Crude Prevalence,13.6,White
328914,2014,Nevada,All teeth lost among adults aged >= 65 years,Crude Prevalence,15.8,White
328890,2014,New Hampshire,All teeth lost among adults aged >= 65 years,Crude Prevalence,12.2,White
328898,2014,New Jersey,All teeth lost among adults aged >= 65 years,Crude Prevalence,10.8,White
328906,2014,New Mexico,All teeth lost among adults aged >= 65 years,Crude Prevalence,13.2,White
328922,2014,New York,All teeth lost among adults aged >= 65 years,Crude Prevalence,13.2,White
328866,2014,North Carolina,All teeth lost among adults aged >= 65 years,Crude Prevalence,17.7,White
328874,2014,North Dakota,All teeth lost among adults aged >= 65 years,Crude Prevalence,13.9,White
328930,2014,Ohio,All teeth lost among adults aged >= 65 years,Crude Prevalence,18.1,White
328938,2014,Oklahoma,All teeth lost among adults aged >= 65 years,Crude Prevalence,21.1,White
328417,2014,Oregon,All teeth lost among adults aged >= 65 years,Crude Prevalence,13,White
328425,2014,Pennsylvania,All teeth lost among adults aged >= 65 years,Crude Prevalence,15.4,White
328433,2014,Puerto Rico,All teeth lost among adults aged >= 65 years,Crude Prevalence,0,White
328441,2014,Rhode Island,All teeth lost among adults aged >= 65 years,Crude Prevalence,13,White
328449,2014,South Carolina,All teeth lost among adults aged >= 65 years,Crude Prevalence,16.4,White
328457,2014,South Dakota,All teeth lost among adults aged >= 65 years,Crude Prevalence,14.9,White
