ID,Year,Location,Topic,Data Type,Data Value,Category
264585,2014,Alabama,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,20.2,White 
264337,2014,Alaska,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,12.3,White
264601,2014,Arizona,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,11.9,White
264593,2014,Arkansas,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,21.2,White
264609,2014,California,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,8.1,White
264617,2014,Colorado,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,9.2,White
264626,2014,Connecticut,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,9.9,White
264641,2014,Delaware,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,14.7,White
264634,2014,District of Columbia,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,White
264649,2014,Florida,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,13,White
264657,2014,Georgia,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,17.2,White
264673,2014,Hawaii,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,7.2,White
264123,2014,Idaho,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,14.4,White
264131,2014,Illinois,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,15.6,White
264140,2014,Indiana,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,17.3,White
264681,2014,Iowa,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,14.7,White
264148,2014,Kansas,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,15.8,White
264155,2014,Kentucky,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,23.8,White
264163,2014,Louisiana,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,18.1,White
264187,2014,Maine,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,17.7,White
264179,2014,Maryland,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,12.7,White
264171,2014,Massachusetts,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,13.6,White
264195,2014,Michigan,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,12,White
264203,2014,Minnesota,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,10.3,White
264220,2014,Mississippi,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,19.6,White
264211,2014,Missouri,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,19.7,White
264906,2014,Montana,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,16.8,White
264930,2014,Nebraska,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,13.8,White
264961,2014,Nevada,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,16.5,White
264938,2014,New Hampshire,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,12.6,White
264946,2014,New Jersey,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,11,White
264954,2014,New Mexico,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,13.6,White
264969,2014,New York,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,13.3,White
264914,2014,North Carolina,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,18.1,White
264922,2014,North Dakota,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,14,White
264977,2014,Ohio,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,18.5,White
264985,2014,Oklahoma,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,21.6,White
264993,2014,Oregon,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,13.3,White
264340,2014,Pennsylvania,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,15.5,White
264348,2014,Puerto Rico,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,White
264356,2014,Rhode Island,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,13.1,White
264364,2014,South Carolina,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,16.9,White
264372,2014,South Dakota,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,15,White
264381,2014,Tennessee,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,22.6,White
264389,2014,Texas,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,11.7,White
264400,2014,Utah,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,11.2,White
264416,2014,Vermont,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,16.9,White
264408,2014,Virginia,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,14.8,White
264425,2014,Washington,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,11,White
264440,2014,West Virginia,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,33.7,White
264433,2014,Wisconsin,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,13.6,White
264689,2014,Wyoming,All teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,16.9,White
