ID,Year,Location,Topic,Data Type,Data Value,Category
165812,2012,Alabama,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,53.3,Other
165804,2012,Alaska,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,64.3,Other
165828,2012,Arizona,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,67.2,Other
165820,2012,Arkansas,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,36.7,Other
165836,2012,California,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,74.4,Other
165844,2012,Colorado,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,62.4,Other
165858,2012,Connecticut,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,64.9,Other
165874,2012,Delaware,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,74.3,Other
165866,2012,District of Columbia,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,71.2,Other
165882,2012,Florida,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,58.9,Other
165890,2012,Georgia,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,55.9,Other
165898,2012,Guam,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,50.5,Other
165906,2012,Hawaii,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,71.2,Other
165922,2012,Idaho,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,59.5,Other
165930,2012,Illinois,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,66.2,Other
165938,2012,Indiana,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,52.1,Other
165914,2012,Iowa,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,69.9,Other
165946,2012,Kansas,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,55.6,Other
165954,2012,Kentucky,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,47.2,Other
166307,2012,Louisiana,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,43.4,Other
166331,2012,Maine,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,54.4,Other
166323,2012,Maryland,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,70.6,Other
166315,2012,Massachusetts,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,72.8,Other
166339,2012,Michigan,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,58.9,Other
166347,2012,Minnesota,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,67.5,Other
166363,2012,Mississippi,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,65.6,Other
166355,2012,Missouri,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,56.7,Other
166371,2012,Montana,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,54.6,Other
166395,2012,Nebraska,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,68.3,Other
165971,2012,Nevada,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,64.5,Other
166403,2012,New Hampshire,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,65.4,Other
165955,2012,New Jersey,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,67.5,Other
165963,2012,New Mexico,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,56.9,Other
165979,2012,New York,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,64.1,Other
166379,2012,North Carolina,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,63.3,Other
166387,2012,North Dakota,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,52.7,Other
165987,2012,Ohio,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,60.4,Other
165995,2012,Oklahoma,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,62.7,Other
166003,2012,Oregon,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,67.3,Other
166011,2012,Pennsylvania,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,61.3,Other
166019,2012,Puerto Rico,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,Other
166027,2012,Rhode Island,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,68,Other
166035,2012,South Carolina,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,56,Other
166043,2012,South Dakota,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,60,Other
166051,2012,Tennessee,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,54.7,Other
166059,2012,Texas,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,64,Other
166416,2012,Utah,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,69.9,Other
166440,2012,Vermont,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,53.5,Other
166432,2012,Virgin Islands,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,Other
166424,2012,Virginia,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,67,Other
166448,2012,Washington,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,69.4,Other
166464,2012,West Virginia,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,41.3,Other
166456,2012,Wisconsin,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,61,Other
166472,2012,Wyoming,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,60.7,Other
