Age,Crude
15.8,15.1
22.8,22.2
15.5,13.4
12.5,12.2
22.2,21.7
9,8.7
11,10.4
10.7,10.5
16.5,16
11.4,11
13.3,13
20.1,19.3
9.4,7.2
6.6,6.4
15.4,14.9
17,16.5
18.4,18
15,15
16.5,16.4
24.3,23.9
20.9,20.5
17.9,17.5
13.3,12.9
14.7,14.4
13.3,12.9
10.8,10.5
23.1,22.5
20.3,19.9
17.4,16.7
14.3,14.1
17.2,17
12.6,12.2
13.3,13
16.3,15.7
15.1,14.9
20.1,19.6
14.4,14.3
18.5,18.1
22.9,22.4
13.3,12.9
15.9,15.7
17.3,16.7
14,13.8
18.8,18.1
16.2,16.1
23.2,22.4
12.6,12.3
11.7,11.2
17.2,16.9
15.8,15.1
11.6,11.1
34,33.6
13.9,13.6
17.5,17.2
15.6,15
21.6,20.6
15.3,13.1
12.4,12.2
22.6,21.9
7.7,7.6
10.7,9.8
9.5,9
17.5,17.3
9.3,9.2
13,12.5
20.6,19.1
0,0
6.1,5.9
16.5,14.6
15.1,15
18.4,17.6
15.2,15
16,15.6
24.1,23.3
18.1,18.2
16.1,15.6
12.4,12.3
14,13.5
12.9,12.1
9.5,9.2
21.8,21.4
21.6,20.3
16.5,15.6
14.9,14.4
18.9,18.8
13.2,12.5
12.8,12.3
16.7,15.8
13,13.1
23.1,21.7
13.4,12.8
15.6,15.3
24.1,23.4
11.1,10.7
17.8,17.2
16.2,15.5
11.9,11.7
19.3,19
16.7,16.1
24.1,21.9
10.2,9.6
11.7,10.8
16.7,16.7
15.8,14.9
11.5,11.2
31.4,31
14,13.2
17.3,16.8
15.6,15.3
23.7,23.4
15.6,13.7
12.5,12.2
21.8,21.6
9.9,9.6
11.3,11
11.6,11.6
15.6,15
12.6,12.2
13.6,13.4
19.9,19.4
0,0
6.9,6.8
15,15.1
18,17.7
18.5,18.3
14.8,14.9
17,17
24.5,24.3
22.7,22.4
19.3,19
13.8,13.4
15.1,15.1
13.7,13.5
11.7,11.6
23.7,23.3
19.6,19.6
18.1,17.7
13.7,13.8
15.7,15.4
12.1,11.9
13.7,13.6
16,15.6
16.4,16.3
18.1,18
15.3,15.5
20.6,20.4
22,21.7
15,14.7
14.5,14.6
18.1,17.6
15.3,15.3
18.1,17.4
16,16.1
23,22.8
14.6,14.4
11.8,11.5
17.3,17.1
15.7,15.2
11.5,11
35.9,35.8
13.9,13.9
17.7,17.6
16.5,16.1
23.8,23.6
16.1,15.6
13.8,13.3
24,23.7
8.8,8.7
12.6,12.4
13.7,13.6
17.2,16.9
13.8,13.1
16,15.8
18.9,18.4
21.2,19.1
7,7
16.5,16.1
16.3,16.1
19.9,19.7
17.3,17.3
18.9,18.8
24.9,24.7
29.2,28.7
22.4,22.1
15.1,14.5
15.6,15.5
13.6,13.3
12.1,12
25.4,25
25,24.9
18.4,18.1
13.4,13.4
15.4,15.1
13.3,13.1
14.2,13.9
16.7,16.2
15.3,15.1
21.6,21
17,17.1
20.4,20.3
21.2,21
15.5,15
18.2,18.2
20.8,19.8
12.5,12.5
19.8,19.5
19.4,19.4
24.8,24.8
13.6,13.4
13.3,12.9
18,17.5
0,0
16.4,16.1
11.5,10.9
34.2,33.7
13.7,13.5
18,17.7
16.4,15.7
23.8,23.3
13.6,13
11.3,10.5
25,24.3
8.8,8.4
13.3,13.2
13.9,13.4
18,17.3
13.8,13.3
16.8,16.7
19.1,17.8
29.8,26.6
6.3,6
18.6,18
14.8,14.5
21.1,20.8
18.6,18.2
18.5,18.1
24.5,24.1
28.2,28
21.1,20.9
13.3,12.3
15.8,15.4
12.9,12.7
11.8,11.6
28.5,27.5
24.3,24.7
16.8,16.1
12.4,12
13.8,14
12.4,12
13.7,13.3
16,15.4
14,13.7
24.3,23
13.9,13.6
20.4,20
22.3,21.8
16.5,16
17.4,17.3
20.1,18.6
12.5,12
21.4,21.3
19.8,19.5
23.9,24.3
15.1,14.9
12.1,11.6
15.9,15
0,0
16.4,15.7
10,9.1
34,32.6
16.7,15.7
16.2,15.5
16.7,16.6
23.9,23.8
18.5,18.2
15.9,15.6
23.4,23.3
9,8.9
11.9,11.7
13.7,13.8
16.6,16.5
13.5,13
15.2,15
18.9,18.8
0,12.6
7.8,7.8
14.7,14.4
17.2,17.2
18.8,18.8
16.4,16.6
19.2,19.4
25.3,25.2
29.6,29.3
23.1,23.1
16.5,16.3
15.5,15.5
13.9,13.8
12.2,12.2
23.2,23.1
25.1,25
19.9,19.8
14.4,14.5
16.7,16.1
14,13.9
14.4,14.4
17.2,16.8
16,16
19.7,19.5
19.5,19.9
20.5,20.5
20.5,20.4
14.5,14.1
18.6,18.9
21.4,20.8
12.7,12.8
18.4,18.2
19.1,19.4
25.2,25.2
12.4,12.3
14.2,14
19.7,19.5
0,0
16.5,16.4
12.7,12.5
34.7,34.7
11.6,11.7
19.7,19.6
