,ID,Year,Location,Topic,Data Type,Data Value,Category
1,264321,2014,United States,Oral Health Service,Crude Prevalence,20.9,Overall
2,264280,2014,Alabama,Oral Health Service,Crude Prevalence,13.2,Overall
3,264279,2014,Alaska,Oral Health Service,Crude Prevalence,33.1,Overall
4,264282,2014,Arizona,Oral Health Service,Crude Prevalence,13.2,Overall
5,264281,2014,Arkansas,Oral Health Service,Crude Prevalence,15.4,Overall
6,264283,2014,California,Oral Health Service,Crude Prevalence,19.8,Overall
7,264284,2014,Colorado,Oral Health Service,Crude Prevalence,19.8,Overall
8,264285,2014,Connecticut,Oral Health Service,Crude Prevalence,26.4,Overall
9,264287,2014,Delaware,Oral Health Service,Crude Prevalence,17.4,Overall
10,264286,2014,District of Columbia,Oral Health Service,Crude Prevalence,19,Overall
11,264288,2014,Florida,Oral Health Service,Crude Prevalence,20.4,Overall
12,264289,2014,Georgia,Oral Health Service,Crude Prevalence,9.3,Overall
13,264221,2014,Hawaii,Oral Health Service,Crude Prevalence,28.1,Overall
14,244527,2014,Idaho,Oral Health Service,Crude Prevalence,21.1,Overall
15,264290,2014,Illinois,Oral Health Service,Crude Prevalence,13.3,Overall
16,264291,2014,India0,Oral Health Service,Crude Prevalence,11,Overall
17,264266,2014,Iowa,Oral Health Service,Crude Prevalence,33.1,Overall
18,264292,2014,Kansas,Oral Health Service,Crude Prevalence,35.8,Overall
19,264293,2014,Kentucky,Oral Health Service,Crude Prevalence,16.7,Overall
20,264294,2014,Louisiana,Oral Health Service,Crude Prevalence,20.7,Overall
21,264297,2014,Maine,Oral Health Service,Crude Prevalence,19.1,Overall
22,264296,2014,Maryland,Oral Health Service,Crude Prevalence,15.4,Overall
23,264295,2014,Massachusetts,Oral Health Service,Crude Prevalence,24,Overall
24,264298,2014,Michigan,Oral Health Service,Crude Prevalence,30,Overall
25,264299,2014,Minnesota,Oral Health Service,Crude Prevalence,34.3,Overall
26,264301,2014,Mississippi,Oral Health Service,Crude Prevalence,16.6,Overall
27,264300,2014,Missouri,Oral Health Service,Crude Prevalence,35.7,Overall
28,264302,2014,Montana,Oral Health Service,Crude Prevalence,25.8,Overall
29,264305,2014,Nebraska,Oral Health Service,Crude Prevalence,27.8,Overall
30,264309,2014,Nevada,Oral Health Service,Crude Prevalence,14.3,Overall
31,264306,2014,New Hampshire,Oral Health Service,Crude Prevalence,9.3,Overall
32,264307,2014,New Jersey,Oral Health Service,Crude Prevalence,29.1,Overall
33,264308,2014,New Mexico,Oral Health Service,Crude Prevalence,25.9,Overall
34,264310,2014,New York,Oral Health Service,Crude Prevalence,23.3,Overall
