ID,Year,Location,Topic,Data Type,Data Value,Category
165807,2012,Alabama,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,50.5,Black
165799,2012,Alaska,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,66.9,Black
165823,2012,Arizona,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,59.4,Black
165815,2012,Arkansas,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,49.7,Black
165831,2012,California,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,60.4,Black
165839,2012,Colorado,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,49.7,Black
165847,2012,Connecticut,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,67.3,Black
165869,2012,Delaware,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,60.8,Black
165861,2012,District of Columbia,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,65.6,Black
165877,2012,Florida,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,47.6,Black
165885,2012,Georgia,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,60.9,Black
165893,2012,Guam,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Black
165901,2012,Hawaii,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,60.3,Black
165917,2012,Idaho,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Black
165925,2012,Illinois,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,58.5,Black
165933,2012,Indiana,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,51.2,Black
165909,2012,Iowa,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,49.7,Black
165941,2012,Kansas,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,56.1,Black
165949,2012,Kentucky,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,53.8,Black
166302,2012,Louisiana,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,48,Black
166326,2012,Maine,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Black
166318,2012,Maryland,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,68.3,Black
166310,2012,Massachusetts,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,63.5,Black
166334,2012,Michigan,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,55,Black
166342,2012,Minnesota,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,63.4,Black
166358,2012,Mississippi,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,47.2,Black
166350,2012,Missouri,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,57.5,Black
166366,2012,Montana,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Black
166390,2012,Nebraska,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,55,Black
165966,2012,Nevada,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,54,Black
166398,2012,New Hampshire,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Black
166406,2012,New Jersey,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,61.6,Black
165958,2012,New Mexico,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,57,Black
165974,2012,New York,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,60.4,Black
