ID,Year,Location,Topic,Data Type,Data Value,Category
327851,2014,Alabama,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,53,Black
327843,2014,Alaska,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,57.5,Black
327867,2014,Arizona,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,54.8,Black
327859,2014,Arkansas,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,54.1,Black
327391,2014,California,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,56.3,Black
327399,2014,Colorado,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,55.3,Black
327407,2014,Connecticut,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,64.2,Black
327423,2014,Delaware,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,63.7,Black
327415,2014,District of Columbia,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,64.2,Black
327431,2014,Florida,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,56,Black
327439,2014,Georgia,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,52.8,Black
327447,2014,Guam,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,0,Black
327455,2014,Hawaii,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,51.3,Black
327471,2014,Idaho,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,0,Black
327479,2014,Illinois,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,58.3,Black
327487,2014,Indiana,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,55.1,Black
327463,2014,Iowa,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,58.3,Black
327495,2014,Kansas,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,58.4,Black
327503,2014,Kentucky,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,55.1,Black
327877,2014,Louisiana,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,49.4,Black
327901,2014,Maine,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,0,Black
327893,2014,Maryland,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,64.7,Black
327885,2014,Massachusetts,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,65.6,Black
327909,2014,Michigan,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,54.9,Black
327917,2014,Minnesota,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,62.5,Black
327933,2014,Mississippi,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,49.2,Black
327925,2014,Missouri,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,54.4,Black
327941,2014,Montana,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,0,Black
327965,2014,Nebraska,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,53.6,Black
327518,2014,Nevada,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,49.9,Black
327973,2014,New Hampshire,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,0,Black
327981,2014,New Jersey,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,60.3,Black
327510,2014,New Mexico,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,56.4,Black
327526,2014,New York,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,59.2,Black
327949,2014,North Carolina,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,55.2,Black
327957,2014,North Dakota,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,0,Black
327534,2014,Ohio,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,60.4,Black
327542,2014,Oklahoma,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,54.6,Black
327550,2014,Oregon,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,0,Black
327558,2014,Pennsylvania,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,54.3,Black
327566,2014,Puerto Rico,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,0,Black
327574,2014,Rhode Island,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,49.9,Black
327582,2014,South Carolina,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,49.4,Black
327590,2014,South Dakota,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,0,Black
327598,2014,Tennessee,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,57.1,Black
327606,2014,Texas,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,56.4,Black
327991,2014,Utah,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,50.9,Black
328007,2014,Vermont,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,0,Black
327999,2014,Virginia,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,62.8,Black
328015,2014,Washington,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,61,Black
328031,2014,West Virginia,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,46.1,Black
328023,2014,Wisconsin,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,55.2,Black
328039,2014,Wyoming,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,0,Black
