ID,Year ,Location ,Topic,Data Type,Data Value,Category
166485,2012,Alabama,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,52.7,Hispanic
166477,2012,Alaska,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,62.9,Hispanic
166501,2012,Arizona,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,49.3,Hispanic
166493,2012,Arkansas,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,35.8,Hispanic
166509,2012,California,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,55.9,Hispanic
166517,2012,Colorado,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,51.5,Hispanic
166525,2012,Connecticut,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,66.4,Hispanic
166080,2012,Delaware,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,62.2,Hispanic
166072,2012,District of Columbia,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,68.9,Hispanic
166088,2012,Florida,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,56.1,Hispanic
166096,2012,Georgia,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,58,Hispanic
166104,2012,Guam,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,62,Hispanic
166112,2012,Hawaii,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,61.8,Hispanic
166128,2012,Idaho,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,59.9,Hispanic
166136,2012,Illinois,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,59.5,Hispanic
166144,2012,Indiana,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,47.1,Hispanic
166120,2012,Iowa,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,62.7,Hispanic
166152,2012,Kansas,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,57.4,Hispanic
166160,2012,Kentucky,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,66.4,Hispanic
166168,2012,Louisiana,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,53.8,Hispanic
166534,2012,Maine,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,69,Hispanic
166526,2012,Maryland,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,64.8,Hispanic
166176,2012,Massachusetts,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,67.8,Hispanic
166542,2012,Michigan,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,63.1,Hispanic
166550,2012,Minnesota,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,57.4,Hispanic
