ID,YearStart,LocationDesc,Question,DataValueTypeId,Data Value,Category
327621,2014,Alabama,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Hispanic
327613,2014,Alaska,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Hispanic
327637,2014,Arizona,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,48.2,Hispanic
327629,2014,Arkansas,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Hispanic
327645,2014,California,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,55.4,Hispanic
327653,2014,Colorado,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,53.8,Hispanic
327661,2014,Connecticut,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,64.7,Hispanic
327198,2014,Delaware,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Hispanic
327669,2014,District of Columbia,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Hispanic
327206,2014,Florida,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,55.9,Hispanic
327214,2014,Georgia,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Hispanic
327222,2014,Guam,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Hispanic
327230,2014,Hawaii,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,69.8,Hispanic
327246,2014,Idaho,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Hispanic
327254,2014,Illinois,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Hispanic
327262,2014,Indiana,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Hispanic
327238,2014,Iowa,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Hispanic
327270,2014,Kansas,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,52.6,Hispanic
327278,2014,Kentucky,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Hispanic
327286,2014,Louisiana,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Hispanic
327692,2014,Maine,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Hispanic
327684,2014,Maryland,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Hispanic
327676,2014,Massachusetts,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,67.4,Hispanic
327700,2014,Michigan,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Hispanic
327708,2014,Minnesota,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Hispanic
327724,2014,Mississippi,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Hispanic
327716,2014,Missouri,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Hispanic
327732,2014,Montana,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Hispanic
327756,2014,Nebraska,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,48.2,Hispanic
327309,2014,Nevada,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Hispanic
327764,2014,New Hampshire,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Hispanic
327293,2014,New Jersey,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,58.2,Hispanic
327301,2014,New Mexico,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,55.8,Hispanic
327317,2014,New York,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,63.2,Hispanic
327740,2014,North Carolina,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Hispanic
327748,2014,North Dakota,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Hispanic
327325,2014,Ohio,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Hispanic
327333,2014,Oklahoma,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Hispanic
327341,2014,Oregon,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Hispanic
327349,2014,Pennsylvania,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Hispanic
327357,2014,Puerto Rico,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,66.3,Hispanic
327365,2014,Rhode Island,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Hispanic
327373,2014,South Carolina,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Hispanic
327381,2014,South Dakota,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Hispanic
327770,2014,Tennessee,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Hispanic
327778,2014,Texas,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,48.8,Hispanic
327789,2014,Utah,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Hispanic
327805,2014,Vermont,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Hispanic
327797,2014,Virginia,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Hispanic
327813,2014,Washington,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,52.5,Hispanic
327829,2014,West Virginia,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Hispanic
