ID,Year ,Location ,Topic,Data Type ,Data Value,Category
165811,2012,Alabama,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,56.7,MultiRacial 
165803,2012,Alaska,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,68.8,MultiRacial 
165827,2012,Arizona,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,54.8,MultiRacial 
165819,2012,Arkansas,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,51.7,MultiRacial 
165835,2012,California,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,64.2,MultiRacial 
165843,2012,Colorado,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,60,MultiRacial 
165857,2012,Connecticut,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,74.1,MultiRacial 
165873,2012,Delaware,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,62.3,MultiRacial 
165865,2012,District of Columbia,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,77.8,MultiRacial 
165881,2012,Florida,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,56.6,MultiRacial 
165889,2012,Georgia,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,66.6,MultiRacial 
165897,2012,Guam,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,53,MultiRacial 
165905,2012,Hawaii,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,63.8,MultiRacial 
165921,2012,Idaho,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,59.1,MultiRacial 
165929,2012,Illinois,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,61.5,MultiRacial 
165937,2012,Indiana,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,54.4,MultiRacial 
165913,2012,Iowa,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,46.6,MultiRacial 
165945,2012,Kansas,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,54.6,MultiRacial 
165953,2012,Kentucky,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,49.5,MultiRacial 
166306,2012,Louisiana,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,48.2,MultiRacial 
166330,2012,Maine,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,59.2,MultiRacial 
166322,2012,Maryland,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,69.6,MultiRacial 
166314,2012,Massachusetts,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,60.6,MultiRacial 
166338,2012,Michigan,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,57.3,MultiRacial 
166346,2012,Minnesota,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,57.3,MultiRacial 
166362,2012,Mississippi,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,57,MultiRacial 
166354,2012,Missouri,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,39.3,MultiRacial 
166370,2012,Montana,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,44.3,MultiRacial 
166394,2012,Nebraska,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,53.7,MultiRacial 
165970,2012,Nevada,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,54.1,MultiRacial 
