ID,Year ,Location ,Topic,Data Type,Data Value,Category
166487,2012,Alabama,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,58.4,MultiRacial
166479,2012,Alaska,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,67.6,MultiRacial
166503,2012,Arizona,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,56.9,MultiRacial
166495,2012,Arkansas,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,51,MultiRacial
166511,2012,California,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,64.8,MultiRacial
166519,2012,Colorado,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,60.3,MultiRacial
166066,2012,Connecticut,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,75.1,MultiRacial
166082,2012,Delaware,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,62,MultiRacial
166074,2012,District of Columbia,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,70.7,MultiRacial
166090,2012,Florida,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,58,MultiRacial
166098,2012,Georgia,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,64.5,MultiRacial
166106,2012,Guam,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,52.3,MultiRacial
166114,2012,Hawaii,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,63.9,MultiRacial
166130,2012,Idaho,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,59.9,MultiRacial
166138,2012,Illinois,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,60.1,MultiRacial
166146,2012,Indiana,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,54.3,MultiRacial
166122,2012,Iowa,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,51.1,MultiRacial
166154,2012,Kansas,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,52.9,MultiRacial
166162,2012,Kentucky,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,49,MultiRacial
166170,2012,Louisiana,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,45.6,MultiRacial
166536,2012,Maine,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,51.8,MultiRacial
166528,2012,Maryland,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,70.7,MultiRacial
166178,2012,Massachusetts,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,60.5,MultiRacial
166544,2012,Michigan,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,58.8,MultiRacial
166552,2012,Minnesota,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,55.8,MultiRacial
166568,2012,Mississippi,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,56,MultiRacial
166560,2012,Missouri,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,41.1,MultiRacial
166576,2012,Montana,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,44,MultiRacial
166600,2012,Nebraska,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,53.7,MultiRacial
166632,2012,Nevada,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,60.5,MultiRacial
166608,2012,New Hampshire,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,68,MultiRacial
166616,2012,New Jersey,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,61.5,MultiRacial
166624,2012,New Mexico,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,45.8,MultiRacial
166640,2012,New York,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,68.6,MultiRacial
166584,2012,North Carolina,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,57.5,MultiRacial
166592,2012,North Dakota,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,0,MultiRacial
166190,2012,Ohio,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,54.6,MultiRacial
166198,2012,Oklahoma,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,51.5,MultiRacial
166206,2012,Oregon,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,57.3,MultiRacial
166214,2012,Pennsylvania,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,54.9,MultiRacial
166222,2012,Puerto Rico,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,0,MultiRacial
166230,2012,Rhode Island,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,0,MultiRacial
166238,2012,South Carolina,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,62.8,MultiRacial
166246,2012,South Dakota,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,57,MultiRacial
166254,2012,Tennessee,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,71.2,MultiRacial
166262,2012,Texas,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,57.8,MultiRacial
166273,2012,Utah,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,51.1,MultiRacial
166297,2012,Vermont,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,74.3,MultiRacial
166289,2012,Virgin Islands,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,0,MultiRacial
166281,2012,Virginia,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,59.2,MultiRacial
166647,2012,Washington,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,63.3,MultiRacial
166663,2012,West Virginia,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,47.4,MultiRacial
166655,2012,Wisconsin,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,0,MultiRacial
165852,2012,Wyoming,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,64.3,MultiRacial
