ID,Year ,Location ,Topic,Data Type,Data Value,Category
327623,2014,Alabama,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327615,2014,Alaska,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327639,2014,Arizona,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327631,2014,Arkansas,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327647,2014,California,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327655,2014,Colorado,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327663,2014,Connecticut,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327200,2014,Delaware,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327671,2014,District of Columbia,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327208,2014,Florida,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327216,2014,Georgia,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327224,2014,Guam,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327232,2014,Hawaii,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,65.3,MultiRacial
327248,2014,Idaho,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327256,2014,Illinois,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327264,2014,Indiana,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327240,2014,Iowa,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327272,2014,Kansas,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327280,2014,Kentucky,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327288,2014,Louisiana,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327694,2014,Maine,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327686,2014,Maryland,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327678,2014,Massachusetts,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327702,2014,Michigan,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327710,2014,Minnesota,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327726,2014,Mississippi,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327718,2014,Missouri,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327734,2014,Montana,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327758,2014,Nebraska,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327311,2014,Nevada,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327766,2014,New Hampshire,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327295,2014,New Jersey,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327303,2014,New Mexico,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327319,2014,New York,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327742,2014,North Carolina,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327750,2014,North Dakota,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327327,2014,Ohio,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327335,2014,Oklahoma,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327343,2014,Oregon,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327351,2014,Pennsylvania,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327359,2014,Puerto Rico,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327367,2014,Rhode Island,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327375,2014,South Carolina,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327383,2014,South Dakota,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327772,2014,Tennessee,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327780,2014,Texas,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327791,2014,Utah,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327807,2014,Vermont,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327799,2014,Virginia,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327815,2014,Washington,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327831,2014,West Virginia,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327823,2014,Wisconsin,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
327839,2014,Wyoming,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,0,MultiRacial
