ID,Year ,Location ,Topic,Data Type,Data Value,Category
166488,2012,Alabama,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,55.6,Other
166480,2012,Alaska,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,65.1,Other
166504,2012,Arizona,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,67.4,Other
166496,2012,Arkansas,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,39.9,Other
166512,2012,California,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,75,Other
166520,2012,Colorado,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,63.3,Other
166067,2012,Connecticut,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,65.9,Other
166083,2012,Delaware,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,75.2,Other
166075,2012,District of Columbia,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,70.3,Other
166091,2012,Florida,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,57.1,Other
166099,2012,Georgia,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,58.4,Other
166107,2012,Guam,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,51.9,Other
166115,2012,Hawaii,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,73.2,Other
166131,2012,Idaho,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,60,Other
166139,2012,Illinois,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,65.7,Other
166147,2012,Indiana,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,53.1,Other
166123,2012,Iowa,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,61.3,Other
166155,2012,Kansas,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,57,Other
166163,2012,Kentucky,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,50.9,Other
166171,2012,Louisiana,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,44.9,Other
166537,2012,Maine,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,54.2,Other
166529,2012,Maryland,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,70,Other
166179,2012,Massachusetts,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,73.2,Other
166545,2012,Michigan,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,57.8,Other
166553,2012,Minnesota,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,65.4,Other
166569,2012,Mississippi,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,63.6,Other
166561,2012,Missouri,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,54.3,Other
166577,2012,Montana,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,55,Other
166601,2012,Nebraska,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,68,Other
166633,2012,Nevada,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,64.8,Other
166609,2012,New Hampshire,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,65.7,Other
166617,2012,New Jersey,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,67.8,Other
166625,2012,New Mexico,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,57.1,Other
166641,2012,New York,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,64.8,Other
166585,2012,North Carolina,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,63.4,Other
166593,2012,North Dakota,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,53.8,Other
166191,2012,Ohio,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,61.6,Other
166199,2012,Oklahoma,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,63.4,Other
166207,2012,Oregon,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,66.8,Other
166215,2012,Pennsylvania,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,63.5,Other
166223,2012,Puerto Rico,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,0,Other
166231,2012,Rhode Island,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,68.8,Other
166239,2012,South Carolina,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,55.6,Other
166247,2012,South Dakota,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,62.4,Other
166255,2012,Tennessee,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,58.3,Other
166263,2012,Texas,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,65.3,Other
166274,2012,Utah,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,68.4,Other
166298,2012,Vermont,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,54.9,Other
166290,2012,Virgin Islands,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,0,Other
166282,2012,Virginia,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,68.2,Other
166648,2012,Washington,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,69.3,Other
166664,2012,West Virginia,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,46.5,Other
166656,2012,Wisconsin,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,59.6,Other
165853,2012,Wyoming,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,59,Other
