ID,YearStart,LocationDesc,Question,DataValueTypeId,Data_Value,Stratification1
327624,2014,Alabama,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327616,2014,Alaska,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,57,Other
327640,2014,Arizona,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327632,2014,Arkansas,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327648,2014,California,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,71.4,Other
327656,2014,Colorado,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327664,2014,Connecticut,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327201,2014,Delaware,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327193,2014,District of Columbia,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327209,2014,Florida,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327217,2014,Georgia,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327225,2014,Guam,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,48.9,Other
327233,2014,Hawaii,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,74.9,Other
327249,2014,Idaho,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327257,2014,Illinois,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327265,2014,Indiana,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327241,2014,Iowa,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327273,2014,Kansas,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327281,2014,Kentucky,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327289,2014,Louisiana,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327695,2014,Maine,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327687,2014,Maryland,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327679,2014,Massachusetts,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,74.3,Other
327703,2014,Michigan,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327711,2014,Minnesota,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,65.7,Other
327727,2014,Mississippi,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327719,2014,Missouri,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327735,2014,Montana,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327759,2014,Nebraska,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327312,2014,Nevada,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327767,2014,New Hampshire,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327296,2014,New Jersey,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,64.7,Other
327304,2014,New Mexico,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,62.4,Other
327320,2014,New York,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327743,2014,North Carolina,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327751,2014,North Dakota,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327328,2014,Ohio,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327336,2014,Oklahoma,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327344,2014,Oregon,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,63.8,Other
327352,2014,Pennsylvania,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327360,2014,Puerto Rico,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327368,2014,Rhode Island,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327376,2014,South Carolina,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327384,2014,South Dakota,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,64.7,Other
327773,2014,Tennessee,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327781,2014,Texas,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327792,2014,Utah,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327808,2014,Vermont,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327800,2014,Virginia,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,64.3,Other
327816,2014,Washington,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327832,2014,West Virginia,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327824,2014,Wisconsin,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,0,Other
327840,2014,Wyoming,Visits to dentist or dental clinic among adults aged >= 18 years,AgeAdjPrev,60.8,Other
