ID,Year,Location,Topic,Data Type,Data Value,Category
166490,2012,Alabama,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,61.7,White
166482,2012,Alaska,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,69.3,White
166506,2012,Arizona,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,66.6,White
166498,2012,Arkansas,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,58,White
166514,2012,California,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,73.9,White
166522,2012,Colorado,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,69.9,White
166069,2012,Connecticut,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,79.5,White
166085,2012,Delaware,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,73.4,White
166077,2012,District of Columbia,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,78.8,White
166093,2012,Florida,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,64.1,White
166101,2012,Georgia,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,66.6,White
166109,2012,Guam,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,70.5,White
166117,2012,Hawaii,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,74.1,White
166133,2012,Idaho,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,69,White
166141,2012,Illinois,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,70.5,White
166149,2012,Indiana,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,65.2,White
166125,2012,Iowa,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,72.5,White
166157,2012,Kansas,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,69.9,White
166165,2012,Kentucky,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,61.2,White
166173,2012,Louisiana,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,60.6,White
166539,2012,Maine,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,65.8,White
166531,2012,Maryland,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,76.3,White
166181,2012,Massachusetts,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,78.4,White
166547,2012,Michigan,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,70.9,White
166555,2012,Minnesota,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,77.2,White
166571,2012,Mississippi,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,59.7,White
166563,2012,Missouri,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,62.8,White
166579,2012,Montana,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,62,White
166603,2012,Nebraska,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,69.9,White
166635,2012,Nevada,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,64.5,White
166611,2012,New Hampshire,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,73.9,White
166619,2012,New Jersey,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,76.7,White
166627,2012,New Mexico,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,67.3,White
166185,2012,New York,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,72.5,White
166587,2012,North Carolina,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,69.3,White
166595,2012,North Dakota,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,68.6,White
166193,2012,Ohio,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,68.5,White
166201,2012,Oklahoma,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,60.6,White
166209,2012,Oregon,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,66.4,White
166217,2012,Pennsylvania,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,70.7,White
166225,2012,Puerto Rico,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,0,White
166233,2012,Rhode Island,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,77,White
166241,2012,South Carolina,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,64.8,White
166249,2012,South Dakota,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,72.5,White
166257,2012,Tennessee,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,62.2,White
166265,2012,Texas,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,66.4,White
166276,2012,Utah,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,71,White
166642,2012,Vermont,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,71.2,White
166292,2012,Virgin Islands,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,0,White
166284,2012,Virginia,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,73.2,White
166650,2012,Washington,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,69.9,White
166666,2012,West Virginia,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,56.8,White
166658,2012,Wisconsin,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,74.2,White
165855,2012,Wyoming,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,67.9,White
