ID,Year,LocationDesc,Topic,Data Type,Data Value,Category
265296,2014,Alabama,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265288,2014,Alaska,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265312,2014,Arizona,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,38.1,Hispanic
265304,2014,Arkansas,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265523,2014,California,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,31.7,Hispanic
265531,2014,Colorado,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,47.9,Hispanic
265539,2014,Connecticut,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265555,2014,Delaware,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265547,2014,District of Columbia,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265563,2014,Florida,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,30.5,Hispanic
265571,2014,Georgia,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265587,2014,Hawaii,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265603,2014,Idaho,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265611,2014,Illinois,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265619,2014,Indiana,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265595,2014,Iowa,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265008,2014,Kansas,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265016,2014,Kentucky,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265024,2014,Louisiana,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265048,2014,Maine,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265040,2014,Maryland,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265032,2014,Massachusetts,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265056,2014,Michigan,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265064,2014,Minnesota,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265080,2014,Mississippi,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265072,2014,Missouri,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265088,2014,Montana,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265329,2014,Nebraska,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265361,2014,Nevada,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265337,2014,New Hampshire,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265345,2014,New Jersey,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,43,Hispanic
265353,2014,New Mexico,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,43.5,Hispanic
265369,2014,New York,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265096,2014,North Carolina,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265321,2014,North Dakota,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265377,2014,Ohio,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265385,2014,Oklahoma,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265393,2014,Oregon,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265401,2014,Pennsylvania,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265409,2014,Puerto Rico,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,54.9,Hispanic
265622,2014,Rhode Island,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265631,2014,South Carolina,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265639,2014,South Dakota,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265647,2014,Tennessee,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265655,2014,Texas,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,27.4,Hispanic
265666,2014,Utah,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265682,2014,Vermont,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265674,2014,Virginia,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265690,2014,Washington,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265706,2014,West Virginia,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265698,2014,Wisconsin,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
265715,2014,Wyoming,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
