ID,Year,Location,Topic,Data Type,Data_Value,Category
126294,2012,United States,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,40,Male
125816,2012,Alabama,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,53.7,Male
125808,2012,Alaska,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,36.8,Male
125832,2012,Arizona,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,34.7,Male
125824,2012,Arkansas,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,51.3,Male
125840,2012,California,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,30.9,Male
125848,2012,Colorado,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,35,Male
125432,2012,Connecticut,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,35.8,Male
125448,2012,Delaware,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,44.9,Male
125440,2012,District of Columbia,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,38.1,Male
125456,2012,Florida,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,38.3,Male
125465,2012,Georgia,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,47.5,Male
125481,2012,Hawaii,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,23,Male
125497,2012,Idaho,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,42.4,Male
125506,2012,Illinois,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,41.4,Male
125514,2012,Indiana,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,44.5,Male
125489,2012,Iowa,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,41.2,Male
125520,2012,Kansas,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,39.2,Male
125849,2012,Kentucky,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,52.4,Male
125857,2012,Louisiana,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,57.5,Male
125881,2012,Maine,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,48.2,Male
125873,2012,Maryland,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,41.5,Male
125865,2012,Massachusetts,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,41.9,Male
125890,2012,Michigan,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,38.5,Male
125898,2012,Minnesota,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,32.6,Male
125914,2012,Mississippi,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,56.5,Male
125906,2012,Missouri,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,49.2,Male
125922,2012,Montana,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,39.9,Male
