ID,Year,Location,Topic,Data Type,Data Value,Category
265662,2014,United States,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,38,Male
265297,2014,Alabama,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,50.2,Male
265289,2014,Alaska,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,29.4,Male
265313,2014,Arizona,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,34.1,Male
265305,2014,Arkansas,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,48.5,Male
265524,2014,California,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,30.5,Male
265532,2014,Colorado,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,33.5,Male
265540,2014,Connecticut,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,31.2,Male
265556,2014,Delaware,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,47.5,Male
265548,2014,District of Columbia,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,33.5,Male
265564,2014,Florida,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,34.8,Male
265572,2014,Georgia,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,45.7,Male
265588,2014,Hawaii,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,29.9,Male
265604,2014,Idaho,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,33.4,Male
265612,2014,Illinois,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,41.7,Male
265001,2014,Indiana,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,42,Male
265596,2014,Iowa,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,37.7,Male
265009,2014,Kansas,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,37.4,Male
265017,2014,Kentucky,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,54,Male
265025,2014,Louisiana,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,45.2,Male
265049,2014,Maine,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,42.5,Male
265041,2014,Maryland,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,36.8,Male
265033,2014,Massachusetts,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,42.2,Male
265057,2014,Michigan,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,37.8,Male
265065,2014,Minnesota,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,30.1,Male
265081,2014,Mississippi,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,51.9,Male
265073,2014,Missouri,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,47.3,Male
265089,2014,Montana,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,35.5,Male
265330,2014,Nebraska,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,35.1,Male
265362,2014,Nevada,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,43.5,Male
265338,2014,New Hampshire,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,38.8,Male
265346,2014,New Jersey,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,37.3,Male
265354,2014,New Mexico,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,39.2,Male
265370,2014,New York,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,37,Male
265097,2014,North Carolina,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,48.9,Male
265322,2014,North Dakota,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,37.2,Male
265378,2014,Ohio,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,44,Male
265386,2014,Oklahoma,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,50.7,Male
265394,2014,Oregon,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,33.4,Male
265402,2014,Pennsylvania,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,42.4,Male
265410,2014,Puerto Rico,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,51.5,Male
265623,2014,Rhode Island,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,38,Male
265632,2014,South Carolina,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,44.5,Male
265640,2014,South Dakota,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,41.1,Male
265648,2014,Tennessee,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,49.4,Male
265656,2014,Texas,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,27.4,Male
265667,2014,Utah,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,27.5,Male
265683,2014,Vermont,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,37.7,Male
265675,2014,Virginia,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,38.3,Male
265691,2014,Washington,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,31.4,Male
265707,2014,West Virginia,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,65,Male
265699,2014,Wisconsin,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,35,Male
265716,2014,Wyoming,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,39.5,Male
