ID,Year,Location,Topic,Data Type,Data Value,Category
265301,2014,Alabama,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,45.6,white
265293,2014,Alaska,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,27.6,white
265520,2014,Arizona,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,31.5,white
265309,2014,Arkansas,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,45.8,white
265528,2014,California,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,28.2,white
265536,2014,Colorado,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,28.3,white
265544,2014,Connecticut,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,28.7,white
265560,2014,Delaware,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,40.6,white
265552,2014,District of Columbia,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,14.1,white
265568,2014,Florida,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,33.2,white
265576,2014,Georgia,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,38.4,white
265592,2014,Hawaii,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,21.3,white
265608,2014,Idaho,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,32.8,white
265616,2014,Illinois,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,38,white
265005,2014,Indiana,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,39,white
265600,2014,Iowa,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,35.7,white
265013,2014,Kansas,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,34,white
265021,2014,Kentucky,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,50.6,white
265029,2014,Louisiana,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,41.6,white
265053,2014,Maine,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,41,white
265045,2014,Maryland,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,34.5,white
265037,2014,Massachusetts,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,39.4,white
265061,2014,Michigan,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,33.5,white
265069,2014,Minnesota,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,27.9,white
265085,2014,Mississippi,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,46.4,white
265077,2014,Missouri,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,44.7,white
265093,2014,Montana,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,35.1,white
265334,2014,Nebraska,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,31.8,white
265366,2014,Nevada,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,38.4,white
265342,2014,New Hampshire,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,36.4,white
265350,2014,New Jersey,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,32.7,white
265358,2014,New Mexico,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,33.5,white
265374,2014,New York,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,32.3,white
265318,2014,North Carolina,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,42.7,white
265326,2014,North Dakota,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,37.2,white
265382,2014,Ohio,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,43.2,white
265390,2014,Oklahoma,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,45.3,white
265398,2014,Oregon,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,32.6,white
265406,2014,Pennsylvania,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,39.8,white
265414,2014,Puerto Rico,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,white
265628,2014,Rhode Island,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,36.2,white
265636,2014,South Carolina,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,40.4,white
265644,2014,South Dakota,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,38.3,white
265652,2014,Tennessee,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,47.2,white
265660,2014,Texas,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,27.9,white
265671,2014,Utah,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,27.3,white
265687,2014,Vermont,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,37.7,white
265679,2014,Virginia,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,36,white
265695,2014,Washington,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,31.4,white
265712,2014,West Virginia,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,63.5,white
265703,2014,Wisconsin,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,32.5,white
265099,2014,Wyoming,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,37.6,white
