ID,Year,Location,Topic,Data Type,Data Value,Category
328964,2014,Alabama,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,69.2,Black
328956,2014,Alaska,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
328980,2014,Arizona,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
328972,2014,Arkansas,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,61.4,Black
328988,2014,California,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
328996,2014,Colorado,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
329004,2014,Connecticut,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
329020,2014,Delaware,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
329012,2014,District of Columbia,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,53.6,Black
329028,2014,Florida,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,51.1,Black
329036,2014,Georgia,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,67,Black
329044,2014,Guam,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
329052,2014,Hawaii,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
329068,2014,Idaho,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
329076,2014,Illinois,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,62.1,Black
329084,2014,Indiana,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
329060,2014,Iowa,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
329408,2014,Kansas,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
329416,2014,Kentucky,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,59.2,Black
329424,2014,Louisiana,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,65.2,Black
329448,2014,Maine,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
329440,2014,Maryland,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,51,Black
329432,2014,Massachusetts,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,58.6,Black
329456,2014,Michigan,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,55.8,Black
329464,2014,Minnesota,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
329480,2014,Mississippi,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,71.9,Black
329472,2014,Missouri,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,62,Black
329488,2014,Montana,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
329097,2014,Nebraska,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
329129,2014,Nevada,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
329105,2014,New Hampshire,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
329113,2014,New Jersey,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,52.7,Black
329121,2014,New Mexico,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
329137,2014,New York,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,55.9,Black
329496,2014,North Carolina,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,67.2,Black
329089,2014,North Dakota,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
329145,2014,Ohio,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,52.9,Black
329153,2014,Oklahoma,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
329161,2014,Oregon,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
329169,2014,Pennsylvania,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,51.9,Black
329177,2014,Puerto Rico,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
329501,2014,Rhode Island,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
329509,2014,South Carolina,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,63,Black
329517,2014,South Dakota,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
329525,2014,Tennessee,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,61.5,Black
329533,2014,Texas,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,38.9,Black
329544,2014,Utah,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
329560,2014,Vermont,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
329552,2014,Virginia,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,50.1,Black
329568,2014,Washington,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
329584,2014,West Virginia,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
329576,2014,Wisconsin,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
329592,2014,Wyoming,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Black
