ID,Year,Location,Topic,Data Type,Data Value,Category
328966,2014,Alabama,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
328958,2014,Alaska,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
328982,2014,Arizona,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,38.1,Hispanic
328974,2014,Arkansas,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
328990,2014,California,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,31.7,Hispanic
328998,2014,Colorado,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,47.9,Hispanic
329006,2014,Connecticut,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329022,2014,Delaware,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329014,2014,District of Columbia,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329030,2014,Florida,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,30.5,Hispanic
329038,2014,Georgia,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329046,2014,Guam,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329054,2014,Hawaii,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329070,2014,Idaho,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329078,2014,Illinois,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329402,2014,Indiana,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329062,2014,Iowa,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329410,2014,Kansas,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329418,2014,Kentucky,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329426,2014,Louisiana,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329450,2014,Maine,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329442,2014,Maryland,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329434,2014,Massachusetts,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329458,2014,Michigan,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329466,2014,Minnesota,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329482,2014,Mississippi,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329474,2014,Missouri,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329490,2014,Montana,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329099,2014,Nebraska,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329131,2014,Nevada,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329107,2014,New Hampshire,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329115,2014,New Jersey,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,43,Hispanic
329123,2014,New Mexico,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,43.5,Hispanic
329139,2014,New York,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329498,2014,North Carolina,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329091,2014,North Dakota,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329147,2014,Ohio,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329155,2014,Oklahoma,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329163,2014,Oregon,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329171,2014,Pennsylvania,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329179,2014,Puerto Rico,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,54.9,Hispanic
329503,2014,Rhode Island,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329511,2014,South Carolina,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329519,2014,South Dakota,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329527,2014,Tennessee,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329535,2014,Texas,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,27.4,Hispanic
329546,2014,Utah,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329562,2014,Vermont,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329554,2014,Virginia,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329570,2014,Washington,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329586,2014,West Virginia,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329578,2014,Wisconsin,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
329594,2014,Wyoming,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,0,Hispanic
