ID,Year,Location,Topic,Data Type,Data Value,Category
166062,2012,United States,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,70.4,Female
165808,2012,Alabama,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,60.8,Female
165800,2012,Alaska,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,70.8,Female
165824,2012,Arizona,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,62.9,Female
165816,2012,Arkansas,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,56.7,Female
165832,2012,California,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,69.3,Female
165840,2012,Colorado,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,67.9,Female
165848,2012,Connecticut,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,78.8,Female
165870,2012,Delaware,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,73.3,Female
165862,2012,District of Columbia,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,73.5,Female
165878,2012,Florida,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,60.4,Female
165886,2012,Georgia,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,64.8,Female
165902,2012,Hawaii,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,71.8,Female
165918,2012,Idaho,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,68,Female
165926,2012,Illinois,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,71.8,Female
165934,2012,Indiana,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,65.3,Female
165910,2012,Iowa,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,75.5,Female
165942,2012,Kansas,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,70.4,Female
165950,2012,Kentucky,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,65.8,Female
166303,2012,Louisiana,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,59.1,Female
166327,2012,Maine,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,67.8,Female
166319,2012,Maryland,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,75.9,Female
166311,2012,Massachusetts,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,78.6,Female
166335,2012,Michigan,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,71.6,Female
166343,2012,Minnesota,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,78.2,Female
166359,2012,Mississippi,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,58.2,Female
166351,2012,Missouri,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,65.3,Female
166367,2012,Montana,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,65.1,Female
166391,2012,Nebraska,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,70.9,Female
165967,2012,Nevada,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,59.4,Female
166399,2012,New Hampshire,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,73.9,Female
166407,2012,New Jersey,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,73.2,Female
165959,2012,New Mexico,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,64.9,Female
165975,2012,New York,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,71.3,Female
166375,2012,North Carolina,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,68.4,Female
166383,2012,North Dakota,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,71,Female
165983,2012,Ohio,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,71.5,Female
165991,2012,Oklahoma,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,59.7,Female
165999,2012,Oregon,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,68.7,Female
166007,2012,Pennsylvania,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,71.5,Female
166015,2012,Puerto Rico,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,72.9,Female
166023,2012,Rhode Island,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,76.6,Female
166031,2012,South Carolina,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,61.6,Female
166039,2012,South Dakota,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,75.9,Female
166047,2012,Tennessee,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,62.2,Female
166055,2012,Texas,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,62.2,Female
166412,2012,Utah,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,71.9,Female
166436,2012,Vermont,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,74.4,Female
166428,2012,Virgin Islands,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,,Female
166420,2012,Virginia,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,73.9,Female
166444,2012,Washington,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,71.3,Female
166460,2012,West Virginia,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,59.8,Female
166452,2012,Wisconsin,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,75.1,Female
166468,2012,Wyoming,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,69.6,Female
