ID,Year,Location,Topic,Data Type,Data Value,Category
327785,2014,United States,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,62,Male
327622,2014,Alabama,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,58.9,Male
327614,2014,Alaska,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,60.2,Male
327638,2014,Arizona,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,56.8,Male
327630,2014,Arkansas,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,54.8,Male
327646,2014,California,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,62.8,Male
327654,2014,Colorado,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,64.2,Male
327662,2014,Connecticut,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,71.7,Male
327199,2014,Delaware,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,64.1,Male
327670,2014,District of Columbia,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,68.5,Male
327207,2014,Florida,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,60.6,Male
327215,2014,Georgia,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,58,Male
327231,2014,Hawaii,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,66.8,Male
327247,2014,Idaho,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,61,Male
327255,2014,Illinois,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,60.4,Male
327263,2014,Indiana,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,59.5,Male
327239,2014,Iowa,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,65,Male
327271,2014,Kansas,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,64.5,Male
327279,2014,Kentucky,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,57.5,Male
327287,2014,Louisiana,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,56.5,Male
327693,2014,Maine,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,61.2,Male
327685,2014,Maryland,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,65.3,Male
327677,2014,Massachusetts,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,71.9,Male
327701,2014,Michigan,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,64,Male
327709,2014,Minnesota,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,69,Male
327725,2014,Mississippi,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,55.1,Male
327717,2014,Missouri,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,54.9,Male
327733,2014,Montana,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,58.2,Male
327757,2014,Nebraska,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,63.1,Male
327310,2014,Nevada,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,55.9,Male
327765,2014,New Hampshire,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,65.1,Male
327294,2014,New Jersey,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,67.6,Male
327302,2014,New Mexico,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,55.5,Male
327318,2014,New York,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,63,Male
327741,2014,North Carolina,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,61.2,Male
327749,2014,North Dakota,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,58.7,Male
327326,2014,Ohio,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,61.2,Male
327334,2014,Oklahoma,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,54.3,Male
327342,2014,Oregon,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,62.5,Male
327350,2014,Pennsylvania,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,63.6,Male
327358,2014,Puerto Rico,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,61.9,Male
327366,2014,Rhode Island,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,68.7,Male
327374,2014,South Carolina,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,56.2,Male
327382,2014,South Dakota,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,66.8,Male
327771,2014,Tennessee,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,57.3,Male
327779,2014,Texas,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,54.9,Male
327790,2014,Utah,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,66.2,Male
327806,2014,Vermont,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,67.9,Male
327798,2014,Virginia,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,67.4,Male
327814,2014,Washington,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,64,Male
327830,2014,West Virginia,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,51.2,Male
327822,2014,Wisconsin,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,65.8,Male
327838,2014,Wyoming,Visits to dentist or dental clinic among adults aged >= 18 years,Age-adjusted Prevalence,62,Male
