ID,Year,Location,Topic,Data Type,Data Value,Category
166266,2012,United States,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,70.4,Female
166484,2012,Alabama,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,60.7,Female
166476,2012,Alaska,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,71.1,Female
166500,2012,Arizona,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,63.5,Female
166492,2012,Arkansas,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,56.9,Female
166508,2012,California,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,69.7,Female
166516,2012,Colorado,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,68.3,Female
166524,2012,Connecticut,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,78.9,Female
166079,2012,Delaware,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,73.1,Female
166071,2012,District of Columbia,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,73.2,Female
166087,2012,Florida,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,60.8,Female
166095,2012,Georgia,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,64.8,Female
166111,2012,Hawaii,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,72.3,Female
166127,2012,Idaho,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,68.5,Female
166135,2012,Illinois,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,72,Female
166143,2012,Indiana,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,65.3,Female
166119,2012,Iowa,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,75.2,Female
166151,2012,Kansas,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,70.4,Female
166159,2012,Kentucky,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,65.1,Female
166167,2012,Louisiana,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,58.8,Female
166533,2012,Maine,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,68.1,Female
166183,2012,Maryland,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,75.8,Female
166175,2012,Massachusetts,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,78.6,Female
166541,2012,Michigan,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,72,Female
166549,2012,Minnesota,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,78.5,Female
166565,2012,Mississippi,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,57.8,Female
166557,2012,Missouri,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,65,Female
166573,2012,Montana,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,65.5,Female
166597,2012,Nebraska,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,70.9,Female
166629,2012,Nevada,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,59.7,Female
166605,2012,New Hampshire,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,74.1,Female
166613,2012,New Jersey,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,73.6,Female
166621,2012,New Mexico,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,65.4,Female
166637,2012,New York,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,71.2,Female
