ID,Year,Location,Topic,Data Type,Data Value,Category
327989,2014,United States,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,62.3,Male
327854,2014,Alabama,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,58.9,Male
327846,2014,Alaska,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,61.2,Male
327870,2014,Arizona,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,56.9,Male
327862,2014,Arkansas,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,55,Male
327394,2014,California,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,62.7,Male
327402,2014,Colorado,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,64.2,Male
327410,2014,Connecticut,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,72,Male
327426,2014,Delaware,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,64.3,Male
327418,2014,District of Columbia,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,68.6,Male
327434,2014,Florida,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,60.9,Male
327442,2014,Georgia,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,58.2,Male
327458,2014,Hawaii,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,67.1,Male
327474,2014,Idaho,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,61.3,Male
327482,2014,Illinois,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,60.6,Male
327490,2014,Indiana,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,59.9,Male
327466,2014,Iowa,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,65.2,Male
327498,2014,Kansas,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,64.9,Male
327872,2014,Kentucky,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,57.6,Male
327880,2014,Louisiana,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,56.3,Male
327904,2014,Maine,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,62.1,Male
327896,2014,Maryland,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,66.2,Male
327888,2014,Massachusetts,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,72.1,Male
327912,2014,Michigan,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,64.5,Male
327920,2014,Minnesota,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,69.3,Male
327936,2014,Mississippi,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,55.2,Male
327928,2014,Missouri,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,55.2,Male
327944,2014,Montana,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,59.3,Male
327968,2014,Nebraska,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,63.2,Male
327521,2014,Nevada,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,55.9,Male
327976,2014,New Hampshire,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,66.1,Male
327984,2014,New Jersey,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,67.8,Male
327513,2014,New Mexico,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,56.1,Male
327529,2014,New York,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,63.4,Male
327952,2014,North Carolina,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,61.6,Male
327960,2014,North Dakota,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,58.9,Male
327537,2014,Ohio,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,61.9,Male
327545,2014,Oklahoma,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,54.3,Male
327553,2014,Oregon,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,62.5,Male
327561,2014,Pennsylvania,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,63.6,Male
327569,2014,Puerto Rico,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,61.6,Male
327577,2014,Rhode Island,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,69.6,Male
327585,2014,South Carolina,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,56.3,Male
327593,2014,South Dakota,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,66.8,Male
327601,2014,Tennessee,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,57.3,Male
327609,2014,Texas,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,54.7,Male
327994,2014,Utah,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,65.8,Male
328010,2014,Vermont,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,68.7,Male
328002,2014,Virginia,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,67.5,Male
328018,2014,Washington,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,64.3,Male
328034,2014,West Virginia,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,50.6,Male
328026,2014,Wisconsin,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,66.5,Male
328042,2014,Wyoming,Visits to dentist or dental clinic among adults aged >= 18 years,Crude Prevalence,62.3,Male
