ID,Year,Location,Topic,Data Type,Data Value,Category
126154,2012,Alabama,No tooth loss among adults aged 18-64 years,AgeAdjPrev,41.5,"Black, non-Hispanic"
126146,2012,Alaska,No tooth loss among adults aged 18-64 years,AgeAdjPrev,51.9,"Black, non-Hispanic"
126170,2012,Arizona,No tooth loss among adults aged 18-64 years,AgeAdjPrev,61.8,"Black, non-Hispanic"
126162,2012,Arkansas,No tooth loss among adults aged 18-64 years,AgeAdjPrev,47.2,"Black, non-Hispanic"
126178,2012,California,No tooth loss among adults aged 18-64 years,AgeAdjPrev,53.4,"Black, non-Hispanic"
126186,2012,Colorado,No tooth loss among adults aged 18-64 years,AgeAdjPrev,54.7,"Black, non-Hispanic"
126194,2012,Connecticut,No tooth loss among adults aged 18-64 years,AgeAdjPrev,53.6,"Black, non-Hispanic"
126210,2012,Delaware,No tooth loss among adults aged 18-64 years,AgeAdjPrev,52.6,"Black, non-Hispanic"
126202,2012,District of Columbia,No tooth loss among adults aged 18-64 years,AgeAdjPrev,49.8,"Black, non-Hispanic"
126218,2012,Florida,No tooth loss among adults aged 18-64 years,AgeAdjPrev,50.6,"Black, non-Hispanic"
126776,2012,Georgia,No tooth loss among adults aged 18-64 years,AgeAdjPrev,50,"Black, non-Hispanic"
126784,2012,Guam,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
126792,2012,Hawaii,No tooth loss among adults aged 18-64 years,AgeAdjPrev,76.6,"Black, non-Hispanic"
126808,2012,Idaho,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
126816,2012,Illinois,No tooth loss among adults aged 18-64 years,AgeAdjPrev,49.7,"Black, non-Hispanic"
126824,2012,Indiana,No tooth loss among adults aged 18-64 years,AgeAdjPrev,49.5,"Black, non-Hispanic"
126800,2012,Iowa,No tooth loss among adults aged 18-64 years,AgeAdjPrev,44.9,"Black, non-Hispanic"
126832,2012,Kansas,No tooth loss among adults aged 18-64 years,AgeAdjPrev,47.8,"Black, non-Hispanic"
126840,2012,Kentucky,No tooth loss among adults aged 18-64 years,AgeAdjPrev,51.6,"Black, non-Hispanic"
126848,2012,Louisiana,No tooth loss among adults aged 18-64 years,AgeAdjPrev,37.8,"Black, non-Hispanic"
126872,2012,Maine,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
126864,2012,Maryland,No tooth loss among adults aged 18-64 years,AgeAdjPrev,56.3,"Black, non-Hispanic"
126856,2012,Massachusetts,No tooth loss among adults aged 18-64 years,AgeAdjPrev,53.5,"Black, non-Hispanic"
126880,2012,Michigan,No tooth loss among adults aged 18-64 years,AgeAdjPrev,51.1,"Black, non-Hispanic"
126888,2012,Minnesota,No tooth loss among adults aged 18-64 years,AgeAdjPrev,57.9,"Black, non-Hispanic"
126447,2012,Mississippi,No tooth loss among adults aged 18-64 years,AgeAdjPrev,36.7,"Black, non-Hispanic"
126439,2012,Missouri,No tooth loss among adults aged 18-64 years,AgeAdjPrev,46.4,"Black, non-Hispanic"
126455,2012,Montana,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
126479,2012,Nebraska,No tooth loss among adults aged 18-64 years,AgeAdjPrev,53.3,"Black, non-Hispanic"
126511,2012,Nevada,No tooth loss among adults aged 18-64 years,AgeAdjPrev,53.5,"Black, non-Hispanic"
126487,2012,New Hampshire,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
126495,2012,New Jersey,No tooth loss among adults aged 18-64 years,AgeAdjPrev,51,"Black, non-Hispanic"
126503,2012,New Mexico,No tooth loss among adults aged 18-64 years,AgeAdjPrev,57.1,"Black, non-Hispanic"
126519,2012,New York,No tooth loss among adults aged 18-64 years,AgeAdjPrev,44.6,"Black, non-Hispanic"
126463,2012,North Carolina,No tooth loss among adults aged 18-64 years,AgeAdjPrev,46.5,"Black, non-Hispanic"
126471,2012,North Dakota,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
126527,2012,Ohio,No tooth loss among adults aged 18-64 years,AgeAdjPrev,52.7,"Black, non-Hispanic"
126535,2012,Oklahoma,No tooth loss among adults aged 18-64 years,AgeAdjPrev,47.7,"Black, non-Hispanic"
126543,2012,Oregon,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
126551,2012,Pennsylvania,No tooth loss among adults aged 18-64 years,AgeAdjPrev,48,"Black, non-Hispanic"
126897,2012,Puerto Rico,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
126905,2012,Rhode Island,No tooth loss among adults aged 18-64 years,AgeAdjPrev,59.7,"Black, non-Hispanic"
126913,2012,South Carolina,No tooth loss among adults aged 18-64 years,AgeAdjPrev,43.1,"Black, non-Hispanic"
126921,2012,South Dakota,No tooth loss among adults aged 18-64 years,AgeAdjPrev,,"Black, non-Hispanic"
126929,2012,Tennessee,No tooth loss among adults aged 18-64 years,AgeAdjPrev,46.1,"Black, non-Hispanic"
126937,2012,Texas,No tooth loss among adults aged 18-64 years,AgeAdjPrev,52,"Black, non-Hispanic"
126948,2012,Utah,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
126971,2012,Vermont,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
126963,2012,Virgin Islands,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
126955,2012,Virginia,No tooth loss among adults aged 18-64 years,AgeAdjPrev,54.8,"Black, non-Hispanic"
126979,2012,Washington,No tooth loss among adults aged 18-64 years,AgeAdjPrev,52.1,"Black, non-Hispanic"
126995,2012,West Virginia,No tooth loss among adults aged 18-64 years,AgeAdjPrev,49.3,"Black, non-Hispanic"
126987,2012,Wisconsin,No tooth loss among adults aged 18-64 years,AgeAdjPrev,54.6,"Black, non-Hispanic"
127116,2012,Wyoming,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
