ID,Year,Location,Topic,Data Type,Data Value,Category
127132,2012,Alabama,No tooth loss among adults aged 18-64 years,Crude Prevalence,42.6,"Black, non-Hispanic"
127124,2012,Alaska,No tooth loss among adults aged 18-64 years,Crude Prevalence,47.4,"Black, non-Hispanic"
127148,2012,Arizona,No tooth loss among adults aged 18-64 years,Crude Prevalence,62.3,"Black, non-Hispanic"
127140,2012,Arkansas,No tooth loss among adults aged 18-64 years,Crude Prevalence,48.1,"Black, non-Hispanic"
127156,2012,California,No tooth loss among adults aged 18-64 years,Crude Prevalence,51.9,"Black, non-Hispanic"
127164,2012,Colorado,No tooth loss among adults aged 18-64 years,Crude Prevalence,54.5,"Black, non-Hispanic"
127172,2012,Connecticut,No tooth loss among adults aged 18-64 years,Crude Prevalence,53,"Black, non-Hispanic"
127188,2012,Delaware,No tooth loss among adults aged 18-64 years,Crude Prevalence,52.6,"Black, non-Hispanic"
127180,2012,District of Columbia,No tooth loss among adults aged 18-64 years,Crude Prevalence,48.6,"Black, non-Hispanic"
127196,2012,Florida,No tooth loss among adults aged 18-64 years,Crude Prevalence,52,"Black, non-Hispanic"
127204,2012,Georgia,No tooth loss among adults aged 18-64 years,Crude Prevalence,50,"Black, non-Hispanic"
127212,2012,Guam,No tooth loss among adults aged 18-64 years,Crude Prevalence,0,"Black, non-Hispanic"
127220,2012,Hawaii,No tooth loss among adults aged 18-64 years,Crude Prevalence,78.5,"Black, non-Hispanic"
127236,2012,Idaho,No tooth loss among adults aged 18-64 years,Crude Prevalence,0,"Black, non-Hispanic"
127244,2012,Illinois,No tooth loss among adults aged 18-64 years,Crude Prevalence,49.9,"Black, non-Hispanic"
127252,2012,Indiana,No tooth loss among adults aged 18-64 years,Crude Prevalence,50,"Black, non-Hispanic"
127228,2012,Iowa,No tooth loss among adults aged 18-64 years,Crude Prevalence,44.7,"Black, non-Hispanic"
127260,2012,Kansas,No tooth loss among adults aged 18-64 years,Crude Prevalence,49.8,"Black, non-Hispanic"
127268,2012,Kentucky,No tooth loss among adults aged 18-64 years,Crude Prevalence,51.9,"Black, non-Hispanic"
127276,2012,Louisiana,No tooth loss among adults aged 18-64 years,Crude Prevalence,37.9,"Black, non-Hispanic"
127300,2012,Maine,No tooth loss among adults aged 18-64 years,Crude Prevalence,0,"Black, non-Hispanic"
127292,2012,Maryland,No tooth loss among adults aged 18-64 years,Crude Prevalence,55.4,"Black, non-Hispanic"
127284,2012,Massachusetts,No tooth loss among adults aged 18-64 years,Crude Prevalence,53.9,"Black, non-Hispanic"
127308,2012,Michigan,No tooth loss among adults aged 18-64 years,Crude Prevalence,51.8,"Black, non-Hispanic"
127316,2012,Minnesota,No tooth loss among adults aged 18-64 years,Crude Prevalence,60.9,"Black, non-Hispanic"
127332,2012,Mississippi,No tooth loss among adults aged 18-64 years,Crude Prevalence,37.9,"Black, non-Hispanic"
127324,2012,Missouri,No tooth loss among adults aged 18-64 years,Crude Prevalence,47.2,"Black, non-Hispanic"
127340,2012,Montana,No tooth loss among adults aged 18-64 years,Crude Prevalence,0,"Black, non-Hispanic"
127363,2012,Nebraska,No tooth loss among adults aged 18-64 years,Crude Prevalence,53.8,"Black, non-Hispanic"
