ID,Year,Location,Topic,Data Type,Data Value,Category
265942,2014,Alabama,No tooth loss among adults aged 18-64 years,AgeAdjPrev,43.7,"Black, non-Hispanic"
265518,2014,Alaska,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
265958,2014,Arizona,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
265950,2014,Arkansas,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
265967,2014,California,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
265975,2014,Colorado,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
265983,2014,Connecticut,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
265998,2014,Delaware,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
265990,2014,District of Columbia,No tooth loss among adults aged 18-64 years,AgeAdjPrev,55.9,"Black, non-Hispanic"
266234,2014,Florida,No tooth loss among adults aged 18-64 years,AgeAdjPrev,44.5,"Black, non-Hispanic"
266242,2014,Georgia,No tooth loss among adults aged 18-64 years,AgeAdjPrev,53.3,"Black, non-Hispanic"
266250,2014,Guam,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
266257,2014,Hawaii,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
266273,2014,Idaho,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
266280,2014,Illinois,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
266288,2014,Indiana,No tooth loss among adults aged 18-64 years,AgeAdjPrev,51.4,"Black, non-Hispanic"
266265,2014,Iowa,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
266296,2014,Kansas,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
266304,2014,Kentucky,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
266312,2014,Louisiana,No tooth loss among adults aged 18-64 years,AgeAdjPrev,44.9,"Black, non-Hispanic"
266557,2014,Maine,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
266328,2014,Maryland,No tooth loss among adults aged 18-64 years,AgeAdjPrev,54.2,"Black, non-Hispanic"
266320,2014,Massachusetts,No tooth loss among adults aged 18-64 years,AgeAdjPrev,53.1,"Black, non-Hispanic"
266565,2014,Michigan,No tooth loss among adults aged 18-64 years,AgeAdjPrev,53.3,"Black, non-Hispanic"
266573,2014,Minnesota,No tooth loss among adults aged 18-64 years,AgeAdjPrev,55.6,"Black, non-Hispanic"
266589,2014,Mississippi,No tooth loss among adults aged 18-64 years,AgeAdjPrev,38.4,"Black, non-Hispanic"
266581,2014,Missouri,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
266597,2014,Montana,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
266621,2014,Nebraska,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
266653,2014,Nevada,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
266629,2014,New Hampshire,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
266637,2014,New Jersey,No tooth loss among adults aged 18-64 years,AgeAdjPrev,49.7,"Black, non-Hispanic"
266645,2014,New Mexico,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
266004,2014,New York,No tooth loss among adults aged 18-64 years,AgeAdjPrev,48.4,"Black, non-Hispanic"
266606,2014,North Carolina,No tooth loss among adults aged 18-64 years,AgeAdjPrev,47.2,"Black, non-Hispanic"
266614,2014,North Dakota,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
266012,2014,Ohio,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
266020,2014,Oklahoma,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
266028,2014,Oregon,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
266036,2014,Pennsylvania,No tooth loss among adults aged 18-64 years,AgeAdjPrev,50,"Black, non-Hispanic"
266044,2014,Puerto Rico,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
266053,2014,Rhode Island,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
266061,2014,South Carolina,No tooth loss among adults aged 18-64 years,AgeAdjPrev,45.2,"Black, non-Hispanic"
266069,2014,South Dakota,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
266077,2014,Tennessee,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"Black, non-Hispanic"
266085,2014,Texas,No tooth loss among adults aged 18-64 years,AgeAdjPrev,56.3,"Black, non-Hispanic"
