ID,Year,Location,Topic,Data Type,Data Value,Category
266388,2014,Alabama,No tooth loss among adults aged 18-64 years,Crude Prevalence,45.5,"Black, non-Hispanic"
266380,2014,Alaska,No tooth loss among adults aged 18-64 years,Crude Prevalence,0,"Black, non-Hispanic"
266048,2014,Arizona,No tooth loss among adults aged 18-64 years,Crude Prevalence,57.5,"Black, non-Hispanic"
266396,2014,Arkansas,No tooth loss among adults aged 18-64 years,Crude Prevalence,46.2,"Black, non-Hispanic"
266410,2014,California,No tooth loss among adults aged 18-64 years,Crude Prevalence,51.5,"Black, non-Hispanic"
266418,2014,Colorado,No tooth loss among adults aged 18-64 years,Crude Prevalence,55.1,"Black, non-Hispanic"
266426,2014,Connecticut,No tooth loss among adults aged 18-64 years,Crude Prevalence,50.1,"Black, non-Hispanic"
266442,2014,Delaware,No tooth loss among adults aged 18-64 years,Crude Prevalence,55,"Black, non-Hispanic"
266434,2014,District of Columbia,No tooth loss among adults aged 18-64 years,Crude Prevalence,52.9,"Black, non-Hispanic"
266660,2014,Florida,No tooth loss among adults aged 18-64 years,Crude Prevalence,44.9,"Black, non-Hispanic"
266666,2014,Georgia,No tooth loss among adults aged 18-64 years,Crude Prevalence,52.8,"Black, non-Hispanic"
266674,2014,Guam,No tooth loss among adults aged 18-64 years,Crude Prevalence,0,"Black, non-Hispanic"
266682,2014,Hawaii,No tooth loss among adults aged 18-64 years,Crude Prevalence,60.9,"Black, non-Hispanic"
266698,2014,Idaho,No tooth loss among adults aged 18-64 years,Crude Prevalence,0,"Black, non-Hispanic"
266706,2014,Illinois,No tooth loss among adults aged 18-64 years,Crude Prevalence,49.3,"Black, non-Hispanic"
266713,2014,Indiana,No tooth loss among adults aged 18-64 years,Crude Prevalence,52.8,"Black, non-Hispanic"
266690,2014,Iowa,No tooth loss among adults aged 18-64 years,Crude Prevalence,62.9,"Black, non-Hispanic"
266721,2014,Kansas,No tooth loss among adults aged 18-64 years,Crude Prevalence,53.3,"Black, non-Hispanic"
266729,2014,Kentucky,No tooth loss among adults aged 18-64 years,Crude Prevalence,55.6,"Black, non-Hispanic"
266737,2014,Louisiana,No tooth loss among adults aged 18-64 years,Crude Prevalence,46,"Black, non-Hispanic"
266761,2014,Maine,No tooth loss among adults aged 18-64 years,Crude Prevalence,0,"Black, non-Hispanic"
