ID,Year,Location,Topic,Data Type,Data Value,Category
266093,2014,United States,No tooth loss among adults aged 18-64 years,AgeAdjPrev,63.4,Female
265943,2014,Alabama,No tooth loss among adults aged 18-64 years,AgeAdjPrev,55.6,Female
265936,2014,Alaska,No tooth loss among adults aged 18-64 years,AgeAdjPrev,63.4,Female
265959,2014,Arizona,No tooth loss among adults aged 18-64 years,AgeAdjPrev,62.1,Female
265951,2014,Arkansas,No tooth loss among adults aged 18-64 years,AgeAdjPrev,51.7,Female
265968,2014,California,No tooth loss among adults aged 18-64 years,AgeAdjPrev,64.3,Female
265976,2014,Colorado,No tooth loss among adults aged 18-64 years,AgeAdjPrev,70.7,Female
265962,2014,Connecticut,No tooth loss among adults aged 18-64 years,AgeAdjPrev,65,Female
265999,2014,Delaware,No tooth loss among adults aged 18-64 years,AgeAdjPrev,62.8,Female
265991,2014,District of Columbia,No tooth loss among adults aged 18-64 years,AgeAdjPrev,68.1,Female
266235,2014,Florida,No tooth loss among adults aged 18-64 years,AgeAdjPrev,57.5,Female
266243,2014,Georgia,No tooth loss among adults aged 18-64 years,AgeAdjPrev,60.2,Female
266251,2014,Guam,No tooth loss among adults aged 18-64 years,AgeAdjPrev,40.9,Female
266258,2014,Hawaii,No tooth loss among adults aged 18-64 years,AgeAdjPrev,63,Female
247370,2014,Idaho,No tooth loss among adults aged 18-64 years,AgeAdjPrev,66,Female
266281,2014,Illinois,No tooth loss among adults aged 18-64 years,AgeAdjPrev,64.4,Female
266289,2014,Indiana,No tooth loss among adults aged 18-64 years,AgeAdjPrev,58.8,Female
266266,2014,Iowa,No tooth loss among adults aged 18-64 years,AgeAdjPrev,69.8,Female
266297,2014,Kansas,No tooth loss among adults aged 18-64 years,AgeAdjPrev,65.6,Female
266305,2014,Kentucky,No tooth loss among adults aged 18-64 years,AgeAdjPrev,56.9,Female
266313,2014,Louisiana,No tooth loss among adults aged 18-64 years,AgeAdjPrev,58.2,Female
266558,2014,Maine,No tooth loss among adults aged 18-64 years,AgeAdjPrev,62.9,Female
266329,2014,Maryland,No tooth loss among adults aged 18-64 years,AgeAdjPrev,65.1,Female
266321,2014,Massachusetts,No tooth loss among adults aged 18-64 years,AgeAdjPrev,65.6,Female
266566,2014,Michigan,No tooth loss among adults aged 18-64 years,AgeAdjPrev,65.9,Female
266574,2014,Minnesota,No tooth loss among adults aged 18-64 years,AgeAdjPrev,72.9,Female
266590,2014,Mississippi,No tooth loss among adults aged 18-64 years,AgeAdjPrev,49.4,Female
266582,2014,Missouri,No tooth loss among adults aged 18-64 years,AgeAdjPrev,61.2,Female
266598,2014,Montana,No tooth loss among adults aged 18-64 years,AgeAdjPrev,65.6,Female
266622,2014,Nebraska,No tooth loss among adults aged 18-64 years,AgeAdjPrev,69,Female
266654,2014,Nevada,No tooth loss among adults aged 18-64 years,AgeAdjPrev,58.4,Female
266630,2014,New Hampshire,No tooth loss among adults aged 18-64 years,AgeAdjPrev,67.9,Female
266638,2014,New Jersey,No tooth loss among adults aged 18-64 years,AgeAdjPrev,62.7,Female
266646,2014,New Mexico,No tooth loss among adults aged 18-64 years,AgeAdjPrev,61.4,Female
266005,2014,New York,No tooth loss among adults aged 18-64 years,AgeAdjPrev,60.6,Female
266607,2014,North Carolina,No tooth loss among adults aged 18-64 years,AgeAdjPrev,58,Female
266615,2014,North Dakota,No tooth loss among adults aged 18-64 years,AgeAdjPrev,67.2,Female
266013,2014,Ohio,No tooth loss among adults aged 18-64 years,AgeAdjPrev,61.5,Female
266021,2014,Oklahoma,No tooth loss among adults aged 18-64 years,AgeAdjPrev,59.5,Female
266029,2014,Oregon,No tooth loss among adults aged 18-64 years,AgeAdjPrev,68.6,Female
266037,2014,Pennsylvania,No tooth loss among adults aged 18-64 years,AgeAdjPrev,62.5,Female
266045,2014,Puerto Rico,No tooth loss among adults aged 18-64 years,AgeAdjPrev,44.8,Female
266054,2014,Rhode Island,No tooth loss among adults aged 18-64 years,AgeAdjPrev,64.6,Female
266062,2014,South Carolina,No tooth loss among adults aged 18-64 years,AgeAdjPrev,57.8,Female
266070,2014,South Dakota,No tooth loss among adults aged 18-64 years,AgeAdjPrev,64.3,Female
266078,2014,Tennessee,No tooth loss among adults aged 18-64 years,AgeAdjPrev,56.9,Female
266086,2014,Texas,No tooth loss among adults aged 18-64 years,AgeAdjPrev,64.1,Female
266097,2014,Utah,No tooth loss among adults aged 18-64 years,AgeAdjPrev,69.8,Female
266340,2014,Vermont,No tooth loss among adults aged 18-64 years,AgeAdjPrev,68,Female
266105,2014,Virginia,No tooth loss among adults aged 18-64 years,AgeAdjPrev,66.2,Female
266348,2014,Washington,No tooth loss among adults aged 18-64 years,AgeAdjPrev,68.3,Female
266365,2014,West Virginia,No tooth loss among adults aged 18-64 years,AgeAdjPrev,49.2,Female
266356,2014,Wisconsin,No tooth loss among adults aged 18-64 years,AgeAdjPrev,69.4,Female
266373,2014,Wyoming,No tooth loss among adults aged 18-64 years,AgeAdjPrev,62.2,Female
