ID,Year,Location,Topic,Data Type,Data Value,Category
266824,2014,United States,No tooth loss among adults aged 18-64 years,Crude Prevalence,62.4,Female
266389,2014,Alabama,No tooth loss among adults aged 18-64 years,Crude Prevalence,54.2,Female
266381,2014,Alaska,No tooth loss among adults aged 18-64 years,Crude Prevalence,62.4,Female
266359,2014,Arizona,No tooth loss among adults aged 18-64 years,Crude Prevalence,61.7,Female
266397,2014,Arkansas,No tooth loss among adults aged 18-64 years,Crude Prevalence,50.5,Female
266411,2014,California,No tooth loss among adults aged 18-64 years,Crude Prevalence,63.9,Female
266419,2014,Colorado,No tooth loss among adults aged 18-64 years,Crude Prevalence,70,Female
266427,2014,Connecticut,No tooth loss among adults aged 18-64 years,Crude Prevalence,63.4,Female
266443,2014,Delaware,No tooth loss among adults aged 18-64 years,Crude Prevalence,61.6,Female
266435,2014,District of Columbia,No tooth loss among adults aged 18-64 years,Crude Prevalence,69.2,Female
266661,2014,Florida,No tooth loss among adults aged 18-64 years,Crude Prevalence,55.6,Female
266667,2014,Georgia,No tooth loss among adults aged 18-64 years,Crude Prevalence,59.3,Female
266675,2014,Guam,No tooth loss among adults aged 18-64 years,Crude Prevalence,41.3,Female
266683,2014,Hawaii,No tooth loss among adults aged 18-64 years,Crude Prevalence,62.1,Female
266699,2014,Idaho,No tooth loss among adults aged 18-64 years,Crude Prevalence,65.3,Female
266707,2014,Illinois,No tooth loss among adults aged 18-64 years,Crude Prevalence,63.3,Female
266714,2014,Indiana,No tooth loss among adults aged 18-64 years,Crude Prevalence,57.9,Female
266691,2014,Iowa,No tooth loss among adults aged 18-64 years,Crude Prevalence,68.7,Female
266722,2014,Kansas,No tooth loss among adults aged 18-64 years,Crude Prevalence,65.1,Female
266730,2014,Kentucky,No tooth loss among adults aged 18-64 years,Crude Prevalence,55,Female
266738,2014,Louisiana,No tooth loss among adults aged 18-64 years,Crude Prevalence,57.2,Female
266762,2014,Maine,No tooth loss among adults aged 18-64 years,Crude Prevalence,59.3,Female
266754,2014,Maryland,No tooth loss among adults aged 18-64 years,Crude Prevalence,63.6,Female
266746,2014,Massachusetts,No tooth loss among adults aged 18-64 years,Crude Prevalence,64.2,Female
266770,2014,Michigan,No tooth loss among adults aged 18-64 years,Crude Prevalence,64.6,Female
266778,2014,Minnesota,No tooth loss among adults aged 18-64 years,Crude Prevalence,71.6,Female
266115,2014,Mississippi,No tooth loss among adults aged 18-64 years,Crude Prevalence,48.5,Female
266107,2014,Missouri,No tooth loss among adults aged 18-64 years,Crude Prevalence,59.9,Female
266123,2014,Montana,No tooth loss among adults aged 18-64 years,Crude Prevalence,64,Female
266146,2014,Nebraska,No tooth loss among adults aged 18-64 years,Crude Prevalence,68.5,Female
266176,2014,Nevada,No tooth loss among adults aged 18-64 years,Crude Prevalence,57.5,Female
266153,2014,New Hampshire,No tooth loss among adults aged 18-64 years,Crude Prevalence,65,Female
266161,2014,New Jersey,No tooth loss among adults aged 18-64 years,Crude Prevalence,60.7,Female
266169,2014,New Mexico,No tooth loss among adults aged 18-64 years,Crude Prevalence,59.9,Female
266184,2014,New York,No tooth loss among adults aged 18-64 years,Crude Prevalence,59.3,Female
266130,2014,North Carolina,No tooth loss among adults aged 18-64 years,Crude Prevalence,56.9,Female
266138,2014,North Dakota,No tooth loss among adults aged 18-64 years,Crude Prevalence,66.6,Female
266192,2014,Ohio,No tooth loss among adults aged 18-64 years,Crude Prevalence,59.9,Female
266200,2014,Oklahoma,No tooth loss among adults aged 18-64 years,Crude Prevalence,58.3,Female
266208,2014,Oregon,No tooth loss among adults aged 18-64 years,Crude Prevalence,67.3,Female
266216,2014,Pennsylvania,No tooth loss among adults aged 18-64 years,Crude Prevalence,60.6,Female
266224,2014,Puerto Rico,No tooth loss among adults aged 18-64 years,Crude Prevalence,43.5,Female
266788,2014,Rhode Island,No tooth loss among adults aged 18-64 years,Crude Prevalence,63.6,Female
266796,2014,South Carolina,No tooth loss among adults aged 18-64 years,Crude Prevalence,56.6,Female
266804,2014,South Dakota,No tooth loss among adults aged 18-64 years,Crude Prevalence,63.6,Female
266812,2014,Tennessee,No tooth loss among adults aged 18-64 years,Crude Prevalence,55.2,Female
249369,2014,Texas,No tooth loss among adults aged 18-64 years,Crude Prevalence,63.7,Female
266828,2014,Utah,No tooth loss among adults aged 18-64 years,Crude Prevalence,70.9,Female
249760,2014,Vermont,No tooth loss among adults aged 18-64 years,Crude Prevalence,65.7,Female
266836,2014,Virginia,No tooth loss among adults aged 18-64 years,Crude Prevalence,64.7,Female
266851,2014,Washington,No tooth loss among adults aged 18-64 years,Crude Prevalence,67.3,Female
266867,2014,West Virginia,No tooth loss among adults aged 18-64 years,Crude Prevalence,46.6,Female
266859,2014,Wisconsin,No tooth loss among adults aged 18-64 years,Crude Prevalence,68,Female
266875,2014,Wyoming,No tooth loss among adults aged 18-64 years,Crude Prevalence,61.5,Female
