ID,Year,Location,Topic,Data Type,Data Value,Category
265944,2014,Alabama,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,Hispanic
265937,2014,Alaska,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,Hispanic
265960,2014,Arizona,No tooth loss among adults aged 18-64 years,AgeAdjPrev,59.3,Hispanic
265952,2014,Arkansas,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,Hispanic
265969,2014,California,No tooth loss among adults aged 18-64 years,AgeAdjPrev,56.9,Hispanic
265977,2014,Colorado,No tooth loss among adults aged 18-64 years,AgeAdjPrev,55.8,Hispanic
265984,2014,Connecticut,No tooth loss among adults aged 18-64 years,AgeAdjPrev,46.9,Hispanic
266000,2014,Delaware,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,Hispanic
265992,2014,District of Columbia,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,Hispanic
266236,2014,Florida,No tooth loss among adults aged 18-64 years,AgeAdjPrev,55.4,Hispanic
266244,2014,Georgia,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,Hispanic
266252,2014,Guam,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,Hispanic
266259,2014,Hawaii,No tooth loss among adults aged 18-64 years,AgeAdjPrev,55.2,Hispanic
266274,2014,Idaho,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,Hispanic
266282,2014,Illinois,No tooth loss among adults aged 18-64 years,AgeAdjPrev,56.2,Hispanic
266290,2014,Indiana,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,Hispanic
266267,2014,Iowa,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,Hispanic
266298,2014,Kansas,No tooth loss among adults aged 18-64 years,AgeAdjPrev,58,Hispanic
266306,2014,Kentucky,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,Hispanic
266314,2014,Louisiana,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,Hispanic
266559,2014,Maine,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,Hispanic
266330,2014,Maryland,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,Hispanic
266322,2014,Massachusetts,No tooth loss among adults aged 18-64 years,AgeAdjPrev,51.9,Hispanic
266567,2014,Michigan,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,Hispanic
266575,2014,Minnesota,No tooth loss among adults aged 18-64 years,AgeAdjPrev,57.6,Hispanic
266591,2014,Mississippi,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,Hispanic
266583,2014,Missouri,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,Hispanic
266600,2014,Montana,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,Hispanic
266623,2014,Nebraska,No tooth loss among adults aged 18-64 years,AgeAdjPrev,59,Hispanic
266655,2014,Nevada,No tooth loss among adults aged 18-64 years,AgeAdjPrev,56.4,Hispanic
266631,2014,New Hampshire,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,Hispanic
266639,2014,New Jersey,No tooth loss among adults aged 18-64 years,AgeAdjPrev,53.1,Hispanic
266647,2014,New Mexico,No tooth loss among adults aged 18-64 years,AgeAdjPrev,57.8,Hispanic
266006,2014,New York,No tooth loss among adults aged 18-64 years,AgeAdjPrev,51.3,Hispanic
266608,2014,North Carolina,No tooth loss among adults aged 18-64 years,AgeAdjPrev,48,Hispanic
266616,2014,North Dakota,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,Hispanic
266014,2014,Ohio,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,Hispanic
266022,2014,Oklahoma,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,Hispanic
266030,2014,Oregon,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,Hispanic
266038,2014,Pennsylvania,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,Hispanic
266046,2014,Puerto Rico,No tooth loss among adults aged 18-64 years,AgeAdjPrev,46.1,Hispanic
266055,2014,Rhode Island,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,Hispanic
266063,2014,South Carolina,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,Hispanic
266071,2014,South Dakota,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,Hispanic
266079,2014,Tennessee,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,Hispanic
266087,2014,Texas,No tooth loss among adults aged 18-64 years,AgeAdjPrev,59.7,Hispanic
266098,2014,Utah,No tooth loss among adults aged 18-64 years,AgeAdjPrev,58.1,Hispanic
266341,2014,Vermont,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,Hispanic
266333,2014,Virginia,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,Hispanic
266349,2014,Washington,No tooth loss among adults aged 18-64 years,AgeAdjPrev,58.4,Hispanic
266366,2014,West Virginia,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,Hispanic
266357,2014,Wisconsin,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,Hispanic
266374,2014,Wyoming,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,Hispanic
