ID,Year,Location,Topic,Data Type,Data Value,Category
266390,2014,Alabama,No tooth loss among adults aged 18-64 years,Crude Prevalence,73.6,Hispanic
266382,2014,Alaska,No tooth loss among adults aged 18-64 years,Crude Prevalence,75.6,Hispanic
266404,2014,Arizona,No tooth loss among adults aged 18-64 years,Crude Prevalence,63.1,Hispanic
266398,2014,Arkansas,No tooth loss among adults aged 18-64 years,Crude Prevalence,50.5,Hispanic
266412,2014,California,No tooth loss among adults aged 18-64 years,Crude Prevalence,59.9,Hispanic
266420,2014,Colorado,No tooth loss among adults aged 18-64 years,Crude Prevalence,58.7,Hispanic
266428,2014,Connecticut,No tooth loss among adults aged 18-64 years,Crude Prevalence,49.1,Hispanic
266444,2014,Delaware,No tooth loss among adults aged 18-64 years,Crude Prevalence,58.9,Hispanic
266436,2014,District of Columbia,No tooth loss among adults aged 18-64 years,Crude Prevalence,78.3,Hispanic
248121,2014,Florida,No tooth loss among adults aged 18-64 years,Crude Prevalence,55.9,Hispanic
266668,2014,Georgia,No tooth loss among adults aged 18-64 years,Crude Prevalence,61.8,Hispanic
266676,2014,Guam,No tooth loss among adults aged 18-64 years,Crude Prevalence,49.6,Hispanic
266684,2014,Hawaii,No tooth loss among adults aged 18-64 years,Crude Prevalence,57.7,Hispanic
266700,2014,Idaho,No tooth loss among adults aged 18-64 years,Crude Prevalence,61.2,Hispanic
266708,2014,Illinois,No tooth loss among adults aged 18-64 years,Crude Prevalence,57.3,Hispanic
266715,2014,Indiana,No tooth loss among adults aged 18-64 years,Crude Prevalence,62.9,Hispanic
266692,2014,Iowa,No tooth loss among adults aged 18-64 years,Crude Prevalence,63.9,Hispanic
266723,2014,Kansas,No tooth loss among adults aged 18-64 years,Crude Prevalence,63.4,Hispanic
266731,2014,Kentucky,No tooth loss among adults aged 18-64 years,Crude Prevalence,73.8,Hispanic
266739,2014,Louisiana,No tooth loss among adults aged 18-64 years,Crude Prevalence,67.9,Hispanic
266763,2014,Maine,No tooth loss among adults aged 18-64 years,Crude Prevalence,77.8,Hispanic
266755,2014,Maryland,No tooth loss among adults aged 18-64 years,Crude Prevalence,58.1,Hispanic
266747,2014,Massachusetts,No tooth loss among adults aged 18-64 years,Crude Prevalence,53.9,Hispanic
266771,2014,Michigan,No tooth loss among adults aged 18-64 years,Crude Prevalence,59.8,Hispanic
266779,2014,Minnesota,No tooth loss among adults aged 18-64 years,Crude Prevalence,59.7,Hispanic
266116,2014,Mississippi,No tooth loss among adults aged 18-64 years,Crude Prevalence,,Hispanic
266108,2014,Missouri,No tooth loss among adults aged 18-64 years,Crude Prevalence,66,Hispanic
266124,2014,Montana,No tooth loss among adults aged 18-64 years,Crude Prevalence,65.1,Hispanic
266147,2014,Nebraska,No tooth loss among adults aged 18-64 years,Crude Prevalence,63.3,Hispanic
266177,2014,Nevada,No tooth loss among adults aged 18-64 years,Crude Prevalence,58.3,Hispanic
266154,2014,New Hampshire,No tooth loss among adults aged 18-64 years,Crude Prevalence,85.6,Hispanic
266162,2014,New Jersey,No tooth loss among adults aged 18-64 years,Crude Prevalence,54.1,Hispanic
266170,2014,New Mexico,No tooth loss among adults aged 18-64 years,Crude Prevalence,58.4,Hispanic
266185,2014,New York,No tooth loss among adults aged 18-64 years,Crude Prevalence,51.9,Hispanic
266131,2014,North Carolina,No tooth loss among adults aged 18-64 years,Crude Prevalence,54.6,Hispanic
266139,2014,North Dakota,No tooth loss among adults aged 18-64 years,Crude Prevalence,70.8,Hispanic
266193,2014,Ohio,No tooth loss among adults aged 18-64 years,Crude Prevalence,67.4,Hispanic
266201,2014,Oklahoma,No tooth loss among adults aged 18-64 years,Crude Prevalence,58.9,Hispanic
266209,2014,Oregon,No tooth loss among adults aged 18-64 years,Crude Prevalence,65.3,Hispanic
266217,2014,Pennsylvania,No tooth loss among adults aged 18-64 years,Crude Prevalence,64.7,Hispanic
266225,2014,Puerto Rico,No tooth loss among adults aged 18-64 years,Crude Prevalence,45.4,Hispanic
266789,2014,Rhode Island,No tooth loss among adults aged 18-64 years,Crude Prevalence,58.3,Hispanic
266797,2014,South Carolina,No tooth loss among adults aged 18-64 years,Crude Prevalence,64.2,Hispanic
266805,2014,South Dakota,No tooth loss among adults aged 18-64 years,Crude Prevalence,72.2,Hispanic
266813,2014,Tennessee,No tooth loss among adults aged 18-64 years,Crude Prevalence,74.5,Hispanic
249445,2014,Texas,No tooth loss among adults aged 18-64 years,Crude Prevalence,62.5,Hispanic
266829,2014,Utah,No tooth loss among adults aged 18-64 years,Crude Prevalence,62.5,Hispanic
266844,2014,Vermont,No tooth loss among adults aged 18-64 years,Crude Prevalence,,Hispanic
266837,2014,Virginia,No tooth loss among adults aged 18-64 years,Crude Prevalence,64.5,Hispanic
266852,2014,Washington,No tooth loss among adults aged 18-64 years,Crude Prevalence,61.4,Hispanic
266868,2014,West Virginia,No tooth loss among adults aged 18-64 years,Crude Prevalence,,Hispanic
266860,2014,Wisconsin,No tooth loss among adults aged 18-64 years,Crude Prevalence,64.7,Hispanic
266876,2014,Wyoming,No tooth loss among adults aged 18-64 years,Crude Prevalence,61.3,Hispanic
