ID,Year,Location,Topic,Data Type,Data Value,Category
127894,2012,United States,No tooth loss among adults aged 18-64 years,Crude Prevalence,62.4,Male
127135,2012,Alabama,No tooth loss among adults aged 18-64 years,Crude Prevalence,52.9,Male
127127,2012,Alaska,No tooth loss among adults aged 18-64 years,Crude Prevalence,62,Male
127151,2012,Arizona,No tooth loss among adults aged 18-64 years,Crude Prevalence,62,Male
127143,2012,Arkansas,No tooth loss among adults aged 18-64 years,Crude Prevalence,54.7,Male
127159,2012,California,No tooth loss among adults aged 18-64 years,Crude Prevalence,63.8,Male
127167,2012,Colorado,No tooth loss among adults aged 18-64 years,Crude Prevalence,67.5,Male
127175,2012,Connecticut,No tooth loss among adults aged 18-64 years,Crude Prevalence,65.8,Male
127191,2012,Delaware,No tooth loss among adults aged 18-64 years,Crude Prevalence,63.5,Male
127183,2012,District of Columbia,No tooth loss among adults aged 18-64 years,Crude Prevalence,67.5,Male
127199,2012,Florida,No tooth loss among adults aged 18-64 years,Crude Prevalence,58.7,Male
127207,2012,Georgia,No tooth loss among adults aged 18-64 years,Crude Prevalence,62.2,Male
127215,2012,Guam,No tooth loss among adults aged 18-64 years,Crude Prevalence,50.3,Male
127223,2012,Hawaii,No tooth loss among adults aged 18-64 years,Crude Prevalence,63.3,Male
127239,2012,Idaho,No tooth loss among adults aged 18-64 years,Crude Prevalence,66.6,Male
127247,2012,Illinois,No tooth loss among adults aged 18-64 years,Crude Prevalence,63.1,Male
127255,2012,Indiana,No tooth loss among adults aged 18-64 years,Crude Prevalence,57,Male
127231,2012,Iowa,No tooth loss among adults aged 18-64 years,Crude Prevalence,66.2,Male
127263,2012,Kansas,No tooth loss among adults aged 18-64 years,Crude Prevalence,64.8,Male
127271,2012,Kentucky,No tooth loss among adults aged 18-64 years,Crude Prevalence,54.7,Male
127279,2012,Louisiana,No tooth loss among adults aged 18-64 years,Crude Prevalence,52,Male
127303,2012,Maine,No tooth loss among adults aged 18-64 years,Crude Prevalence,54.7,Male
127295,2012,Maryland,No tooth loss among adults aged 18-64 years,Crude Prevalence,65.4,Male
127287,2012,Massachusetts,No tooth loss among adults aged 18-64 years,Crude Prevalence,61.8,Male
127311,2012,Michigan,No tooth loss among adults aged 18-64 years,Crude Prevalence,62.4,Male
127319,2012,Minnesota,No tooth loss among adults aged 18-64 years,Crude Prevalence,69.1,Male
127335,2012,Mississippi,No tooth loss among adults aged 18-64 years,Crude Prevalence,48.4,Male
127327,2012,Missouri,No tooth loss among adults aged 18-64 years,Crude Prevalence,60.3,Male
127343,2012,Montana,No tooth loss among adults aged 18-64 years,Crude Prevalence,64.5,Male
127771,2012,Nebraska,No tooth loss among adults aged 18-64 years,Crude Prevalence,67.4,Male
127801,2012,Nevada,No tooth loss among adults aged 18-64 years,Crude Prevalence,56.8,Male
127778,2012,New Hampshire,No tooth loss among adults aged 18-64 years,Crude Prevalence,60.5,Male
127786,2012,New Jersey,No tooth loss among adults aged 18-64 years,Crude Prevalence,59.7,Male
127794,2012,New Mexico,No tooth loss among adults aged 18-64 years,Crude Prevalence,61.6,Male
127809,2012,New York,No tooth loss among adults aged 18-64 years,Crude Prevalence,54.7,Male
127350,2012,North Carolina,No tooth loss among adults aged 18-64 years,Crude Prevalence,57.3,Male
127358,2012,North Dakota,No tooth loss among adults aged 18-64 years,Crude Prevalence,64.3,Male
127817,2012,Ohio,No tooth loss among adults aged 18-64 years,Crude Prevalence,61.6,Male
127825,2012,Oklahoma,No tooth loss among adults aged 18-64 years,Crude Prevalence,58.3,Male
127833,2012,Oregon,No tooth loss among adults aged 18-64 years,Crude Prevalence,64.9,Male
127841,2012,Pennsylvania,No tooth loss among adults aged 18-64 years,Crude Prevalence,57.4,Male
127849,2012,Puerto Rico,No tooth loss among adults aged 18-64 years,Crude Prevalence,45.6,Male
127857,2012,Rhode Island,No tooth loss among adults aged 18-64 years,Crude Prevalence,64.8,Male
127865,2012,South Carolina,No tooth loss among adults aged 18-64 years,Crude Prevalence,55.8,Male
127873,2012,South Dakota,No tooth loss among adults aged 18-64 years,Crude Prevalence,64,Male
127881,2012,Tennessee,No tooth loss among adults aged 18-64 years,Crude Prevalence,53.3,Male
127889,2012,Texas,No tooth loss among adults aged 18-64 years,Crude Prevalence,63.3,Male
127005,2012,Utah,No tooth loss among adults aged 18-64 years,Crude Prevalence,70.6,Male
127029,2012,Vermont,No tooth loss among adults aged 18-64 years,Crude Prevalence,62.8,Male
127021,2012,Virgin Islands,No tooth loss among adults aged 18-64 years,Crude Prevalence,,Male
127013,2012,Virginia,No tooth loss among adults aged 18-64 years,Crude Prevalence,64.5,Male
127037,2012,Washington,No tooth loss among adults aged 18-64 years,Crude Prevalence,66.1,Male
127052,2012,West Virginia,No tooth loss among adults aged 18-64 years,Crude Prevalence,46.1,Male
96224,2012,Wisconsin,No tooth loss among adults aged 18-64 years,Crude Prevalence,66.7,Male
127060,2012,Wyoming,No tooth loss among adults aged 18-64 years,Crude Prevalence,63.9,Male
