ID,Year,Location,Topic,Data Type,Data Value,Category
266094,2014,United States,No tooth loss among adults aged 18-64 years,AgeAdjPrev,64,Male
265945,2014,Alabama,No tooth loss among adults aged 18-64 years,AgeAdjPrev,54.9,Male
265938,2014,Alaska,No tooth loss among adults aged 18-64 years,AgeAdjPrev,60.6,Male
265961,2014,Arizona,No tooth loss among adults aged 18-64 years,AgeAdjPrev,63.1,Male
265953,2014,Arkansas,No tooth loss among adults aged 18-64 years,AgeAdjPrev,54.9,Male
265970,2014,California,No tooth loss among adults aged 18-64 years,AgeAdjPrev,64.2,Male
265978,2014,Colorado,No tooth loss among adults aged 18-64 years,AgeAdjPrev,68,Male
265985,2014,Connecticut,No tooth loss among adults aged 18-64 years,AgeAdjPrev,65.2,Male
266229,2014,Delaware,No tooth loss among adults aged 18-64 years,AgeAdjPrev,62.4,Male
265993,2014,District of Columbia,No tooth loss among adults aged 18-64 years,AgeAdjPrev,70.5,Male
266237,2014,Florida,No tooth loss among adults aged 18-64 years,AgeAdjPrev,58.9,Male
266245,2014,Georgia,No tooth loss among adults aged 18-64 years,AgeAdjPrev,63.3,Male
247664,2014,Guam,No tooth loss among adults aged 18-64 years,AgeAdjPrev,53.4,Male
266260,2014,Hawaii,No tooth loss among adults aged 18-64 years,AgeAdjPrev,63.8,Male
266275,2014,Idaho,No tooth loss among adults aged 18-64 years,AgeAdjPrev,65.2,Male
266283,2014,Illinois,No tooth loss among adults aged 18-64 years,AgeAdjPrev,64.7,Male
266291,2014,Indiana,No tooth loss among adults aged 18-64 years,AgeAdjPrev,59.9,Male
266268,2014,Iowa,No tooth loss among adults aged 18-64 years,AgeAdjPrev,67,Male
266299,2014,Kansas,No tooth loss among adults aged 18-64 years,AgeAdjPrev,68.7,Male
266307,2014,Kentucky,No tooth loss among adults aged 18-64 years,AgeAdjPrev,56.4,Male
266315,2014,Louisiana,No tooth loss among adults aged 18-64 years,AgeAdjPrev,57.7,Male
266560,2014,Maine,No tooth loss among adults aged 18-64 years,AgeAdjPrev,59.9,Male
266331,2014,Maryland,No tooth loss among adults aged 18-64 years,AgeAdjPrev,63.3,Male
266323,2014,Massachusetts,No tooth loss among adults aged 18-64 years,AgeAdjPrev,63.2,Male
266568,2014,Michigan,No tooth loss among adults aged 18-64 years,AgeAdjPrev,64,Male
266576,2014,Minnesota,No tooth loss among adults aged 18-64 years,AgeAdjPrev,70.2,Male
266592,2014,Mississippi,No tooth loss among adults aged 18-64 years,AgeAdjPrev,49.7,Male
266584,2014,Missouri,No tooth loss among adults aged 18-64 years,AgeAdjPrev,62.6,Male
266601,2014,Montana,No tooth loss among adults aged 18-64 years,AgeAdjPrev,64.7,Male
266624,2014,Nebraska,No tooth loss among adults aged 18-64 years,AgeAdjPrev,67.4,Male
266656,2014,Nevada,No tooth loss among adults aged 18-64 years,AgeAdjPrev,64.1,Male
266632,2014,New Hampshire,No tooth loss among adults aged 18-64 years,AgeAdjPrev,67.8,Male
266640,2014,New Jersey,No tooth loss among adults aged 18-64 years,AgeAdjPrev,62.5,Male
266648,2014,New Mexico,No tooth loss among adults aged 18-64 years,AgeAdjPrev,60.7,Male
266007,2014,New York,No tooth loss among adults aged 18-64 years,AgeAdjPrev,59.8,Male
266609,2014,North Carolina,No tooth loss among adults aged 18-64 years,AgeAdjPrev,59.1,Male
266617,2014,North Dakota,No tooth loss among adults aged 18-64 years,AgeAdjPrev,64.7,Male
266015,2014,Ohio,No tooth loss among adults aged 18-64 years,AgeAdjPrev,64.1,Male
266023,2014,Oklahoma,No tooth loss among adults aged 18-64 years,AgeAdjPrev,60.3,Male
266031,2014,Oregon,No tooth loss among adults aged 18-64 years,AgeAdjPrev,65.9,Male
266039,2014,Pennsylvania,No tooth loss among adults aged 18-64 years,AgeAdjPrev,59.8,Male
266047,2014,Puerto Rico,No tooth loss among adults aged 18-64 years,AgeAdjPrev,47.4,Male
266056,2014,Rhode Island,No tooth loss among adults aged 18-64 years,AgeAdjPrev,67,Male
266064,2014,South Carolina,No tooth loss among adults aged 18-64 years,AgeAdjPrev,58.7,Male
266072,2014,South Dakota,No tooth loss among adults aged 18-64 years,AgeAdjPrev,64.6,Male
266080,2014,Tennessee,No tooth loss among adults aged 18-64 years,AgeAdjPrev,57.3,Male
266088,2014,Texas,No tooth loss among adults aged 18-64 years,AgeAdjPrev,66.1,Male
266099,2014,Utah,No tooth loss among adults aged 18-64 years,AgeAdjPrev,70.3,Male
266342,2014,Vermont,No tooth loss among adults aged 18-64 years,AgeAdjPrev,67.1,Male
266334,2014,Virginia,No tooth loss among adults aged 18-64 years,AgeAdjPrev,66.4,Male
266350,2014,Washington,No tooth loss among adults aged 18-64 years,AgeAdjPrev,67.6,Male
266367,2014,West Virginia,No tooth loss among adults aged 18-64 years,AgeAdjPrev,50.4,Male
266358,2014,Wisconsin,No tooth loss among adults aged 18-64 years,AgeAdjPrev,69,Male
266375,2014,Wyoming,No tooth loss among adults aged 18-64 years,AgeAdjPrev,64.7,Male
