ID,Year,Location,Topic,Data Type,Data Value,Category
126158,2012,Alabama,No tooth loss among adults aged 18-64 years,AgeAdjPrev,57.6,"MultiRacial, non-Hispanic"
126150,2012,Alaska,No tooth loss among adults aged 18-64 years,AgeAdjPrev,56.7,"MultiRacial, non-Hispanic"
126174,2012,Arizona,No tooth loss among adults aged 18-64 years,AgeAdjPrev,57.4,"MultiRacial, non-Hispanic"
126166,2012,Arkansas,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"MultiRacial, non-Hispanic"
126182,2012,California,No tooth loss among adults aged 18-64 years,AgeAdjPrev,69.9,"MultiRacial, non-Hispanic"
126190,2012,Colorado,No tooth loss among adults aged 18-64 years,AgeAdjPrev,59.1,"MultiRacial, non-Hispanic"
126198,2012,Connecticut,No tooth loss among adults aged 18-64 years,AgeAdjPrev,51,"MultiRacial, non-Hispanic"
126214,2012,Delaware,No tooth loss among adults aged 18-64 years,AgeAdjPrev,62.9,"MultiRacial, non-Hispanic"
126206,2012,District of Columbia,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"MultiRacial, non-Hispanic"
126772,2012,Florida,No tooth loss among adults aged 18-64 years,AgeAdjPrev,50.8,"MultiRacial, non-Hispanic"
126780,2012,Georgia,No tooth loss among adults aged 18-64 years,AgeAdjPrev,53.6,"MultiRacial, non-Hispanic"
126788,2012,Guam,No tooth loss among adults aged 18-64 years,AgeAdjPrev,47.1,"MultiRacial, non-Hispanic"
126796,2012,Hawaii,No tooth loss among adults aged 18-64 years,AgeAdjPrev,61.8,"MultiRacial, non-Hispanic"
126812,2012,Idaho,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"MultiRacial, non-Hispanic"
126820,2012,Illinois,No tooth loss among adults aged 18-64 years,AgeAdjPrev,70.6,"MultiRacial, non-Hispanic"
126828,2012,Indiana,No tooth loss among adults aged 18-64 years,AgeAdjPrev,45.1,"MultiRacial, non-Hispanic"
126804,2012,Iowa,No tooth loss among adults aged 18-64 years,AgeAdjPrev,0,"MultiRacial, non-Hispanic"
126836,2012,Kansas,No tooth loss among adults aged 18-64 years,AgeAdjPrev,61.5,"MultiRacial, non-Hispanic"
126844,2012,Kentucky,No tooth loss among adults aged 18-64 years,AgeAdjPrev,57.8,"MultiRacial, non-Hispanic"
126852,2012,Louisiana,No tooth loss among adults aged 18-64 years,AgeAdjPrev,58.1,"MultiRacial, non-Hispanic"
126876,2012,Maine,No tooth loss among adults aged 18-64 years,AgeAdjPrev,53.7,"MultiRacial, non-Hispanic"
