ID,Year ,Location,Topic,Data Type,Data Value,Category
127136,2012,Alabama,No tooth loss among adults aged 18-64 years,Crude Prevalence,62.9,"MultiRacial, non-Hispanic"
127128,2012,Alaska,No tooth loss among adults aged 18-64 years,Crude Prevalence,63.6,"MultiRacial, non-Hispanic"
127152,2012,Arizona,No tooth loss among adults aged 18-64 years,Crude Prevalence,67,"MultiRacial, non-Hispanic"
127144,2012,Arkansas,No tooth loss among adults aged 18-64 years,Crude Prevalence,0,"MultiRacial, non-Hispanic"
127160,2012,California,No tooth loss among adults aged 18-64 years,Crude Prevalence,70.7,"MultiRacial, non-Hispanic"
127168,2012,Colorado,No tooth loss among adults aged 18-64 years,Crude Prevalence,60.7,"MultiRacial, non-Hispanic"
127176,2012,Connecticut,No tooth loss among adults aged 18-64 years,Crude Prevalence,51.8,"MultiRacial, non-Hispanic"
127192,2012,Delaware,No tooth loss among adults aged 18-64 years,Crude Prevalence,67.1,"MultiRacial, non-Hispanic"
127184,2012,District of Columbia,No tooth loss among adults aged 18-64 years,Crude Prevalence,0,"MultiRacial, non-Hispanic"
127200,2012,Florida,No tooth loss among adults aged 18-64 years,Crude Prevalence,50.1,"MultiRacial, non-Hispanic"
127208,2012,Georgia,No tooth loss among adults aged 18-64 years,Crude Prevalence,65.3,"MultiRacial, non-Hispanic"
127216,2012,Guam,No tooth loss among adults aged 18-64 years,Crude Prevalence,50.4,"MultiRacial, non-Hispanic"
127224,2012,Hawaii,No tooth loss among adults aged 18-64 years,Crude Prevalence,63.6,"MultiRacial, non-Hispanic"
127240,2012,Idaho,No tooth loss among adults aged 18-64 years,Crude Prevalence,0,"MultiRacial, non-Hispanic"
127248,2012,Illinois,No tooth loss among adults aged 18-64 years,Crude Prevalence,68.4,"MultiRacial, non-Hispanic"
127256,2012,Indiana,No tooth loss among adults aged 18-64 years,Crude Prevalence,42.9,"MultiRacial, non-Hispanic"
127232,2012,Iowa,No tooth loss among adults aged 18-64 years,Crude Prevalence,0,"MultiRacial, non-Hispanic"
127264,2012,Kansas,No tooth loss among adults aged 18-64 years,Crude Prevalence,68,"MultiRacial, non-Hispanic"
127272,2012,Kentucky,No tooth loss among adults aged 18-64 years,Crude Prevalence,59.3,"MultiRacial, non-Hispanic"
127280,2012,Louisiana,No tooth loss among adults aged 18-64 years,Crude Prevalence,49.5,"MultiRacial, non-Hispanic"
127304,2012,Maine,No tooth loss among adults aged 18-64 years,Crude Prevalence,52.2,"MultiRacial, non-Hispanic"
127296,2012,Maryland,No tooth loss among adults aged 18-64 years,Crude Prevalence,69.9,"MultiRacial, non-Hispanic"
127288,2012,Massachusetts,No tooth loss among adults aged 18-64 years,Crude Prevalence,64.7,"MultiRacial, non-Hispanic"
127312,2012,Michigan,No tooth loss among adults aged 18-64 years,Crude Prevalence,57.5,"MultiRacial, non-Hispanic"
127320,2012,Minnesota,No tooth loss among adults aged 18-64 years,Crude Prevalence,73.1,"MultiRacial, non-Hispanic"
127336,2012,Mississippi,No tooth loss among adults aged 18-64 years,Crude Prevalence,0,"MultiRacial, non-Hispanic"
