ID,Year,Location,Topic,Data Type,Data Value,Category
126159,2012,Alabama,No tooth loss among adults aged 18-64 years,AgeAdjPrev,51.3,"Other, non-Hispanic"
126151,2012,Alaska,No tooth loss among adults aged 18-64 years,AgeAdjPrev,49.8,"Other, non-Hispanic"
126175,2012,Arizona,No tooth loss among adults aged 18-64 years,AgeAdjPrev,54.8,"Other, non-Hispanic"
126167,2012,Arkansas,No tooth loss among adults aged 18-64 years,AgeAdjPrev,49,"Other, non-Hispanic"
126183,2012,California,No tooth loss among adults aged 18-64 years,AgeAdjPrev,66.6,"Other, non-Hispanic"
126191,2012,Colorado,No tooth loss among adults aged 18-64 years,AgeAdjPrev,64.1,"Other, non-Hispanic"
126199,2012,Connecticut,No tooth loss among adults aged 18-64 years,AgeAdjPrev,63.3,"Other, non-Hispanic"
126215,2012,Delaware,No tooth loss among adults aged 18-64 years,AgeAdjPrev,80.9,"Other, non-Hispanic"
126207,2012,District of Columbia,No tooth loss among adults aged 18-64 years,AgeAdjPrev,74.4,"Other, non-Hispanic"
126773,2012,Florida,No tooth loss among adults aged 18-64 years,AgeAdjPrev,54,"Other, non-Hispanic"
126781,2012,Georgia,No tooth loss among adults aged 18-64 years,AgeAdjPrev,63.8,"Other, non-Hispanic"
126789,2012,Guam,No tooth loss among adults aged 18-64 years,AgeAdjPrev,42.7,"Other, non-Hispanic"
126797,2012,Hawaii,No tooth loss among adults aged 18-64 years,AgeAdjPrev,64.3,"Other, non-Hispanic"
126813,2012,Idaho,No tooth loss among adults aged 18-64 years,AgeAdjPrev,52.6,"Other, non-Hispanic"
126821,2012,Illinois,No tooth loss among adults aged 18-64 years,AgeAdjPrev,68.3,"Other, non-Hispanic"
126829,2012,Indiana,No tooth loss among adults aged 18-64 years,AgeAdjPrev,61.5,"Other, non-Hispanic"
126805,2012,Iowa,No tooth loss among adults aged 18-64 years,AgeAdjPrev,55.7,"Other, non-Hispanic"
126837,2012,Kansas,No tooth loss among adults aged 18-64 years,AgeAdjPrev,63.7,"Other, non-Hispanic"
126845,2012,Kentucky,No tooth loss among adults aged 18-64 years,AgeAdjPrev,51.8,"Other, non-Hispanic"
126853,2012,Louisiana,No tooth loss among adults aged 18-64 years,AgeAdjPrev,50.3,"Other, non-Hispanic"
