ID,Year ,Location ,Topic,Data Type,Data Value,Category
266393,2014,Alabama,No tooth loss among adults aged 18-64 years,Crude Prevalence,52.6,"Other, non-Hispanic"
266385,2014,Alaska,No tooth loss among adults aged 18-64 years,Crude Prevalence,41.7,"Other, non-Hispanic"
266407,2014,Arizona,No tooth loss among adults aged 18-64 years,Crude Prevalence,59.9,"Other, non-Hispanic"
266401,2014,Arkansas,No tooth loss among adults aged 18-64 years,Crude Prevalence,53.6,"Other, non-Hispanic"
266415,2014,California,No tooth loss among adults aged 18-64 years,Crude Prevalence,68.7,"Other, non-Hispanic"
266423,2014,Colorado,No tooth loss among adults aged 18-64 years,Crude Prevalence,67.5,"Other, non-Hispanic"
266431,2014,Connecticut,No tooth loss among adults aged 18-64 years,Crude Prevalence,67.8,"Other, non-Hispanic"
266447,2014,Delaware,No tooth loss among adults aged 18-64 years,Crude Prevalence,71.9,"Other, non-Hispanic"
266439,2014,District of Columbia,No tooth loss among adults aged 18-64 years,Crude Prevalence,78.1,"Other, non-Hispanic"
266663,2014,Florida,No tooth loss among adults aged 18-64 years,Crude Prevalence,63.9,"Other, non-Hispanic"
266671,2014,Georgia,No tooth loss among adults aged 18-64 years,Crude Prevalence,64.8,"Other, non-Hispanic"
266679,2014,Guam,No tooth loss among adults aged 18-64 years,Crude Prevalence,43.1,"Other, non-Hispanic"
266687,2014,Hawaii,No tooth loss among adults aged 18-64 years,Crude Prevalence,60.8,"Other, non-Hispanic"
266703,2014,Idaho,No tooth loss among adults aged 18-64 years,Crude Prevalence,56,"Other, non-Hispanic"
266710,2014,Illinois,No tooth loss among adults aged 18-64 years,Crude Prevalence,71.3,"Other, non-Hispanic"
266718,2014,Indiana,No tooth loss among adults aged 18-64 years,Crude Prevalence,72,"Other, non-Hispanic"
266695,2014,Iowa,No tooth loss among adults aged 18-64 years,Crude Prevalence,65.3,"Other, non-Hispanic"
266726,2014,Kansas,No tooth loss among adults aged 18-64 years,Crude Prevalence,65,"Other, non-Hispanic"
266734,2014,Kentucky,No tooth loss among adults aged 18-64 years,Crude Prevalence,62.6,"Other, non-Hispanic"
266742,2014,Louisiana,No tooth loss among adults aged 18-64 years,Crude Prevalence,62.3,"Other, non-Hispanic"
266766,2014,Maine,No tooth loss among adults aged 18-64 years,Crude Prevalence,44.1,"Other, non-Hispanic"
266758,2014,Maryland,No tooth loss among adults aged 18-64 years,Crude Prevalence,68.5,"Other, non-Hispanic"
266750,2014,Massachusetts,No tooth loss among adults aged 18-64 years,Crude Prevalence,67.1,"Other, non-Hispanic"
266774,2014,Michigan,No tooth loss among adults aged 18-64 years,Crude Prevalence,70.4,"Other, non-Hispanic"
266782,2014,Minnesota,No tooth loss among adults aged 18-64 years,Crude Prevalence,69.8,"Other, non-Hispanic"
266119,2014,Mississippi,No tooth loss among adults aged 18-64 years,Crude Prevalence,,"Other, non-Hispanic"
266111,2014,Missouri,No tooth loss among adults aged 18-64 years,Crude Prevalence,62.8,"Other, non-Hispanic"
266126,2014,Montana,No tooth loss among adults aged 18-64 years,Crude Prevalence,39.9,"Other, non-Hispanic"
266149,2014,Nebraska,No tooth loss among adults aged 18-64 years,Crude Prevalence,63.4,"Other, non-Hispanic"
266180,2014,Nevada,No tooth loss among adults aged 18-64 years,Crude Prevalence,64.5,"Other, non-Hispanic"
266157,2014,New Hampshire,No tooth loss among adults aged 18-64 years,Crude Prevalence,68.5,"Other, non-Hispanic"
266165,2014,New Jersey,No tooth loss among adults aged 18-64 years,Crude Prevalence,74.1,"Other, non-Hispanic"
266172,2014,New Mexico,No tooth loss among adults aged 18-64 years,Crude Prevalence,58.9,"Other, non-Hispanic"
266188,2014,New York,No tooth loss among adults aged 18-64 years,Crude Prevalence,64.8,"Other, non-Hispanic"
266134,2014,North Carolina,No tooth loss among adults aged 18-64 years,Crude Prevalence,62.3,"Other, non-Hispanic"
266142,2014,North Dakota,No tooth loss among adults aged 18-64 years,Crude Prevalence,49.5,"Other, non-Hispanic"
266196,2014,Ohio,No tooth loss among adults aged 18-64 years,Crude Prevalence,68.8,"Other, non-Hispanic"
266204,2014,Oklahoma,No tooth loss among adults aged 18-64 years,Crude Prevalence,60.8,"Other, non-Hispanic"
266212,2014,Oregon,No tooth loss among adults aged 18-64 years,Crude Prevalence,60.4,"Other, non-Hispanic"
266220,2014,Pennsylvania,No tooth loss among adults aged 18-64 years,Crude Prevalence,72.8,"Other, non-Hispanic"
