ID,Year,Location,Topic,Data Type,Data Value,Category
266395,2014,Alabama,No tooth loss among adults aged 18-64 years,Crude Prevalence,56.8,"White, non-Hispanic"
266387,2014,Alaska,No tooth loss among adults aged 18-64 years,Crude Prevalence,66.5,"White, non-Hispanic"
266409,2014,Arizona,No tooth loss among adults aged 18-64 years,Crude Prevalence,62.6,"White, non-Hispanic"
266403,2014,Arkansas,No tooth loss among adults aged 18-64 years,Crude Prevalence,53.9,"White, non-Hispanic"
266417,2014,California,No tooth loss among adults aged 18-64 years,Crude Prevalence,68.2,"White, non-Hispanic"
266425,2014,Colorado,No tooth loss among adults aged 18-64 years,Crude Prevalence,72.8,"White, non-Hispanic"
266433,2014,Connecticut,No tooth loss among adults aged 18-64 years,Crude Prevalence,68.5,"White, non-Hispanic"
266659,2014,Delaware,No tooth loss among adults aged 18-64 years,Crude Prevalence,63.6,"White, non-Hispanic"
266441,2014,District of Columbia,No tooth loss among adults aged 18-64 years,Crude Prevalence,86.3,"White, non-Hispanic"
266665,2014,Florida,No tooth loss among adults aged 18-64 years,Crude Prevalence,59.5,"White, non-Hispanic"
266673,2014,Georgia,No tooth loss among adults aged 18-64 years,Crude Prevalence,65.7,"White, non-Hispanic"
266681,2014,Guam,No tooth loss among adults aged 18-64 years,Crude Prevalence,72.9,"White, non-Hispanic"
266689,2014,Hawaii,No tooth loss among adults aged 18-64 years,Crude Prevalence,71.1,"White, non-Hispanic"
266705,2014,Idaho,No tooth loss among adults aged 18-64 years,Crude Prevalence,65.9,"White, non-Hispanic"
266712,2014,Illinois,No tooth loss among adults aged 18-64 years,Crude Prevalence,67.7,"White, non-Hispanic"
266720,2014,Indiana,No tooth loss among adults aged 18-64 years,Crude Prevalence,58.9,"White, non-Hispanic"
266697,2014,Iowa,No tooth loss among adults aged 18-64 years,Crude Prevalence,68,"White, non-Hispanic"
266728,2014,Kansas,No tooth loss among adults aged 18-64 years,Crude Prevalence,68.8,"White, non-Hispanic"
266736,2014,Kentucky,No tooth loss among adults aged 18-64 years,Crude Prevalence,54.4,"White, non-Hispanic"
266744,2014,Louisiana,No tooth loss among adults aged 18-64 years,Crude Prevalence,62.8,"White, non-Hispanic"
266768,2014,Maine,No tooth loss among adults aged 18-64 years,Crude Prevalence,58.2,"White, non-Hispanic"
266760,2014,Maryland,No tooth loss among adults aged 18-64 years,Crude Prevalence,68.9,"White, non-Hispanic"
266752,2014,Massachusetts,No tooth loss among adults aged 18-64 years,Crude Prevalence,64.8,"White, non-Hispanic"
