"ID","YearStart","YearEnd","Description","LocationAbbr","LocationDesc","DataSource","Class","Topic","Question","Response","Data_Value_Unit","DataValueTypeId","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","GeoLocation_Lat","GeoLocation_Long","ClassId","TopicId","QuestionId","ResponseId","StratficationCategory1","StratificationCategoryId1","Stratification1","StratificationId1","StratificationCategory2","StratificationCategoryId2","Stratification2","StratificationId2","StratificationCategory3","StratificationCategoryId3","Stratification3","StratificationId3","DisplayOrder","FootnoteSymbol","FootnoteText","URL","FootnoteHeading"
"368405","2012","2012","2012","US","United States","HRSA, UDS","","Oral Health","Oral health services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","20.5","","","","","","","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","1","","","",""
"368361","2012","2012","2012","AL","Alabama","HRSA, UDS","","Oral Health","Oral health services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","13.5","","","","","32.84057112200048","-86.63186076199969","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","2","","","",""
"368360","2012","2012","2012","AK","Alaska","HRSA, UDS","","Oral Health","Oral health services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","27.5","","","","","64.84507995700051","-147.72205903599973","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","3","","","",""
"368363","2012","2012","2012","AZ","Arizona","HRSA, UDS","","Oral Health","Oral health services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","12.8","","","","","34.865970280000454","-111.76381127699972","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","4","","","",""
"368362","2012","2012","2012","AR","Arkansas","HRSA, UDS","","Oral Health","Oral health services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","17.5","","","","","34.74865012400045","-92.27449074299966","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","5","","","",""
"368364","2012","2012","2012","CA","California","HRSA, UDS","","Oral Health","Oral health services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","17.6","","","","","37.63864012300047","-120.99999953799971","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","6","","","",""
"368365","2012","2012","2012","CO","Colorado","HRSA, UDS","","Oral Health","Oral health services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","19.4","","","","","38.843840757000464","-106.13361092099967","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","7","","","",""
"368366","2012","2012","2012","CT","Connecticut","HRSA, UDS","","Oral Health","Oral health services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","26.8","","","","","41.56266102000046","-72.64984095199964","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","8","","","",""
"368368","2012","2012","2012","DE","Delaware","HRSA, UDS","","Oral Health","Oral health services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","15.1","","","","","39.008830667000495","-75.57774116799965","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","9","","","",""
"368367","2012","2012","2012","DC","District of Columbia","HRSA, UDS","","Oral Health","Oral health services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","17.5","","","","","38.907192","-77.036871","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","10","","","",""
"368369","2012","2012","2012","FL","Florida","HRSA, UDS","","Oral Health","Oral health services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","21.7","","","","","28.932040377000476","-81.92896053899966","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","11","","","",""
"368370","2012","2012","2012","GA","Georgia","HRSA, UDS","","Oral Health","Oral health services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","10.9","","","","","32.83968109300048","-83.62758034599966","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","12","","","",""
"368371","2012","2012","2012","GU","Guam","HRSA, UDS","","Oral Health","Oral Health Services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","0.0","","","","","13.444304","144.793731","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","13","","","",""
"368372","2012","2012","2012","HI","Hawaii","HRSA, UDS","","Oral Health","Oral health services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","26.8","","","","","21.304850435000446","-157.85774940299973","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","14","","","",""
"368374","2012","2012","2012","ID","Idaho","HRSA, UDS","","Oral Health","Oral health services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","23.2","","","","","43.682630005000476","-114.3637300419997","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","15","","","",""
"368375","2012","2012","2012","IL","Illinois","HRSA, UDS","","Oral Health","Oral health services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","14.4","","","","","40.48501028300046","-88.99771017799969","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","16","","","",""
"368376","2012","2012","2012","IN","Indiana","HRSA, UDS","","Oral Health","Oral health services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","14.6","","","","","39.766910452000445","-86.14996019399968","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","17","","","",""
"368373","2012","2012","2012","IA","Iowa","HRSA, UDS","","Oral Health","Oral health services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","32.2","","","","","42.46940091300047","-93.81649055599968","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","18","","","",""
"368377","2012","2012","2012","KS","Kansas","HRSA, UDS","","Oral Health","Oral health services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","35.7","","","","","38.34774030000045","-98.20078122699965","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","19","","","",""
"368378","2012","2012","2012","KY","Kentucky","HRSA, UDS","","Oral Health","Oral health services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","15.7","","","","","37.645970271000465","-84.77497104799966","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","20","","","",""
"368379","2012","2012","2012","LA","Louisiana","HRSA, UDS","","Oral Health","Oral health services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","22.4","","","","","31.31266064400046","-92.44568007099969","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","21","","","",""
"368382","2012","2012","2012","ME","Maine","HRSA, UDS","","Oral Health","Oral health services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","19.8","","","","","45.254228894000505","-68.98503133599962","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","22","","","",""
"368381","2012","2012","2012","MD","Maryland","HRSA, UDS","","Oral Health","Oral health services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","15.9","","","","","39.29058096400047","-76.60926011099963","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","23","","","",""
"368380","2012","2012","2012","MA","Massachusetts","HRSA, UDS","","Oral Health","Oral health services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","23.0","","","","","42.27687047000046","-72.08269067499964","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","24","","","",""
"368383","2012","2012","2012","MI","Michigan","HRSA, UDS","","Oral Health","Oral health services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","32.5","","","","","44.6613195430005","-84.71439026999968","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","25","","","",""
"368384","2012","2012","2012","MN","Minnesota","HRSA, UDS","","Oral Health","Oral health services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","30.8","","","","","46.35564873600049","-94.79420050299967","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","26","","","",""
"368386","2012","2012","2012","MS","Mississippi","HRSA, UDS","","Oral Health","Oral health services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","16.6","","","","","32.745510099000455","-89.53803082499968","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","27","","","",""
"368385","2012","2012","2012","MO","Missouri","HRSA, UDS","","Oral Health","Oral health services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","35.0","","","","","38.635790776000476","-92.56630005299968","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","28","","","",""
"368387","2012","2012","2012","MT","Montana","HRSA, UDS","","Oral Health","Oral health services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","26.8","","","","","47.06652897200047","-109.42442064499971","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","29","","","",""
"368390","2012","2012","2012","NE","Nebraska","HRSA, UDS","","Oral Health","Oral health services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","32.1","","","","","41.6410409880005","-99.36572062299967","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","30","","","",""
"368264","2012","2012","2012","NV","Nevada","HRSA, UDS","","Oral Health","Oral Health Services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","21.5","","","","","39.493240390000494","-117.07184056399967","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","31","","","",""
"368391","2012","2012","2012","NH","New Hampshire","HRSA, UDS","","Oral Health","Oral health services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","8.3","","","","","43.65595011300047","-71.50036091999965","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","32","","","",""
"368392","2012","2012","2012","NJ","New Jersey","HRSA, UDS","","Oral Health","Oral health services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","27.8","","","","","40.13057004800049","-74.27369128799967","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","33","","","",""
"368393","2012","2012","2012","NM","New Mexico","HRSA, UDS","","Oral Health","Oral health services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","24.5","","","","","34.52088095200048","-106.24058098499967","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","34","","","",""
"368394","2012","2012","2012","NY","New York","HRSA, UDS","","Oral Health","Oral health services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","22.2","","","","","42.82700103200045","-75.54397042699964","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","35","","","",""
"368388","2012","2012","2012","NC","North Carolina","HRSA, UDS","","Oral Health","Oral health services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","18.5","","","","","35.466220975000454","-79.15925046299964","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","36","","","",""
"368389","2012","2012","2012","ND","North Dakota","HRSA, UDS","","Oral Health","Oral health services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","29.7","","","","","47.47531977900047","-100.11842104899966","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","37","","","",""
"368395","2012","2012","2012","OH","Ohio","HRSA, UDS","","Oral Health","Oral health services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","20.9","","","","","40.06021014100048","-82.40426005599966","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","38","","","",""
"368396","2012","2012","2012","OK","Oklahoma","HRSA, UDS","","Oral Health","Oral health services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","13.7","","","","","35.47203135600046","-97.52107021399968","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","39","","","",""
"368397","2012","2012","2012","OR","Oregon","HRSA, UDS","","Oral Health","Oral health services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","24.0","","","","","44.56744942400047","-120.15503132599969","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","40","","","",""
"368398","2012","2012","2012","PA","Pennsylvania","HRSA, UDS","","Oral Health","Oral health services at Federally Qualified Health Centers","","%","CrdPrev","Crude Prevalence","23.0","","","","","40.79373015200048","-77.86070029399963","","ORH","ORH3_0","","Overall","OVERALL","Overall","OVR","","","","","","","","","41","","","",""
