"ID","YearStart","YearEnd","Description","LocationAbbr","LocationDesc","DataSource","Class","Topic","Question","Response","Data_Value_Unit","DataValueTypeId","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","GeoLocation_Lat","GeoLocation_Long","ClassId","TopicId","QuestionId","ResponseId","StratficationCategory1","StratificationCategoryId1","Stratification1","StratificationId1","StratificationCategory2","StratificationCategoryId2","Stratification2","StratificationId2","StratificationCategory3","StratificationCategoryId3","Stratification3","StratificationId3","DisplayOrder","FootnoteSymbol","FootnoteText","URL","FootnoteHeading"
"264115","2014","2014","2014","US","United States","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","62.3","*","50 States + DC: US Median","","","","","","ORH","ORH1_1","","Gender","GENDER","Male","GENM","","","","","","","","","1","","","",""
"263458","2014","2014","2014","AL","Alabama","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","58.9","","","56.5","61.3","32.84057112200048","-86.63186076199969","","ORH","ORH1_1","","Gender","GENDER","Male","GENM","","","","","","","","","2","","","",""
"263678","2014","2014","2014","AK","Alaska","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","61.2","","","58.2","64.1","64.84507995700051","-147.72205903599973","","ORH","ORH1_1","","Gender","GENDER","Male","GENM","","","","","","","","","3","","","",""
"263698","2014","2014","2014","AZ","Arizona","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","56.9","","","54.8","59.0","34.865970280000454","-111.76381127699972","","ORH","ORH1_1","","Gender","GENDER","Male","GENM","","","","","","","","","4","","","",""
"263690","2014","2014","2014","AR","Arkansas","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","55.0","","","51.6","58.3","34.74865012400045","-92.27449074299966","","ORH","ORH1_1","","Gender","GENDER","Male","GENM","","","","","","","","","5","","","",""
"263706","2014","2014","2014","CA","California","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","62.7","","","60.8","64.6","37.63864012300047","-120.99999953799971","","ORH","ORH1_1","","Gender","GENDER","Male","GENM","","","","","","","","","6","","","",""
"263714","2014","2014","2014","CO","Colorado","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","64.2","","","62.6","65.8","38.843840757000464","-106.13361092099967","","ORH","ORH1_1","","Gender","GENDER","Male","GENM","","","","","","","","","7","","","",""
"263722","2014","2014","2014","CT","Connecticut","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","72.0","","","69.9","74.1","41.56266102000046","-72.64984095199964","","ORH","ORH1_1","","Gender","GENDER","Male","GENM","","","","","","","","","8","","","",""
"263739","2014","2014","2014","DE","Delaware","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","64.3","","","60.9","67.6","39.008830667000495","-75.57774116799965","","ORH","ORH1_1","","Gender","GENDER","Male","GENM","","","","","","","","","9","","","",""
"263731","2014","2014","2014","DC","District of Columbia","BRFSS","","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","","%","CrdPrev","Crude Prevalence","68.6","","","64.7","72.3","38.907192","-77.036871","","ORH","ORH1_1","","Gender","GENDER","Male","GENM","","","","","","","","","10","","","",""
