ID,Year,Location,Topic,Data Type,Data Value,Category
265461,2014,United States,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,37.3,Male
265110,2014,Alabama,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,48.7,Male
265103,2014,Alaska,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,27.9,Male
265126,2014,Arizona,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,33.3,Male
265118,2014,Arkansas,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,47.5,Male
265135,2014,California,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,29.6,Male
265143,2014,Colorado,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,31.7,Male
265151,2014,Connecticut,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,30,Male
265168,2014,Delaware,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,46.5,Male
265160,2014,District of Columbia,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,32.3,Male
265175,2014,Florida,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,34.5,Male
265183,2014,Georgia,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,44.6,Male
265191,2014,Guam,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,37.5,Male
265200,2014,Hawaii,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,28.5,Male
265835,2014,Idaho,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,31.2,Male
265843,2014,Illinois,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,42.2,Male
265851,2014,Indiana,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,41.4,Male
265208,2014,Iowa,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,37.3,Male
265859,2014,Kansas,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,36.7,Male
265867,2014,Kentucky,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,52.6,Male
265875,2014,Louisiana,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,43.7,Male
265899,2014,Maine,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,41.7,Male
265891,2014,Maryland,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,36.3,Male
265883,2014,Massachusetts,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,41.3,Male
265907,2014,Michigan,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,36,Male
265915,2014,Minnesota,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,29.4,Male
265930,2014,Mississippi,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,50.6,Male
265922,2014,Missouri,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,46.2,Male
265722,2014,Montana,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,33.9,Male
265746,2014,Nebraska,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,34.7,Male
265778,2014,Nevada,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,42.9,Male
265754,2014,New Hampshire,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,37.9,Male
265762,2014,New Jersey,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,36.6,Male
265770,2014,New Mexico,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,38.1,Male
265786,2014,New York,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,36.6,Male
265730,2014,North Carolina,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,47.4,Male
265738,2014,North Dakota,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,36.5,Male
265794,2014,Ohio,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,43.8,Male
265802,2014,Oklahoma,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,49.5,Male
265810,2014,Oregon,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,31.4,Male
265818,2014,Pennsylvania,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,41.8,Male
265826,2014,Puerto Rico,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,50.8,Male
265422,2014,Rhode Island,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,37,Male
265430,2014,South Carolina,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,44.1,Male
265438,2014,South Dakota,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,40.4,Male
265447,2014,Tennessee,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,48.4,Male
265455,2014,Texas,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,27.1,Male
265465,2014,Utah,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,26.5,Male
265481,2014,Vermont,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,37.7,Male
265473,2014,Virginia,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,37,Male
265489,2014,Washington,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,29.9,Male
265505,2014,West Virginia,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,63.9,Male
265497,2014,Wisconsin,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,33.5,Male
265513,2014,Wyoming,Six or more teeth lost among adults aged >= 65 years,Crude Prevalence,37.7,Male
