"ID","YearStart","YearEnd","Description","LocationAbbr","LocationDesc","DataSource","Class","Topic","Question","Response","Data_Value_Unit","DataValueTypeId","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","GeoLocation_Lat","GeoLocation_Long","ClassId","TopicId","QuestionId","ResponseId","StratficationCategory1","StratificationCategoryId1","Stratification1","StratificationId1","StratificationCategory2","StratificationCategoryId2","Stratification2","StratificationId2","StratificationCategory3","StratificationCategoryId3","Stratification3","StratificationId3","DisplayOrder","FootnoteSymbol","FootnoteText","URL","FootnoteHeading"
"126293","2012","2012","2012","US","United States","BRFSS","","Oral Health","Six or more teeth lost among adults aged >= 65 years","","%","AgeAdjPrev","Age-adjusted Prevalence","39.4","*","50 States + DC: US Median","37.9","42.2","","","","ORH","ORH4_2","","Gender","GENDER","Female","GENF","","","","","","","","","1","","","",""
"125814","2012","2012","2012","AL","Alabama","BRFSS","","Oral Health","Six or more teeth lost among adults aged >= 65 years","","%","AgeAdjPrev","Age-adjusted Prevalence","51.8","","","48.9","54.5","32.84057112200048","-86.63186076199969","","ORH","ORH4_2","","Gender","GENDER","Female","GENF","","","","","","","","","2","","","",""
"125806","2012","2012","2012","AK","Alaska","BRFSS","","Oral Health","Six or more teeth lost among adults aged >= 65 years","","%","AgeAdjPrev","Age-adjusted Prevalence","38.9","","","32.4","45.8","64.84507995700051","-147.72205903599973","","ORH","ORH4_2","","Gender","GENDER","Female","GENF","","","","","","","","","3","","","",""
"125830","2012","2012","2012","AZ","Arizona","BRFSS","","Oral Health","Six or more teeth lost among adults aged >= 65 years","","%","AgeAdjPrev","Age-adjusted Prevalence","35.8","","","32.3","39.4","34.865970280000454","-111.76381127699972","","ORH","ORH4_2","","Gender","GENDER","Female","GENF","","","","","","","","","4","","","",""
"125822","2012","2012","2012","AR","Arkansas","BRFSS","","Oral Health","Six or more teeth lost among adults aged >= 65 years","","%","AgeAdjPrev","Age-adjusted Prevalence","46.4","","","42.9","50.0","34.74865012400045","-92.27449074299966","","ORH","ORH4_2","","Gender","GENDER","Female","GENF","","","","","","","","","5","","","",""
"125838","2012","2012","2012","CA","California","BRFSS","","Oral Health","Six or more teeth lost among adults aged >= 65 years","","%","AgeAdjPrev","Age-adjusted Prevalence","28.2","","","25.5","31.0","37.63864012300047","-120.99999953799971","","ORH","ORH4_2","","Gender","GENDER","Female","GENF","","","","","","","","","6","","","",""
"125846","2012","2012","2012","CO","Colorado","BRFSS","","Oral Health","Six or more teeth lost among adults aged >= 65 years","","%","AgeAdjPrev","Age-adjusted Prevalence","31.7","","","29.2","34.4","38.843840757000464","-106.13361092099967","","ORH","ORH4_2","","Gender","GENDER","Female","GENF","","","","","","","","","7","","","",""
"125430","2012","2012","2012","CT","Connecticut","BRFSS","","Oral Health","Six or more teeth lost among adults aged >= 65 years","","%","AgeAdjPrev","Age-adjusted Prevalence","36.2","","","33.0","39.5","41.56266102000046","-72.64984095199964","","ORH","ORH4_2","","Gender","GENDER","Female","GENF","","","","","","","","","8","","","",""
"125446","2012","2012","2012","DE","Delaware","BRFSS","","Oral Health","Six or more teeth lost among adults aged >= 65 years","","%","AgeAdjPrev","Age-adjusted Prevalence","42.7","","","38.8","46.7","39.008830667000495","-75.57774116799965","","ORH","ORH4_2","","Gender","GENDER","Female","GENF","","","","","","","","","9","","","",""
"125438","2012","2012","2012","DC","District of Columbia","BRFSS","","Oral Health","Six or more teeth lost among adults aged >= 65 years","","%","AgeAdjPrev","Age-adjusted Prevalence","40.3","","","35.9","44.9","38.907192","-77.036871","","ORH","ORH4_2","","Gender","GENDER","Female","GENF","","","","","","","","","10","","","",""
"125454","2012","2012","2012","FL","Florida","BRFSS","","Oral Health","Six or more teeth lost among adults aged >= 65 years","","%","AgeAdjPrev","Age-adjusted Prevalence","38.5","","","35.4","41.8","28.932040377000476","-81.92896053899966","","ORH","ORH4_2","","Gender","GENDER","Female","GENF","","","","","","","","","11","","","",""
