"ID","YearStart","YearEnd","Description","LocationAbbr","LocationDesc","DataSource","Class","Topic","Question","Response","Data_Value_Unit","DataValueTypeId","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","GeoLocation_Lat","GeoLocation_Long","ClassId","TopicId","QuestionId","ResponseId","StratficationCategory1","StratificationCategoryId1","Stratification1","StratificationId1","StratificationCategory2","StratificationCategoryId2","Stratification2","StratificationId2","StratificationCategory3","StratificationCategoryId3","Stratification3","StratificationId3","DisplayOrder","FootnoteSymbol","FootnoteText","URL","FootnoteHeading"
"265301","2014","2014","2014","AL","Alabama","BRFSS","","Oral Health","Six or more teeth lost among adults aged >= 65 years","","%","AgeAdjPrev","Age-adjusted Prevalence","45.6","","","43.1","48.2","32.84057112200048","-86.63186076199969","","ORH","ORH4_2","","Race/Ethnicity","RACE","White, non-Hispanic","WHT","","","","","","","","","2","","","",""
"265293","2014","2014","2014","AK","Alaska","BRFSS","","Oral Health","Six or more teeth lost among adults aged >= 65 years","","%","AgeAdjPrev","Age-adjusted Prevalence","27.6","","","23.6","32.1","64.84507995700051","-147.72205903599973","","ORH","ORH4_2","","Race/Ethnicity","RACE","White, non-Hispanic","WHT","","","","","","","","","3","","","",""
"265520","2014","2014","2014","AZ","Arizona","BRFSS","","Oral Health","Six or more teeth lost among adults aged >= 65 years","","%","AgeAdjPrev","Age-adjusted Prevalence","31.5","","","29.8","33.1","34.865970280000454","-111.76381127699972","","ORH","ORH4_2","","Race/Ethnicity","RACE","White, non-Hispanic","WHT","","","","","","","","","4","","","",""
"265309","2014","2014","2014","AR","Arkansas","BRFSS","","Oral Health","Six or more teeth lost among adults aged >= 65 years","","%","AgeAdjPrev","Age-adjusted Prevalence","45.8","","","42.9","48.8","34.74865012400045","-92.27449074299966","","ORH","ORH4_2","","Race/Ethnicity","RACE","White, non-Hispanic","WHT","","","","","","","","","5","","","",""
"265528","2014","2014","2014","CA","California","BRFSS","","Oral Health","Six or more teeth lost among adults aged >= 65 years","","%","AgeAdjPrev","Age-adjusted Prevalence","28.2","","","25.5","31.1","37.63864012300047","-120.99999953799971","","ORH","ORH4_2","","Race/Ethnicity","RACE","White, non-Hispanic","WHT","","","","","","","","","6","","","",""
"265536","2014","2014","2014","CO","Colorado","BRFSS","","Oral Health","Six or more teeth lost among adults aged >= 65 years","","%","AgeAdjPrev","Age-adjusted Prevalence","28.3","","","26.4","30.2","38.843840757000464","-106.13361092099967","","ORH","ORH4_2","","Race/Ethnicity","RACE","White, non-Hispanic","WHT","","","","","","","","","7","","","",""
"265544","2014","2014","2014","CT","Connecticut","BRFSS","","Oral Health","Six or more teeth lost among adults aged >= 65 years","","%","AgeAdjPrev","Age-adjusted Prevalence","28.7","","","26.1","31.3","41.56266102000046","-72.64984095199964","","ORH","ORH4_2","","Race/Ethnicity","RACE","White, non-Hispanic","WHT","","","","","","","","","8","","","",""
"265560","2014","2014","2014","DE","Delaware","BRFSS","","Oral Health","Six or more teeth lost among adults aged >= 65 years","","%","AgeAdjPrev","Age-adjusted Prevalence","40.6","","","37.1","44.3","39.008830667000495","-75.57774116799965","","ORH","ORH4_2","","Race/Ethnicity","RACE","White, non-Hispanic","WHT","","","","","","","","","9","","","",""
"265552","2014","2014","2014","DC","District of Columbia","BRFSS","","Oral Health","Six or more teeth lost among adults aged >= 65 years","","%","AgeAdjPrev","Age-adjusted Prevalence","14.1","","","10.1","19.2","38.907192","-77.036871","","ORH","ORH4_2","","Race/Ethnicity","RACE","White, non-Hispanic","WHT","","","","","","","","","10","","","",""
"265568","2014","2014","2014","FL","Florida","BRFSS","","Oral Health","Six or more teeth lost among adults aged >= 65 years","","%","AgeAdjPrev","Age-adjusted Prevalence","33.2","","","31.3","35.1","28.932040377000476","-81.92896053899966","","ORH","ORH4_2","","Race/Ethnicity","RACE","White, non-Hispanic","WHT","","","","","","","","","11","","","",""
